depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,224,0.3174267545513654,0.0007435100682740628,12,4,0.6891384952894399,1.9870393661636852,99
7,195,0.14192556094071612,0.0018341737258903736,2,17,0.025659207651995225,1.9888600101209184,73
6,257,0.43786723254720583,0.0015702705789393582,2,7,0.1756064884430107,1.9935941739291831,22
6,377,0.6443552992372871,0.001719967816787878,2,15,0.19124221551743423,1.9938990464360256,24
6,286,0.4047406316509855,0.0036966760023387415,14,7,0.22351873260910132,1.9940155768913177,21
6,248,0.584566129212231,0.004848040151486481,4,16,0.18813598195985579,1.994655693526204,39
10,241,0.5435722959578843,0.0012026256627308684,2,18,0.3349992797367938,1.9949556300186384,27
7,338,0.23699641097713503,0.0022307946499764628,2,2,0.13779429927082287,1.995318695980236,78
12,461,0.42509451250242186,0.00020357200813907444,3,15,0.08679984876119728,1.9955957309465029,61
6,183,0.9749292038189025,0.012251326997534732,12,7,0.4160029192647806,1.9957446719871668,2
6,219,0.41720731974490877,0.011315491060458264,14,7,0.22157214491370697,1.995911066921895,66
10,159,0.9516629862963653,0.006247954500956186,17,18,0.34779993704943746,1.9959374598458304,90
6,125,0.6040183259356661,0.02082112798636227,6,18,0.3852839996290489,1.9960460109043252,63
6,286,0.40394248313992703,0.011940537199895249,14,7,0.3238702630563748,1.996393848504222,68
6,228,0.7471007220303143,0.019028264896643655,11,6,0.15225612487040535,1.9967302212858296,29
6,171,0.5822310324308733,0.030320290458249407,14,12,0.27334147046339935,1.996806147778896,71
10,126,0.7757688871472053,0.025151846186084466,5,9,0.29751274146016937,1.996828772724588,43
6,133,0.14071670371016787,0.042653582016778185,6,8,0.09961571043006022,1.9968815602197716,93
6,120,0.5265490406418594,0.04906086819884316,4,9,0.25149445945513993,1.996943571562976,59
6,193,0.320869463778328,0.030954093568616198,16,11,0.21751143354914093,1.9969602589588988,57
9,465,0.8664551756738545,0.0047546117502625124,14,8,0.06094705675056308,1.9969620188809143,50
7,195,0.18191741906803505,0.07274264773431642,2,17,0.025990270741258065,1.9969746340502288,75
9,377,0.5656268466024403,0.016094271691533577,2,17,0.16508095126051803,1.9972340311453,33
6,205,0.3587622380629833,0.04635449026927054,19,13,0.1185940809534091,1.9972518652626656,32
6,299,0.25789918937038864,0.026313867338018344,14,12,0.4601540416991584,1.9972535332578063,1
10,446,0.0661899975765759,0.011457037190404843,2,7,0.4868576254467979,1.9972823466130405,55
11,257,0.6397401723239188,0.010870928345383864,4,9,0.06996492688059078,1.997325383511645,85
6,462,0.45025324171311587,0.020483455493582256,5,13,0.41233563240281657,1.997366689359528,72
6,150,0.2661846341368863,0.06540328728262428,5,15,0.33840616907395243,1.997413163074783,30
7,337,0.8117975300222976,0.02729766275496066,16,11,0.43176462838908275,1.9974321607285472,84
6,194,0.497820480401747,0.05501153085862109,14,14,0.3629938669489472,1.9974408034162157,69
9,158,0.31510515692788876,0.045687842046220214,11,7,0.3787547956266435,1.997440869381468,41
7,190,0.10789759728064546,0.05086053639990136,2,15,0.16707569169031908,1.9974419503377407,77
6,360,0.43058412833407406,0.03572925086969438,2,7,0.09135537647592971,1.9974420997139268,23
9,256,0.1518058534926004,0.22642895718396322,6,11,0.013594004182195793,1.9974651380984083,11
12,469,0.28549193404274875,0.018133326032083785,15,5,0.033494120834491575,1.9975042841095176,88
7,298,0.7579005253389974,0.03689823479370806,12,10,0.23512254771262958,1.9975380131628735,79
7,467,0.5018054964927456,0.03919382875271081,15,5,0.017354599400229487,1.9975659697472368,28
6,453,0.46195313526522946,0.028763421818899695,15,15,0.47993715186971325,1.9975675022231527,36
8,127,0.6274374810873947,0.11381451721841146,10,11,0.05635638726608566,1.997580858498564,40
9,111,0.6937694183675667,0.14476157374210072,8,3,0.01437128498982651,1.9975850049866384,80
6,430,0.7250002200605046,0.04237193007711608,19,8,0.08638109037039313,1.9975895600663975,70
6,458,0.26657212709166644,0.03721742770257932,11,7,0.18806485610737755,1.99760990208317,67
6,208,0.20067114974151196,0.08191475851821459,17,17,0.1844888712871828,1.9976317550383236,46
7,329,0.10371223620202867,0.06156493302543458,2,17,0.05816782442389426,1.9976653245542848,74
8,104,0.9835983790750666,0.1378763914812819,13,18,0.24638952536028236,1.9976844363892228,45
7,201,0.25049503024164704,0.06897852809400794,12,4,0.7386500822480521,1.9977097671406248,100
12,262,0.031163511999555554,0.2519809152840092,3,14,0.40380801063860605,1.9977196293584096,20
11,215,0.5318065467448261,0.05641259071099855,18,6,0.1295249798691951,1.997726204914403,44
6,221,0.4838524461687175,0.10956318781018246,2,12,0.2025603868794831,1.997760776158011,95
6,135,0.888064535907053,0.18130251088386581,8,3,0.3549189124676074,1.997768642639359,37
6,257,0.6715455984825521,0.09196083197000626,2,15,0.21016474494129989,1.9977765654929929,25
6,445,0.9061586081255839,0.12178993062030737,9,12,0.022054692013104754,1.997784373708693,53
6,257,0.4309362268195768,0.09282351300849177,7,15,0.25467571944823514,1.9977944128951823,31
7,289,0.38679963042665005,0.08292299452072144,18,4,0.11734966289563326,1.9978025017388343,58
12,108,0.05476501820848731,0.29421724336779975,8,8,0.8142720284737895,1.9978150642890729,5
8,452,0.5458628620683186,0.03350368121234769,7,2,0.8296936592725217,1.9978394922836011,97
11,291,0.09155655107345931,0.25598029557793844,10,8,0.5875355927854107,1.9978613808356704,16
10,417,0.6698193538408754,0.0780736661039031,19,7,0.04450184137903129,1.9978873725442747,35
