iteration,f1_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
12,0.8890782389234826,2022-06-15 03:30:23.181521,2022-06-15 03:30:59.490339,0 days 00:00:36.308818,chebyshev,4,COMPLETE
68,0.8890782389234826,2022-06-15 04:04:33.236612,2022-06-15 04:05:09.507776,0 days 00:00:36.271164,chebyshev,4,COMPLETE
23,0.8890782389234826,2022-06-15 03:37:05.704699,2022-06-15 03:37:41.938225,0 days 00:00:36.233526,chebyshev,4,COMPLETE
91,0.8890782389234826,2022-06-15 04:18:31.181151,2022-06-15 04:19:07.444142,0 days 00:00:36.262991,chebyshev,4,COMPLETE
61,0.8890782389234826,2022-06-15 04:00:18.316469,2022-06-15 04:00:54.576739,0 days 00:00:36.260270,chebyshev,4,COMPLETE
64,0.8890782389234826,2022-06-15 04:02:07.324572,2022-06-15 04:02:43.640026,0 days 00:00:36.315454,chebyshev,4,COMPLETE
80,0.8890782389234826,2022-06-15 04:11:50.480663,2022-06-15 04:12:26.807338,0 days 00:00:36.326675,chebyshev,4,COMPLETE
15,0.8890782389234826,2022-06-15 03:32:12.293333,2022-06-15 03:32:48.565306,0 days 00:00:36.271973,chebyshev,4,COMPLETE
84,0.8890782389234826,2022-06-15 04:14:16.046715,2022-06-15 04:14:52.324936,0 days 00:00:36.278221,chebyshev,4,COMPLETE
86,0.8890782389234826,2022-06-15 04:15:28.769568,2022-06-15 04:16:05.073831,0 days 00:00:36.304263,chebyshev,4,COMPLETE
59,0.8890782389234826,2022-06-15 03:59:04.200473,2022-06-15 03:59:40.468767,0 days 00:00:36.268294,chebyshev,4,COMPLETE
10,0.8890782389234826,2022-06-15 03:29:10.455300,2022-06-15 03:29:46.755792,0 days 00:00:36.300492,chebyshev,4,COMPLETE
79,0.8890782389234826,2022-06-15 04:11:14.212439,2022-06-15 04:11:50.480520,0 days 00:00:36.268081,chebyshev,4,COMPLETE
95,0.8890782389234826,2022-06-15 04:20:56.473550,2022-06-15 04:21:32.711498,0 days 00:00:36.237948,chebyshev,4,COMPLETE
96,0.8890782389234826,2022-06-15 04:21:32.711667,2022-06-15 04:22:09.145361,0 days 00:00:36.433694,chebyshev,4,COMPLETE
71,0.8890782389234826,2022-06-15 04:06:22.398628,2022-06-15 04:06:58.740812,0 days 00:00:36.342184,chebyshev,4,COMPLETE
72,0.8890782389234826,2022-06-15 04:06:58.740965,2022-06-15 04:07:35.016377,0 days 00:00:36.275412,chebyshev,4,COMPLETE
73,0.8890782389234826,2022-06-15 04:07:35.016514,2022-06-15 04:08:11.362772,0 days 00:00:36.346258,chebyshev,4,COMPLETE
77,0.8890782389234826,2022-06-15 04:10:01.455061,2022-06-15 04:10:37.720038,0 days 00:00:36.264977,chebyshev,4,COMPLETE
56,0.8881845191501115,2022-06-15 03:57:15.023947,2022-06-15 03:57:51.333755,0 days 00:00:36.309808,chebyshev,3,COMPLETE
51,0.8881845191501115,2022-06-15 03:54:11.286207,2022-06-15 03:54:47.510064,0 days 00:00:36.223857,chebyshev,3,COMPLETE
33,0.8881845191501115,2022-06-15 03:43:11.234391,2022-06-15 03:43:47.434936,0 days 00:00:36.200545,chebyshev,3,COMPLETE
31,0.8881845191501115,2022-06-15 03:41:58.621384,2022-06-15 03:42:34.837911,0 days 00:00:36.216527,chebyshev,3,COMPLETE
46,0.8881845191501115,2022-06-15 03:51:07.269045,2022-06-15 03:51:43.580166,0 days 00:00:36.311121,chebyshev,3,COMPLETE
99,0.8881845191501115,2022-06-15 04:23:21.927564,2022-06-15 04:23:58.231851,0 days 00:00:36.304287,euclidean,3,COMPLETE
21,0.8881845191501115,2022-06-15 03:35:52.957550,2022-06-15 03:36:29.307307,0 days 00:00:36.349757,chebyshev,3,COMPLETE
87,0.8881845191501115,2022-06-15 04:16:05.073999,2022-06-15 04:16:41.401384,0 days 00:00:36.327385,chebyshev,3,COMPLETE
93,0.8881845191501115,2022-06-15 04:19:43.812593,2022-06-15 04:20:20.038383,0 days 00:00:36.225790,chebyshev,3,COMPLETE
13,0.8881845191501115,2022-06-15 03:30:59.490445,2022-06-15 03:31:35.772451,0 days 00:00:36.282006,chebyshev,3,COMPLETE
41,0.8881845191501115,2022-06-15 03:48:05.430391,2022-06-15 03:48:41.652484,0 days 00:00:36.222093,chebyshev,3,COMPLETE
57,0.8691810701642249,2022-06-15 03:57:51.333894,2022-06-15 03:58:27.676655,0 days 00:00:36.342761,manhattan,6,COMPLETE
82,0.8691810701642249,2022-06-15 04:13:03.162868,2022-06-15 04:13:39.654114,0 days 00:00:36.491246,chebyshev,6,COMPLETE
22,0.8691810701642249,2022-06-15 03:36:29.307423,2022-06-15 03:37:05.704535,0 days 00:00:36.397112,chebyshev,6,COMPLETE
32,0.8691810701642249,2022-06-15 03:42:34.838056,2022-06-15 03:43:11.234246,0 days 00:00:36.396190,chebyshev,6,COMPLETE
67,0.8691810701642249,2022-06-15 04:03:56.747608,2022-06-15 04:04:33.236470,0 days 00:00:36.488862,chebyshev,6,COMPLETE
88,0.8691810701642249,2022-06-15 04:16:41.401658,2022-06-15 04:17:17.731696,0 days 00:00:36.330038,chebyshev,6,COMPLETE
74,0.8691810701642249,2022-06-15 04:08:11.362933,2022-06-15 04:08:47.797593,0 days 00:00:36.434660,chebyshev,6,COMPLETE
98,0.8691810701642249,2022-06-15 04:22:45.583113,2022-06-15 04:23:21.927376,0 days 00:00:36.344263,manhattan,6,COMPLETE
54,0.8660604750159681,2022-06-15 03:56:02.254569,2022-06-15 03:56:38.629402,0 days 00:00:36.374833,chebyshev,5,COMPLETE
83,0.8660604750159681,2022-06-15 04:13:39.654275,2022-06-15 04:14:16.046542,0 days 00:00:36.392267,chebyshev,5,COMPLETE
62,0.8660604750159681,2022-06-15 04:00:54.576872,2022-06-15 04:01:30.948678,0 days 00:00:36.371806,chebyshev,5,COMPLETE
45,0.8660604750159681,2022-06-15 03:50:30.975610,2022-06-15 03:51:07.268868,0 days 00:00:36.293258,manhattan,5,COMPLETE
38,0.8660604750159681,2022-06-15 03:46:13.613986,2022-06-15 03:46:49.884485,0 days 00:00:36.270499,manhattan,5,COMPLETE
92,0.8660604750159681,2022-06-15 04:19:07.444350,2022-06-15 04:19:43.812438,0 days 00:00:36.368088,chebyshev,5,COMPLETE
35,0.8660604750159681,2022-06-15 03:44:24.164211,2022-06-15 03:45:00.468932,0 days 00:00:36.304721,chebyshev,5,COMPLETE
42,0.8660604750159681,2022-06-15 03:48:41.652631,2022-06-15 03:49:18.018216,0 days 00:00:36.365585,chebyshev,5,COMPLETE
43,0.8546199146668545,2022-06-15 03:49:18.018347,2022-06-15 03:49:54.446430,0 days 00:00:36.428083,chebyshev,8,COMPLETE
78,0.8546199146668545,2022-06-15 04:10:37.720192,2022-06-15 04:11:14.212247,0 days 00:00:36.492055,manhattan,8,COMPLETE
97,0.8546199146668545,2022-06-15 04:22:09.145561,2022-06-15 04:22:45.582944,0 days 00:00:36.437383,chebyshev,8,COMPLETE
48,0.8546199146668545,2022-06-15 03:52:21.612778,2022-06-15 03:52:58.054463,0 days 00:00:36.441685,euclidean,8,COMPLETE
14,0.8546199146668545,2022-06-15 03:31:35.772547,2022-06-15 03:32:12.293228,0 days 00:00:36.520681,chebyshev,8,COMPLETE
55,0.8546199146668545,2022-06-15 03:56:38.629563,2022-06-15 03:57:15.023812,0 days 00:00:36.394249,chebyshev,8,COMPLETE
16,0.8533662166099495,2022-06-15 03:32:48.565415,2022-06-15 03:33:25.471167,0 days 00:00:36.905752,chebyshev,20,COMPLETE
30,0.8530798980531507,2022-06-15 03:41:21.698493,2022-06-15 03:41:58.621273,0 days 00:00:36.922780,chebyshev,22,COMPLETE
89,0.8524544462476629,2022-06-15 04:17:17.731863,2022-06-15 04:17:54.663067,0 days 00:00:36.931204,chebyshev,18,COMPLETE
3,0.8515872317469013,2022-06-15 03:24:47.866029,2022-06-15 03:25:25.209386,0 days 00:00:37.343357,chebyshev,26,COMPLETE
76,0.8515872317469013,2022-06-15 04:09:24.381240,2022-06-15 04:10:01.454881,0 days 00:00:37.073641,minkowski,26,COMPLETE
20,0.851437274448113,2022-06-15 03:35:15.735288,2022-06-15 03:35:52.957429,0 days 00:00:37.222141,chebyshev,32,COMPLETE
40,0.851084961845649,2022-06-15 03:47:28.187094,2022-06-15 03:48:05.430267,0 days 00:00:37.243173,minkowski,28,COMPLETE
47,0.8504834367470698,2022-06-15 03:51:43.580308,2022-06-15 03:52:21.612591,0 days 00:00:38.032283,chebyshev,38,COMPLETE
4,0.8504600270764096,2022-06-15 03:25:25.209491,2022-06-15 03:26:03.239172,0 days 00:00:38.029681,minkowski,40,COMPLETE
27,0.8503653510113691,2022-06-15 03:39:31.568587,2022-06-15 03:40:08.404504,0 days 00:00:36.835917,euclidean,16,COMPLETE
39,0.8493539580921543,2022-06-15 03:46:49.884598,2022-06-15 03:47:28.186952,0 days 00:00:38.302354,chebyshev,50,COMPLETE
26,0.8475800021249298,2022-06-15 03:38:55.199526,2022-06-15 03:39:31.568468,0 days 00:00:36.368942,chebyshev,7,COMPLETE
70,0.8475800021249298,2022-06-15 04:05:46.027588,2022-06-15 04:06:22.398478,0 days 00:00:36.370890,euclidean,7,COMPLETE
11,0.8475800021249298,2022-06-15 03:29:46.755929,2022-06-15 03:30:23.181424,0 days 00:00:36.425495,chebyshev,7,COMPLETE
81,0.8475800021249298,2022-06-15 04:12:26.807486,2022-06-15 04:13:03.162721,0 days 00:00:36.355235,chebyshev,7,COMPLETE
53,0.8475800021249298,2022-06-15 03:55:25.750603,2022-06-15 03:56:02.254431,0 days 00:00:36.503828,chebyshev,7,COMPLETE
94,0.8475800021249298,2022-06-15 04:20:20.038574,2022-06-15 04:20:56.473360,0 days 00:00:36.434786,minkowski,7,COMPLETE
63,0.8475800021249298,2022-06-15 04:01:30.948838,2022-06-15 04:02:07.324432,0 days 00:00:36.375594,chebyshev,7,COMPLETE
9,0.8467451488047179,2022-06-15 03:28:33.737588,2022-06-15 03:29:10.455176,0 days 00:00:36.717588,euclidean,14,COMPLETE
6,0.8467451488047179,2022-06-15 03:26:41.449045,2022-06-15 03:27:18.185512,0 days 00:00:36.736467,manhattan,14,COMPLETE
37,0.8467451488047179,2022-06-15 03:45:36.981528,2022-06-15 03:46:13.613863,0 days 00:00:36.632335,chebyshev,14,COMPLETE
66,0.8464943892460045,2022-06-15 04:03:20.281812,2022-06-15 04:03:56.747478,0 days 00:00:36.465666,chebyshev,10,COMPLETE
19,0.8464943892460045,2022-06-15 03:34:39.258017,2022-06-15 03:35:15.735179,0 days 00:00:36.477162,euclidean,10,COMPLETE
28,0.8464943892460045,2022-06-15 03:40:08.404644,2022-06-15 03:40:44.895523,0 days 00:00:36.490879,manhattan,10,COMPLETE
24,0.8464943892460045,2022-06-15 03:37:41.938334,2022-06-15 03:38:18.462078,0 days 00:00:36.523744,chebyshev,10,COMPLETE
50,0.8447356237583785,2022-06-15 03:53:34.719923,2022-06-15 03:54:11.286035,0 days 00:00:36.566112,chebyshev,12,COMPLETE
34,0.8447356237583785,2022-06-15 03:43:47.435073,2022-06-15 03:44:24.164081,0 days 00:00:36.729008,minkowski,12,COMPLETE
