iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
0,0.8147946302801139,2022-06-13 23:58:36.705082,2022-06-13 23:58:37.158019,0 days 00:00:00.452937,0.5927412541750963,False,0.6568264183116095,2176114.0,True,cyclic,0.037134362909297725,COMPLETE
743,0.8147946302801139,2022-06-14 00:07:42.521243,2022-06-14 00:07:43.307944,0 days 00:00:00.786701,1.9318476179249657,True,0.948722462385326,1827493.0,True,random,0.08700349171202103,COMPLETE
761,0.8147946302801139,2022-06-14 00:07:58.881396,2022-06-14 00:07:59.687361,0 days 00:00:00.805965,1.8505487131575653,False,0.9994373636049818,2073762.0,True,random,0.08606371114014731,COMPLETE
198,0.8147946302801139,2022-06-14 00:00:41.512280,2022-06-14 00:00:42.072013,0 days 00:00:00.559733,1.729509066467087,True,0.8124587535988125,8549213.0,True,random,0.056210655455717844,COMPLETE
780,0.8147946302801139,2022-06-14 00:08:16.570111,2022-06-14 00:08:17.409322,0 days 00:00:00.839211,1.997970472470175,True,0.9454761541459042,4103386.0,True,random,0.07821656374095792,COMPLETE
800,0.8147946302801139,2022-06-14 00:08:35.502933,2022-06-14 00:08:36.609301,0 days 00:00:01.106368,1.96719093309462,False,0.930719670500092,3123077.0,True,random,0.07718463797167546,COMPLETE
820,0.8147946302801139,2022-06-14 00:08:54.408789,2022-06-14 00:08:55.253339,0 days 00:00:00.844550,1.889891069493324,True,0.9992419309729028,2701697.0,True,random,0.07580976726765809,COMPLETE
838,0.8147946302801139,2022-06-14 00:09:11.552319,2022-06-14 00:09:12.391041,0 days 00:00:00.838722,1.8411394779293513,False,0.9996352514406023,2204574.0,True,random,0.08333531833017022,COMPLETE
857,0.8147946302801139,2022-06-14 00:09:29.862921,2022-06-14 00:09:30.716071,0 days 00:00:00.853150,1.9506754248834748,False,0.980242344668335,1964081.0,True,random,0.08699482323574131,COMPLETE
875,0.8147946302801139,2022-06-14 00:09:47.238823,2022-06-14 00:09:48.107212,0 days 00:00:00.868389,1.9432672820662846,False,0.9280560412649554,1836325.0,True,random,0.08024405406657485,COMPLETE
723,0.8147946302801139,2022-06-14 00:07:23.998073,2022-06-14 00:07:24.802380,0 days 00:00:00.804307,1.9342252503124642,False,0.9538770983800477,2561283.0,True,random,0.0832168091098497,COMPLETE
894,0.8147946302801139,2022-06-14 00:10:05.658885,2022-06-14 00:10:06.529429,0 days 00:00:00.870544,1.9975708028621122,False,0.9355868436554837,1025360.0,True,random,0.026935798286754114,COMPLETE
932,0.8147946302801139,2022-06-14 00:10:44.312469,2022-06-14 00:10:45.233409,0 days 00:00:00.920940,1.9651566184691545,False,0.9365206125329639,1274066.0,True,random,0.08083986321501153,COMPLETE
166,0.8147946302801139,2022-06-14 00:00:21.655661,2022-06-14 00:00:22.197510,0 days 00:00:00.541849,1.8719963439419114,False,0.68832216536919,9327671.0,True,random,0.06081692925249766,COMPLETE
954,0.8147946302801139,2022-06-14 00:11:06.956357,2022-06-14 00:11:07.881552,0 days 00:00:00.925195,1.9989662635002352,True,0.9490090454548549,2759646.0,True,random,0.07650513783908991,COMPLETE
970,0.8147946302801139,2022-06-14 00:11:23.561279,2022-06-14 00:11:24.499347,0 days 00:00:00.938068,1.898502101878683,True,0.979767333307868,1162514.0,True,random,0.08222509711942845,COMPLETE
990,0.8147946302801139,2022-06-14 00:11:45.135778,2022-06-14 00:11:46.094923,0 days 00:00:00.959145,1.8769032715465466,False,0.9805785957147741,2782934.0,True,random,0.08280850367867991,COMPLETE
138,0.8147946302801139,2022-06-14 00:00:04.700313,2022-06-14 00:00:05.225527,0 days 00:00:00.525214,1.9935459928424133,False,0.5500829479997936,9754043.0,True,random,0.07729916622937924,COMPLETE
110,0.8147946302801139,2022-06-13 23:59:47.001848,2022-06-13 23:59:47.527683,0 days 00:00:00.525835,1.482768266968431,False,0.3303837191360082,9090330.0,True,cyclic,0.033039027899517,COMPLETE
96,0.8147946302801139,2022-06-13 23:59:38.101226,2022-06-13 23:59:38.602720,0 days 00:00:00.501494,0.6884598287138248,False,0.2636038788805067,7308746.0,True,cyclic,0.02344362980540563,COMPLETE
79,0.8147946302801139,2022-06-13 23:59:27.516796,2022-06-13 23:59:28.045410,0 days 00:00:00.528614,1.9981165673915795,False,0.46599981680943375,8119474.0,True,cyclic,0.06851453699042757,COMPLETE
913,0.8147946302801139,2022-06-14 00:10:24.817955,2022-06-14 00:10:25.696574,0 days 00:00:00.878619,1.8628508023464816,False,0.9799499563550118,1336058.0,True,random,0.08616672757370582,COMPLETE
68,0.8147946302801139,2022-06-13 23:59:20.336118,2022-06-13 23:59:20.874295,0 days 00:00:00.538177,1.653863864719955,False,0.12519252327479918,6145453.0,True,cyclic,0.03995728704509897,COMPLETE
703,0.8147946302801139,2022-06-14 00:07:06.202701,2022-06-14 00:07:06.982360,0 days 00:00:00.779659,1.8856294906278812,True,0.9554857082700805,1671558.0,True,random,0.0828991168845509,COMPLETE
666,0.8147946302801139,2022-06-14 00:06:33.867124,2022-06-14 00:06:34.633826,0 days 00:00:00.766702,1.8369422530496677,True,0.9687097876290146,1531687.0,True,random,0.08359278653312745,COMPLETE
325,0.8147946302801139,2022-06-14 00:02:05.524957,2022-06-14 00:02:06.134499,0 days 00:00:00.609542,1.6979193777178077,False,0.9249971633411809,5704516.0,True,random,0.03930292474491493,COMPLETE
345,0.8147946302801139,2022-06-14 00:02:19.766779,2022-06-14 00:02:20.433422,0 days 00:00:00.666643,1.763570963052777,False,0.9756761462731675,5746922.0,True,random,0.03863621082228297,COMPLETE
283,0.8147946302801139,2022-06-14 00:01:36.816070,2022-06-14 00:01:37.415700,0 days 00:00:00.599630,1.593445985112193,False,0.9948147058206538,6913163.0,True,random,0.04246386076480875,COMPLETE
366,0.8147946302801139,2022-06-14 00:02:35.257173,2022-06-14 00:02:35.881325,0 days 00:00:00.624152,1.7838425596190917,False,0.9778351321592988,5473609.0,True,random,0.03988176975533267,COMPLETE
386,0.8147946302801139,2022-06-14 00:02:50.923985,2022-06-14 00:02:51.567901,0 days 00:00:00.643916,1.8134948576383352,False,0.9736059289353732,2234771.0,True,random,0.03483775433252325,COMPLETE
407,0.8147946302801139,2022-06-14 00:03:06.382124,2022-06-14 00:03:07.043638,0 days 00:00:00.661514,1.8939352982272577,False,0.8814783252699132,1703579.0,True,random,0.0999095277438631,COMPLETE
428,0.8147946302801139,2022-06-14 00:03:21.905644,2022-06-14 00:03:22.570190,0 days 00:00:00.664546,1.9442850945675965,True,0.8956428125202758,685212.0,True,random,0.08291765881873242,COMPLETE
448,0.8147946302801139,2022-06-14 00:03:37.048841,2022-06-14 00:03:37.720720,0 days 00:00:00.671879,1.998420815219056,False,0.9229121905386392,280788.0,True,random,0.07850396386727211,COMPLETE
263,0.8147946302801139,2022-06-14 00:01:23.665366,2022-06-14 00:01:24.255133,0 days 00:00:00.589767,1.4339437305854936,False,0.9981730385335074,7344472.0,True,random,0.04590079001904557,COMPLETE
685,0.8147946302801139,2022-06-14 00:06:50.351793,2022-06-14 00:06:51.146048,0 days 00:00:00.794255,1.9286326145212958,False,0.9980101915802436,2314412.0,True,random,0.0853728364537255,COMPLETE
468,0.8147946302801139,2022-06-14 00:03:52.206012,2022-06-14 00:03:52.875591,0 days 00:00:00.669579,1.9626149103630788,False,0.9282804732062487,125391.0,True,random,0.0764087107128547,COMPLETE
509,0.8147946302801139,2022-06-14 00:04:24.101000,2022-06-14 00:04:24.808467,0 days 00:00:00.707467,1.9514877253044316,True,0.9440845759940732,689461.0,True,random,0.06648524837660326,COMPLETE
527,0.8147946302801139,2022-06-14 00:04:38.257800,2022-06-14 00:04:38.965358,0 days 00:00:00.707558,1.9440279038425896,True,0.9552717010102237,883340.0,True,random,0.06695014811452944,COMPLETE
547,0.8147946302801139,2022-06-14 00:04:54.392223,2022-06-14 00:04:55.095337,0 days 00:00:00.703114,1.9990148437725632,True,0.9686408516821128,1306342.0,True,random,0.07875478030917082,COMPLETE
567,0.8147946302801139,2022-06-14 00:05:10.442186,2022-06-14 00:05:11.174389,0 days 00:00:00.732203,1.8996248617159874,False,0.9837299443258148,1614590.0,True,random,0.08250615202686026,COMPLETE
587,0.8147946302801139,2022-06-14 00:05:26.691367,2022-06-14 00:05:27.687467,0 days 00:00:00.996100,1.9075152005890936,True,0.9833406113705386,1413558.0,True,random,0.08422408178186827,COMPLETE
610,0.8147946302801139,2022-06-14 00:05:45.772536,2022-06-14 00:05:46.522418,0 days 00:00:00.749882,1.9516049336512962,True,0.9716794441009876,1340304.0,True,random,0.08972130319517464,COMPLETE
238,0.8147946302801139,2022-06-14 00:01:07.242025,2022-06-14 00:01:07.814553,0 days 00:00:00.572528,1.5333663581668577,False,0.971617305542303,7961535.0,True,random,0.04889164704220192,COMPLETE
626,0.8147946302801139,2022-06-14 00:05:59.445529,2022-06-14 00:06:00.188738,0 days 00:00:00.743209,1.9069576907045325,True,0.9659451121127101,1495889.0,True,random,0.07970937779930727,COMPLETE
645,0.8147946302801139,2022-06-14 00:06:15.338594,2022-06-14 00:06:16.095268,0 days 00:00:00.756674,1.9515646748995135,False,0.9646356348197057,2123957.0,True,random,0.09120681369523843,COMPLETE
488,0.8147946302801139,2022-06-14 00:04:07.790349,2022-06-14 00:04:08.482816,0 days 00:00:00.692467,1.9356821495196561,True,0.9345859890716559,657264.0,True,random,0.07104340768111053,COMPLETE
48,0.8147946302801139,2022-06-13 23:59:07.968146,2022-06-13 23:59:08.464958,0 days 00:00:00.496812,1.525102261533738,False,0.6448687011137774,7818548.0,True,cyclic,0.03140874233471645,COMPLETE
306,0.8147946302801139,2022-06-14 00:01:52.493758,2022-06-14 00:01:53.104931,0 days 00:00:00.611173,1.626907847421684,False,0.9999908263577946,6803847.0,True,random,0.041716809861273116,COMPLETE
7,0.8147946302801139,2022-06-13 23:58:40.241093,2022-06-13 23:58:40.715209,0 days 00:00:00.474116,1.0630438848606607,False,0.4743323392577443,5061179.0,True,random,0.03754025670848503,COMPLETE
9,0.8147946302801139,2022-06-13 23:58:41.239837,2022-06-13 23:58:41.651881,0 days 00:00:00.412044,0.5123814171229089,True,0.5716960092499519,1392635.0,True,random,0.07307802682950496,COMPLETE
3,0.8147946302801139,2022-06-13 23:58:38.130038,2022-06-13 23:58:38.549981,0 days 00:00:00.419943,0.26095898179249866,False,0.36079875304217923,9067164.0,True,random,0.049535184737577204,COMPLETE
40,0.8147946302801139,2022-06-13 23:59:03.182860,2022-06-13 23:59:03.641757,0 days 00:00:00.458897,1.2846479706076397,False,0.9065766739175785,9414018.0,True,cyclic,0.022025326121344176,COMPLETE
37,0.8147946302801139,2022-06-13 23:59:01.521608,2022-06-13 23:59:01.976474,0 days 00:00:00.454866,1.854778733900071,False,0.3313658444425603,8746002.0,True,cyclic,0.055063123037050854,COMPLETE
34,0.8147946302801139,2022-06-13 23:58:59.522086,2022-06-13 23:59:00.004796,0 days 00:00:00.482710,1.5665077964712848,True,0.35906510300438454,7427213.0,True,cyclic,0.033044676361426696,COMPLETE
1,0.8147946302801139,2022-06-13 23:58:37.158110,2022-06-13 23:58:37.597655,0 days 00:00:00.439545,1.0321129370697895,True,0.7817377618393814,5114826.0,True,cyclic,0.03189446919504605,COMPLETE
