iteration,precision,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
883,0.9569056489996339,2022-07-03 03:03:46.774609,2022-07-03 03:03:50.169967,0 days 00:00:03.395358,8.3,0.49228851016431374,150,29524655,l1,0.0094172045062282,COMPLETE
339,0.9396532674420941,2022-07-03 02:40:34.756959,2022-07-03 02:40:38.459847,0 days 00:00:03.702888,9.6,0.19781119173552636,150,27228011,l1,1.7068194024409786e-05,COMPLETE
537,0.924847758810023,2022-07-03 02:48:24.967994,2022-07-03 02:48:28.206179,0 days 00:00:03.238185,9.700000000000001,0.27106766379566205,140,24211142,l1,0.0016585299027557395,COMPLETE
223,0.9246445187078173,2022-07-03 02:36:21.852034,2022-07-03 02:36:25.452124,0 days 00:00:03.600090,7.9,0.3604722710662904,221,24364868,l1,0.004631955191823394,COMPLETE
337,0.9242322254943206,2022-07-03 02:40:28.689167,2022-07-03 02:40:32.277175,0 days 00:00:03.588008,9.700000000000001,0.4157977555506357,151,25609005,l1,0.0015222834106297066,COMPLETE
332,0.9238917964562708,2022-07-03 02:40:18.594869,2022-07-03 02:40:21.712078,0 days 00:00:03.117209,9.700000000000001,0.34253550376273395,162,19025044,l1,0.002355471152352388,COMPLETE
30,0.9226755940088259,2022-07-03 02:29:27.602217,2022-07-03 02:29:32.874070,0 days 00:00:05.271853,9.0,0.6796924691021079,183,6507148,l1,0.0002734936212829865,COMPLETE
553,0.9226049628311171,2022-07-03 02:49:01.688064,2022-07-03 02:49:05.936326,0 days 00:00:04.248262,9.700000000000001,0.3120849248454769,159,31202166,l1,0.001809352332686294,COMPLETE
886,0.9224554720693191,2022-07-03 03:03:53.526566,2022-07-03 03:03:56.666794,0 days 00:00:03.140228,8.2,0.49585663412603087,184,25563175,l1,0.010651575793206622,COMPLETE
69,0.9222896790980052,2022-07-03 02:30:34.301273,2022-07-03 02:30:37.978173,0 days 00:00:03.676900,3.8000000000000003,0.3921240934944093,181,19535834,l1,0.00045131339536695484,COMPLETE
902,0.9219856615250923,2022-07-03 03:04:32.843257,2022-07-03 03:04:35.872074,0 days 00:00:03.028817,8.4,0.41239603626957105,144,29898809,l1,0.011897326843002628,COMPLETE
