iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
724,0.8957569361491093,2022-06-13 22:23:55.934124,2022-06-13 22:23:56.543937,0 days 00:00:00.609813,6.079136992050479,eig,COMPLETE
411,0.8957569361491093,2022-06-13 22:19:14.395517,2022-06-13 22:19:14.911987,0 days 00:00:00.516470,4.330557905097286,eig,COMPLETE
897,0.8957569361491093,2022-06-13 22:26:42.954443,2022-06-13 22:26:43.590248,0 days 00:00:00.635805,4.847407229208299,eig,COMPLETE
627,0.8957569361491093,2022-06-13 22:22:25.430862,2022-06-13 22:22:25.993790,0 days 00:00:00.562928,4.0473690724462745,eig,COMPLETE
760,0.8957569361491093,2022-06-13 22:24:30.062884,2022-06-13 22:24:30.666929,0 days 00:00:00.604045,5.605819793966903,eig,COMPLETE
37,0.8957569361491093,2022-06-13 22:14:10.903439,2022-06-13 22:14:11.343400,0 days 00:00:00.439961,3.9687073812525755,eig,COMPLETE
878,0.8957569361491093,2022-06-13 22:26:24.406097,2022-06-13 22:26:25.026342,0 days 00:00:00.620245,4.419019683235917,eig,COMPLETE
431,0.8957569361491093,2022-06-13 22:19:31.448411,2022-06-13 22:19:31.976528,0 days 00:00:00.528117,5.301395994544047,eig,COMPLETE
606,0.8957569361491093,2022-06-13 22:22:06.041929,2022-06-13 22:22:06.622554,0 days 00:00:00.580625,6.191767204711373,eig,COMPLETE
857,0.8957569361491093,2022-06-13 22:26:03.801942,2022-06-13 22:26:04.426060,0 days 00:00:00.624118,5.516215532544319,eig,COMPLETE
451,0.8957569361491093,2022-06-13 22:19:48.876415,2022-06-13 22:19:49.406972,0 days 00:00:00.530557,5.604175321144799,eig,COMPLETE
46,0.8957569361491093,2022-06-13 22:14:17.698202,2022-06-13 22:14:18.150390,0 days 00:00:00.452188,4.713281769068861,eig,COMPLETE
588,0.8957569361491093,2022-06-13 22:21:49.647771,2022-06-13 22:21:50.209578,0 days 00:00:00.561807,4.945401381215332,eig,COMPLETE
470,0.8957569361491093,2022-06-13 22:20:05.218015,2022-06-13 22:20:05.749332,0 days 00:00:00.531317,6.332494174327229,eig,COMPLETE
568,0.8957569361491093,2022-06-13 22:21:31.649989,2022-06-13 22:21:32.201736,0 days 00:00:00.551747,4.84687130596315,eig,COMPLETE
50,0.8957569361491093,2022-06-13 22:14:20.579340,2022-06-13 22:14:21.006584,0 days 00:00:00.427244,6.055126246506611,eig,COMPLETE
77,0.8957569361491093,2022-06-13 22:14:41.554312,2022-06-13 22:14:41.953357,0 days 00:00:00.399045,5.12859605179213,eig,COMPLETE
156,0.8957569361491093,2022-06-13 22:15:43.755727,2022-06-13 22:15:44.214696,0 days 00:00:00.458969,6.382058348748034,eig,COMPLETE
838,0.8957569361491093,2022-06-13 22:25:45.471060,2022-06-13 22:25:46.089139,0 days 00:00:00.618079,5.6356133622626565,eig,COMPLETE
129,0.8957569361491093,2022-06-13 22:15:22.026190,2022-06-13 22:15:22.476132,0 days 00:00:00.449942,3.3696624168964164,eig,COMPLETE
549,0.8957569361491093,2022-06-13 22:21:14.625178,2022-06-13 22:21:15.423022,0 days 00:00:00.797844,5.245073740486869,eig,COMPLETE
820,0.8957569361491093,2022-06-13 22:25:28.202329,2022-06-13 22:25:28.820805,0 days 00:00:00.618476,6.735214904172594,eig,COMPLETE
490,0.8957569361491093,2022-06-13 22:20:22.542377,2022-06-13 22:20:23.067886,0 days 00:00:00.525509,4.327361273520516,eig,COMPLETE
529,0.8957569361491093,2022-06-13 22:20:56.977057,2022-06-13 22:20:57.519086,0 days 00:00:00.542029,3.902507780636147,eig,COMPLETE
60,0.8957569361491093,2022-06-13 22:14:28.225842,2022-06-13 22:14:28.633724,0 days 00:00:00.407882,5.524814100075578,eig,COMPLETE
781,0.8957569361491093,2022-06-13 22:24:50.380725,2022-06-13 22:24:51.025689,0 days 00:00:00.644964,5.895865214210875,eig,COMPLETE
800,0.8957569361491093,2022-06-13 22:25:08.724443,2022-06-13 22:25:09.366823,0 days 00:00:00.642380,6.622741883482095,eig,COMPLETE
508,0.8957569361491093,2022-06-13 22:20:38.372961,2022-06-13 22:20:38.911132,0 days 00:00:00.538171,3.037749926254416,eig,COMPLETE
916,0.8957569361491093,2022-06-13 22:27:01.817799,2022-06-13 22:27:02.456280,0 days 00:00:00.638481,5.040640221058091,eig,COMPLETE
667,0.8957569361491093,2022-06-13 22:23:02.383888,2022-06-13 22:23:02.978775,0 days 00:00:00.594887,5.378956602283107,eig,COMPLETE
648,0.8957569361491093,2022-06-13 22:22:44.671403,2022-06-13 22:22:45.248514,0 days 00:00:00.577111,4.2344683467573825,eig,COMPLETE
938,0.8957569361491093,2022-06-13 22:27:23.940161,2022-06-13 22:27:24.637999,0 days 00:00:00.697838,4.9457723100574436,eig,COMPLETE
992,0.8957569361491093,2022-06-13 22:28:17.963168,2022-06-13 22:28:18.616771,0 days 00:00:00.653603,4.409358941604966,eig,COMPLETE
218,0.8957569361491093,2022-06-13 22:16:33.632345,2022-06-13 22:16:34.099437,0 days 00:00:00.467092,4.325867219490515,eig,COMPLETE
254,0.8957569361491093,2022-06-13 22:17:03.037035,2022-06-13 22:17:03.515289,0 days 00:00:00.478254,4.471071882470187,eig,COMPLETE
4,0.8957569361491093,2022-06-13 22:13:47.087895,2022-06-13 22:13:47.475311,0 days 00:00:00.387416,4.504461219872496,eig,COMPLETE
274,0.8957569361491093,2022-06-13 22:17:19.618382,2022-06-13 22:17:20.113265,0 days 00:00:00.494883,5.417011975107174,eig,COMPLETE
6,0.8957569361491093,2022-06-13 22:13:48.249162,2022-06-13 22:13:48.663111,0 days 00:00:00.413949,5.044802591907798,eig,COMPLETE
294,0.8957569361491093,2022-06-13 22:17:36.057782,2022-06-13 22:17:36.545732,0 days 00:00:00.487950,5.531565184491385,eig,COMPLETE
704,0.8957569361491093,2022-06-13 22:23:37.167972,2022-06-13 22:23:37.752814,0 days 00:00:00.584842,5.778952637689628,eig,COMPLETE
10,0.8957569361491093,2022-06-13 22:13:51.050349,2022-06-13 22:13:51.465138,0 days 00:00:00.414789,0.10329306597087135,eig,COMPLETE
313,0.8957569361491093,2022-06-13 22:17:51.682433,2022-06-13 22:17:52.173186,0 days 00:00:00.490753,4.317898894219759,eig,COMPLETE
393,0.8957569361491093,2022-06-13 22:18:58.928777,2022-06-13 22:18:59.430689,0 days 00:00:00.501912,4.54858550096206,eig,COMPLETE
973,0.8957569361491093,2022-06-13 22:27:58.772028,2022-06-13 22:27:59.660257,0 days 00:00:00.888229,4.5903950209853175,eig,COMPLETE
685,0.8957569361491093,2022-06-13 22:23:19.381782,2022-06-13 22:23:19.957967,0 days 00:00:00.576185,5.413500862531012,eig,COMPLETE
334,0.8957569361491093,2022-06-13 22:18:09.174899,2022-06-13 22:18:09.674471,0 days 00:00:00.499572,4.354558274769142,eig,COMPLETE
14,0.8957569361491093,2022-06-13 22:13:53.843749,2022-06-13 22:13:54.272087,0 days 00:00:00.428338,9.633138252216103,eig,COMPLETE
