iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
0,0.6200864431506756,2022-06-12 16:27:06.607772,2022-06-12 16:27:07.036732,0 days 00:00:00.428960,2.2382223552313496,eig,COMPLETE
37,0.6200864431506756,2022-06-12 16:27:34.008057,2022-06-12 16:27:34.469743,0 days 00:00:00.461686,3.3334744912402403,eig,COMPLETE
967,0.6200864431506756,2022-06-12 16:41:30.188165,2022-06-12 16:41:30.845539,0 days 00:00:00.657374,4.266885787635905,eig,COMPLETE
363,0.6200864431506756,2022-06-12 16:32:06.216873,2022-06-12 16:32:06.750368,0 days 00:00:00.533495,7.712227724734335,eig,COMPLETE
404,0.6200864431506756,2022-06-12 16:32:42.086129,2022-06-12 16:32:42.625345,0 days 00:00:00.539216,4.367764288419159,eig,COMPLETE
239,0.6200864431506756,2022-06-12 16:30:19.908028,2022-06-12 16:30:20.410225,0 days 00:00:00.502197,6.5126728296432,eig,COMPLETE
776,0.6200864431506756,2022-06-12 16:38:23.020822,2022-06-12 16:38:23.624851,0 days 00:00:00.604029,8.72342279058169,eig,COMPLETE
304,0.6200864431506756,2022-06-12 16:31:15.141349,2022-06-12 16:31:15.655380,0 days 00:00:00.514031,5.529117404319771,eig,COMPLETE
661,0.6200864431506756,2022-06-12 16:36:34.532306,2022-06-12 16:36:35.111941,0 days 00:00:00.579635,4.386063573999283,eig,COMPLETE
890,0.6200864431506756,2022-06-12 16:40:13.622714,2022-06-12 16:40:14.251935,0 days 00:00:00.629221,2.9717587160684014,eig,COMPLETE
119,0.6200864431506756,2022-06-12 16:28:39.374502,2022-06-12 16:28:39.850640,0 days 00:00:00.476138,1.0472075718573934,eig,COMPLETE
560,0.6200864431506756,2022-06-12 16:35:01.304196,2022-06-12 16:35:02.151239,0 days 00:00:00.847043,7.93366266468351,eig,COMPLETE
57,0.6200864431506756,2022-06-12 16:27:49.707405,2022-06-12 16:27:50.195125,0 days 00:00:00.487720,3.059369038876465,eig,COMPLETE
832,0.6200864431506756,2022-06-12 16:39:17.004414,2022-06-12 16:39:17.621306,0 days 00:00:00.616892,7.753060367981278,eig,COMPLETE
947,0.6200864431506756,2022-06-12 16:41:10.180514,2022-06-12 16:41:10.830595,0 days 00:00:00.650081,1.9990544485263864,eig,COMPLETE
621,0.6200864431506756,2022-06-12 16:35:57.514220,2022-06-12 16:35:58.075135,0 days 00:00:00.560915,2.5876106424889564,eig,COMPLETE
462,0.6200864431506756,2022-06-12 16:33:33.240975,2022-06-12 16:33:33.781053,0 days 00:00:00.540078,6.049954883788861,eig,COMPLETE
794,0.6200864431506756,2022-06-12 16:38:40.319824,2022-06-12 16:38:40.947509,0 days 00:00:00.627685,6.857125923264212,eig,COMPLETE
697,0.6200864431506756,2022-06-12 16:37:08.028028,2022-06-12 16:37:08.619773,0 days 00:00:00.591745,5.8181494273375005,eig,COMPLETE
600,0.6200864431506756,2022-06-12 16:35:38.046063,2022-06-12 16:35:38.617830,0 days 00:00:00.571767,3.2504649677024244,eig,COMPLETE
639,0.6200864431506756,2022-06-12 16:36:14.025902,2022-06-12 16:36:14.608157,0 days 00:00:00.582255,2.309063525656932,eig,COMPLETE
424,0.6200864431506756,2022-06-12 16:32:59.577263,2022-06-12 16:33:00.111661,0 days 00:00:00.534398,3.8226727632621946,eig,COMPLETE
344,0.6200864431506756,2022-06-12 16:31:49.734007,2022-06-12 16:31:50.261069,0 days 00:00:00.527062,7.590618208409362,eig,COMPLETE
928,0.6200864431506756,2022-06-12 16:40:51.226024,2022-06-12 16:40:51.859629,0 days 00:00:00.633605,1.7932349492685387,eig,COMPLETE
580,0.6200864431506756,2022-06-12 16:35:19.612438,2022-06-12 16:35:20.179066,0 days 00:00:00.566628,7.980444022305436,eig,COMPLETE
443,0.6200864431506756,2022-06-12 16:33:16.490973,2022-06-12 16:33:17.034590,0 days 00:00:00.543617,0.06034377601038843,eig,COMPLETE
207,0.6200864431506756,2022-06-12 16:29:52.569386,2022-06-12 16:29:53.070395,0 days 00:00:00.501009,6.4432154334195175,eig,COMPLETE
86,0.6200864431506756,2022-06-12 16:28:12.763115,2022-06-12 16:28:13.229289,0 days 00:00:00.466174,4.531332797938162,eig,COMPLETE
678,0.6200864431506756,2022-06-12 16:36:50.427106,2022-06-12 16:36:51.008656,0 days 00:00:00.581550,5.311502511573797,eig,COMPLETE
