iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
23,0.947567400061977,2022-06-28 15:27:49.780422,2022-06-28 15:27:51.551142,0 days 00:00:01.770720,7.0,0.0007856698175489583,0.0944843289460105,13,3202,squared_hinge,3397210,False,l1,COMPLETE
67,0.9419187308542795,2022-06-28 15:28:56.829980,2022-06-28 15:28:58.623371,0 days 00:00:01.793391,6.2,0.0007169025768085526,0.049347507328627124,15,3281,squared_hinge,4971069,False,l1,COMPLETE
60,0.9419187308542795,2022-06-28 15:28:45.469587,2022-06-28 15:28:47.191616,0 days 00:00:01.722029,7.4,0.0007884305094699531,0.040610476198624304,12,9127,squared_hinge,5849032,True,l1,COMPLETE
26,0.9419187308542795,2022-06-28 15:27:54.786216,2022-06-28 15:27:56.668955,0 days 00:00:01.882739,8.0,0.000475860020877751,0.07438093331913423,18,4470,squared_hinge,6008464,False,l1,COMPLETE
84,0.9419187308542795,2022-06-28 15:29:22.537938,2022-06-28 15:29:24.500539,0 days 00:00:01.962601,7.3,0.0007201081215016027,0.07792861043512006,6,5771,squared_hinge,2298869,False,l1,COMPLETE
20,0.9419187308542795,2022-06-28 15:27:45.112741,2022-06-28 15:27:47.037048,0 days 00:00:01.924307,8.3,0.0008125239698941038,0.07325027226112842,15,693,squared_hinge,4221231,False,l1,COMPLETE
15,0.9419187308542795,2022-06-28 15:27:36.654274,2022-06-28 15:27:38.756969,0 days 00:00:02.102695,9.8,0.0003514522638846264,0.063010147043491,14,5743,squared_hinge,3824990,False,l1,COMPLETE
35,0.9419187308542795,2022-06-28 15:28:09.419883,2022-06-28 15:28:11.525566,0 days 00:00:02.105683,7.4,0.0007643582075153464,0.08648251916497351,18,5428,squared_hinge,6351250,False,l1,COMPLETE
95,0.9419187308542795,2022-06-28 15:29:39.772998,2022-06-28 15:29:41.625566,0 days 00:00:01.852568,8.6,0.0007970023761433487,0.08734433660945357,6,9877,squared_hinge,5437747,False,l1,COMPLETE
77,0.941859049782935,2022-06-28 15:29:11.839319,2022-06-28 15:29:13.563627,0 days 00:00:01.724308,8.4,0.0007065829502550069,0.08136116887567413,16,6213,squared_hinge,3432919,False,l1,COMPLETE
55,0.941859049782935,2022-06-28 15:28:38.594622,2022-06-28 15:28:40.228433,0 days 00:00:01.633811,8.4,0.000725473480580213,0.07129299955722482,19,3147,squared_hinge,5002241,False,l1,COMPLETE
