iteration,roc_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
81,0.9320163390681188,2022-06-28 15:00:05.776827,2022-06-28 15:00:07.113156,0 days 00:00:01.336329,1.9000000000000001,0.0003603892944000974,0.0414820111059802,6.0,5799.0,squared_hinge,4287426.0,False,l1,COMPLETE
91,0.9320163390681188,2022-06-28 15:00:19.499691,2022-06-28 15:00:21.007778,0 days 00:00:01.508087,1.9000000000000001,0.00033529133305090964,0.09250798511289113,6.0,5989.0,squared_hinge,4813305.0,False,l1,COMPLETE
73,0.9320163390681188,2022-06-28 14:59:55.287970,2022-06-28 14:59:56.694460,0 days 00:00:01.406490,1.9000000000000001,0.00033518176108840014,0.04075414000146681,6.0,5885.0,squared_hinge,4858535.0,False,l1,COMPLETE
22,0.9311337603483187,2022-06-28 14:58:47.636707,2022-06-28 14:58:48.982685,0 days 00:00:01.345978,2.7,0.0007423005397452543,0.021903540595839932,19.0,8963.0,squared_hinge,6911682.0,False,l1,COMPLETE
25,0.9311322177329235,2022-06-28 14:58:51.459528,2022-06-28 14:58:52.821642,0 days 00:00:01.362114,2.7,0.000751126272882355,0.0417096777207492,19.0,6828.0,squared_hinge,5859880.0,False,l1,COMPLETE
93,0.9308529538859766,2022-06-28 15:00:22.809677,2022-06-28 15:00:24.315709,0 days 00:00:01.506032,2.4000000000000004,0.00035866026754641266,0.09372025506325837,5.0,6108.0,squared_hinge,4941999.0,False,l1,COMPLETE
74,0.930539847582942,2022-06-28 14:59:56.694690,2022-06-28 14:59:58.133355,0 days 00:00:01.438665,1.2000000000000002,0.0003827027773133788,0.03987664973349463,6.0,5906.0,squared_hinge,4628618.0,False,l1,COMPLETE
75,0.930539847582942,2022-06-28 14:59:58.133520,2022-06-28 14:59:59.675450,0 days 00:00:01.541930,1.2000000000000002,0.00038182815345319407,0.040337578089053944,6.0,4646.0,squared_hinge,3139493.0,False,l1,COMPLETE
3,0.9298843381235427,2022-06-28 14:58:19.560827,2022-06-28 14:58:21.893805,0 days 00:00:02.332978,2.4000000000000004,0.00048996343070163,0.08713046632367302,18.0,7272.0,hinge,5347902.0,True,l1,COMPLETE
97,0.929336807357112,2022-06-28 15:00:28.727201,2022-06-28 15:00:29.917910,0 days 00:00:01.190709,3.0000000000000004,0.000431160273955976,0.09568864366580385,6.0,5055.0,squared_hinge,4791555.0,False,l1,COMPLETE
69,0.9292513203885648,2022-06-28 14:59:49.989219,2022-06-28 14:59:51.224473,0 days 00:00:01.235254,2.0,0.00040515144094242653,0.04078549071051195,8.0,6348.0,squared_hinge,5604506.0,False,l1,COMPLETE
71,0.9292513203885648,2022-06-28 14:59:52.525679,2022-06-28 14:59:53.790760,0 days 00:00:01.265081,2.0,0.00040871409021312843,0.04072115723325021,6.0,7204.0,squared_hinge,6462413.0,False,l1,COMPLETE
72,0.9285401618521597,2022-06-28 14:59:53.790920,2022-06-28 14:59:55.287816,0 days 00:00:01.496896,1.9000000000000001,0.0003451791912103825,0.04113866329560652,6.0,5941.0,squared_hinge,4799139.0,False,l1,COMPLETE
66,0.9279967164402118,2022-06-28 14:59:46.768203,2022-06-28 14:59:47.917902,0 days 00:00:01.149699,3.4000000000000004,0.0006593291013107995,0.04475627103645779,5.0,7647.0,squared_hinge,4984739.0,False,l1,COMPLETE
60,0.9279967164402118,2022-06-28 14:59:38.281663,2022-06-28 14:59:39.564433,0 days 00:00:01.282770,3.4000000000000004,0.0009061194614192194,0.042986995355811956,20.0,8684.0,squared_hinge,6184986.0,True,l1,COMPLETE
