iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
26,0.9247780320366132,2022-06-28 15:18:05.104735,2022-06-28 15:18:07.347467,0 days 00:00:02.242732,3.1,0.00047337966924705383,0.049133957136332035,12,8080,squared_hinge,1956718,True,l1,COMPLETE
57,0.9244851258581236,2022-06-28 15:18:54.035742,2022-06-28 15:18:55.474776,0 days 00:00:01.439034,7.3,0.0003471025947950671,0.03799186198354509,14,8911,squared_hinge,3620027,False,l1,COMPLETE
99,0.9244485125858124,2022-06-28 15:19:59.779168,2022-06-28 15:20:00.960531,0 days 00:00:01.181363,0.1,0.00039524909814154065,0.027436526022096897,6,7406,hinge,9116831,False,l1,COMPLETE
84,0.9244485125858124,2022-06-28 15:19:39.946063,2022-06-28 15:19:40.998920,0 days 00:00:01.052857,0.4,0.0005068746778875592,0.018309466318621702,8,8770,hinge,9416194,False,l1,COMPLETE
97,0.9244485125858124,2022-06-28 15:19:57.146224,2022-06-28 15:19:58.208550,0 days 00:00:01.062326,0.1,0.00040515405718540606,0.02300352727342434,8,7539,hinge,9072802,False,l1,COMPLETE
96,0.9244485125858124,2022-06-28 15:19:56.057224,2022-06-28 15:19:57.146032,0 days 00:00:01.088808,0.1,0.00041188826501726585,0.016787089709793653,7,7562,hinge,9615262,False,l1,COMPLETE
95,0.9244485125858124,2022-06-28 15:19:54.665862,2022-06-28 15:19:56.057021,0 days 00:00:01.391159,0.30000000000000004,0.0004952575513904912,0.01869588148118951,7,8248,hinge,9551759,False,l1,COMPLETE
94,0.9244485125858124,2022-06-28 15:19:53.610036,2022-06-28 15:19:54.665682,0 days 00:00:01.055646,0.30000000000000004,0.0004920862766098129,0.019207434304656462,7,8215,hinge,9183009,False,l1,COMPLETE
93,0.9244485125858124,2022-06-28 15:19:52.537327,2022-06-28 15:19:53.609832,0 days 00:00:01.072505,0.1,0.00048529502300745733,0.019654942848385835,7,8274,hinge,9635052,False,l1,COMPLETE
92,0.9244485125858124,2022-06-28 15:19:51.272266,2022-06-28 15:19:52.537106,0 days 00:00:01.264840,0.30000000000000004,0.00047268013064855806,0.01911763911413702,7,8769,hinge,9160915,False,l1,COMPLETE
