iteration,f1_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
27,0.9774040519671148,2022-06-28 15:35:39.456973,2022-06-28 15:35:41.332008,0 days 00:00:01.875035,7.9,0.0002542098250104354,0.010976199943976632,14,4076,squared_hinge,2564428,True,l1,COMPLETE
63,0.9773908880581105,2022-06-28 15:36:30.618930,2022-06-28 15:36:32.436435,0 days 00:00:01.817505,3.2,0.0006791466017524209,0.026112228299774356,19,193,squared_hinge,2957593,True,l1,COMPLETE
25,0.9756665122150118,2022-06-28 15:35:37.299182,2022-06-28 15:35:38.883297,0 days 00:00:01.584115,7.8,0.00023558459017951035,0.03151253565931191,17,5485,squared_hinge,2843803,True,l1,COMPLETE
22,0.9754905234845659,2022-06-28 15:35:32.425700,2022-06-28 15:35:33.993519,0 days 00:00:01.567819,7.7,0.0006134018313589271,0.0447194369254563,17,5721,squared_hinge,4245521,True,l1,COMPLETE
92,0.9754438242366964,2022-06-28 15:37:17.089781,2022-06-28 15:37:18.659766,0 days 00:00:01.569985,0.9,0.0006914581282914594,0.03719450292170551,14,4180,squared_hinge,2085421,True,l1,COMPLETE
52,0.9754105521276973,2022-06-28 15:36:15.106561,2022-06-28 15:36:16.780154,0 days 00:00:01.673593,1.3000000000000003,4.08660587099888e-05,0.04179145101784653,12,7396,squared_hinge,3118893,True,l1,COMPLETE
39,0.9746643644866322,2022-06-28 15:35:56.501080,2022-06-28 15:35:58.163650,0 days 00:00:01.662570,2.2,0.0009877050863592728,0.03517718613022306,11,1531,squared_hinge,3365904,True,l1,COMPLETE
58,0.9745824924469421,2022-06-28 15:36:24.231760,2022-06-28 15:36:25.560063,0 days 00:00:01.328303,4.5,0.0009823683116789376,0.047870895392479594,18,7422,squared_hinge,2256569,True,l1,COMPLETE
93,0.9745089296558269,2022-06-28 15:37:18.659933,2022-06-28 15:37:20.266983,0 days 00:00:01.607050,1.0,0.0006943471443257213,0.047476920155924716,14,4041,squared_hinge,2084747,True,l1,COMPLETE
46,0.9743819228723005,2022-06-28 15:36:06.046633,2022-06-28 15:36:07.784881,0 days 00:00:01.738248,3.1,0.00021005882722637383,0.033047857032359386,12,1522,squared_hinge,4122168,True,l1,COMPLETE
82,0.9743508153733673,2022-06-28 15:37:02.286463,2022-06-28 15:37:03.749765,0 days 00:00:01.463302,1.3000000000000003,0.0007956859779399827,0.03723151333699299,17,1708,squared_hinge,2836788,True,l1,COMPLETE
69,0.9743501807986106,2022-06-28 15:36:40.954821,2022-06-28 15:36:42.413761,0 days 00:00:01.458940,1.3000000000000003,0.0007929581563750939,0.03631764149871262,16,4825,squared_hinge,2664739,True,l1,COMPLETE
19,0.9742220320493771,2022-06-28 15:35:27.547698,2022-06-28 15:35:29.269091,0 days 00:00:01.721393,7.5,0.00012691624495536418,0.038911856987888044,14,7108,squared_hinge,2096054,True,l1,COMPLETE
12,0.9739555183531513,2022-06-28 15:35:16.787897,2022-06-28 15:35:18.485429,0 days 00:00:01.697532,9.9,0.0003384220944645646,0.06592929781025104,16,9895,squared_hinge,3326869,True,l1,COMPLETE
66,0.9738643722158907,2022-06-28 15:36:35.656012,2022-06-28 15:36:37.660777,0 days 00:00:02.004765,3.5000000000000004,0.000583775618838992,0.014540190657690943,17,7399,squared_hinge,1187573,True,l1,COMPLETE
17,0.9738643722158907,2022-06-28 15:35:24.475079,2022-06-28 15:35:26.333210,0 days 00:00:01.858131,8.8,0.0003657581587950253,0.06337518436256516,20,8569,squared_hinge,4001484,True,l1,COMPLETE
28,0.9738643722158907,2022-06-28 15:35:41.332142,2022-06-28 15:35:43.373439,0 days 00:00:02.041297,8.1,0.0002598374239663442,0.015116652684256913,17,3150,squared_hinge,2772917,True,l1,COMPLETE
11,0.9738643722158907,2022-06-28 15:35:14.651015,2022-06-28 15:35:16.787778,0 days 00:00:02.136763,8.9,5.363405888203885e-05,0.06303560920007477,15,9815,squared_hinge,3812397,True,l1,COMPLETE
