feature,weight,std
recoveries,0.058005008405149036,0.0001593537191308768
last_pymnt_amnt,0.05511002999031156,0.0005095751510816378
out_prncp,0.055031874822243254,0.00021144131455344005
percent_bc_gt_75,0.001871099467481252,0.00010974359555532135
total_rec_int,0.0017596474230761716,2.648548429755599e-05
total_rec_late_fee,0.0016616066205289437,9.177870701245485e-05
revol_util,0.0014354653354082592,4.284654929913079e-05
mths_since_recent_bc,0.0013665592996557451,0.00014753018397504447
installment,0.001001681029798429,0.00012286385277626274
int_rate,0.0007861762468408529,4.174935796054945e-05
tot_coll_amt,0.0007801643108356071,7.044840108351544e-05
acc_open_past_24mths,0.00013642470165771138,1.8324022777079267e-05
num_sats,0.00012070117672089432,2.1661538969864397e-05
num_il_tl,9.526606285248373e-05,2.3141321660662293e-05
num_actv_rev_tl,9.480360623672634e-05,4.571074279559095e-05
num_bc_tl,9.110395331037857e-05,5.9583366946572845e-06
loan_amnt,7.075586221572117e-05,8.628999296373874e-05
num_tl_op_past_12m,4.300846526836821e-05,1.391986731501894e-05
num_bc_sats,2.820985356313255e-05,6.921416850138498e-06
initial_list_status_w,1.7110894784178043e-05,7.542439148948672e-06
