feature,weight,std
recoveries,0.07893348255266801,0.00018199650939338402
out_prncp,0.06156916154303269,0.000550853582314785
last_pymnt_amnt,0.03505421147678578,0.0003072048861748101
total_rec_int,0.009461399902421608,6.0956623878854614e-05
installment,0.008605855163212484,0.0001625678076883824
loan_amnt,0.007224034795235745,0.0001038047718796627
total_pymnt,0.0055661278276331275,0.00024014548741001395
total_rec_late_fee,0.0034018308657418838,8.830863068746952e-05
mths_since_recent_bc,0.0023173701017172865,7.582596395730878e-05
int_rate,0.0007149579280093299,0.00011454929950767316
num_sats,0.00030337153995740884,2.6622402720384716e-05
acc_open_past_24mths,0.00022244163219435896,2.9734198261007333e-05
num_il_tl,0.00016879666476283807,4.0973760550759865e-05
num_bc_tl,0.00014706120382075306,1.870521250221506e-05
num_actv_rev_tl,0.00012717556934187523,3.742757133102176e-05
num_tl_op_past_12m,8.509201730508842e-05,2.012616292530004e-05
inq_last_6mths,3.2834419720950694e-05,1.117576909874346e-05
num_bc_sats,3.1909506489391506e-05,1.078624912047118e-05
term_ 60 months,2.312283078940158e-05,8.142388940638947e-06
delinq_amnt,2.0810547710437e-05,7.164347085160235e-06
