feature,weight,std
out_prncp,0.21966226793348956,0.00047199582776792605
total_pymnt,0.0893702034577881,9.621320700627088e-05
recoveries,0.0703581495260976,7.201564723067675e-05
loan_amnt,0.015017353684507451,7.336317068760727e-05
installment,0.014083653777230021,8.826018133357115e-05
last_pymnt_amnt,0.014036945659035372,0.00017963091311195143
total_rec_int,0.003434665285462923,4.990676157431648e-05
total_rec_late_fee,0.0011811141967244198,4.33674840445578e-05
term_ 60 months,0.0011307064256034448,3.673547640335373e-05
int_rate,0.0005600349617201461,4.2921355645929696e-05
grade_B,0.00020394336756281994,1.577783779262841e-05
annual_inc,9.711588931562431e-05,1.2147741511317555e-05
grade_C,6.566883944201241e-05,9.432301232377286e-06
mths_since_recent_bc,3.930881234206485e-05,8.272675436382756e-06
bc_open_to_buy,3.5609159415717075e-05,1.437340159308944e-05
tot_hi_cred_lim,2.6822483715749355e-05,1.8183427174712258e-05
verification_status_Source Verified,2.404774402100518e-05,1.1844668661274628e-05
home_ownership_MORTGAGE,2.3122830789423787e-05,9.477540346755778e-06
verification_status_Verified,2.0348091094701815e-05,1.4580223755448812e-05
grade_D,1.9423177863142627e-05,9.7664881192429e-06
