iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
91,0.9929270667828405,2022-06-14 15:11:48.099539,2022-06-14 15:12:21.893901,0 days 00:00:33.794362,27,287,97,22,357,121,COMPLETE
92,0.9928206438426163,2022-06-14 15:12:21.894044,2022-06-14 15:12:57.452126,0 days 00:00:35.558082,27,271,97,20,357,128,COMPLETE
78,0.9927580269421655,2022-06-14 15:01:11.387563,2022-06-14 15:01:52.646396,0 days 00:00:41.258833,29,274,88,18,421,148,COMPLETE
76,0.9927275510985225,2022-06-14 15:00:01.952273,2022-06-14 15:00:36.108375,0 days 00:00:34.156102,29,285,95,22,378,124,COMPLETE
99,0.9924275041154869,2022-06-14 15:17:00.534012,2022-06-14 15:17:35.452500,0 days 00:00:34.918488,28,255,75,16,369,126,COMPLETE
77,0.9923151060160292,2022-06-14 15:00:36.108509,2022-06-14 15:01:11.387428,0 days 00:00:35.278919,29,284,88,21,382,129,COMPLETE
28,0.9922615446662634,2022-06-14 14:24:00.838541,2022-06-14 14:24:38.272388,0 days 00:00:37.433847,22,246,100,27,302,137,COMPLETE
6,0.9920886075949367,2022-06-14 14:02:30.505814,2022-06-14 14:03:15.209804,0 days 00:00:44.703990,30,238,95,21,282,166,COMPLETE
35,0.9920572085302005,2022-06-14 14:29:38.807400,2022-06-14 14:30:11.679075,0 days 00:00:32.871675,30,244,72,23,304,122,COMPLETE
39,0.9919963295269169,2022-06-14 14:32:18.209620,2022-06-14 14:32:50.093565,0 days 00:00:31.883945,28,280,67,22,252,117,COMPLETE
93,0.9919305878781747,2022-06-14 15:12:57.452287,2022-06-14 15:13:32.018960,0 days 00:00:34.566673,27,274,97,20,391,123,COMPLETE
74,0.9918789688061325,2022-06-14 14:57:11.628511,2022-06-14 14:57:45.380346,0 days 00:00:33.751835,29,283,98,21,347,121,COMPLETE
63,0.9917479179362177,2022-06-14 14:50:53.048453,2022-06-14 14:51:20.858285,0 days 00:00:27.809832,26,281,95,22,288,102,COMPLETE
67,0.991718478616558,2022-06-14 14:52:54.436407,2022-06-14 14:53:29.473543,0 days 00:00:35.037136,26,289,100,27,347,126,COMPLETE
64,0.9916248759005167,2022-06-14 14:51:20.858415,2022-06-14 14:51:51.726352,0 days 00:00:30.867937,26,289,95,22,326,112,COMPLETE
22,0.9916217984199668,2022-06-14 14:19:21.974415,2022-06-14 14:19:59.251828,0 days 00:00:37.277413,21,258,63,24,304,138,COMPLETE
60,0.9915930211947026,2022-06-14 14:49:09.805546,2022-06-14 14:49:41.414233,0 days 00:00:31.608687,25,293,83,24,302,114,COMPLETE
17,0.9915567015521513,2022-06-14 14:13:04.532878,2022-06-14 14:13:44.168016,0 days 00:00:39.635138,22,262,72,20,278,146,COMPLETE
45,0.9915515758587545,2022-06-14 14:37:21.674967,2022-06-14 14:37:53.795412,0 days 00:00:32.120445,28,274,69,9,340,117,COMPLETE
27,0.9915301095807781,2022-06-14 14:23:08.038524,2022-06-14 14:24:00.838428,0 days 00:00:52.799904,27,279,86,15,350,194,COMPLETE
41,0.9914555689585847,2022-06-14 14:33:23.364601,2022-06-14 14:34:06.233512,0 days 00:00:42.868911,28,286,63,25,263,155,COMPLETE
71,0.9912904194614075,2022-06-14 14:55:15.189517,2022-06-14 14:55:51.167205,0 days 00:00:35.977688,26,300,89,25,322,131,COMPLETE
69,0.9912750650543395,2022-06-14 14:54:01.781480,2022-06-14 14:54:29.743246,0 days 00:00:27.961766,27,277,93,28,289,100,COMPLETE
43,0.9912542390168031,2022-06-14 14:34:40.275340,2022-06-14 14:35:34.333058,0 days 00:00:54.057718,27,228,60,26,290,201,COMPLETE
11,0.9911694752289864,2022-06-14 14:08:51.355771,2022-06-14 14:09:27.632833,0 days 00:00:36.277062,16,298,48,21,232,135,COMPLETE
84,0.991008382016764,2022-06-14 15:05:27.883000,2022-06-14 15:05:58.018963,0 days 00:00:30.135963,29,253,97,21,414,109,COMPLETE
87,0.9909999502759683,2022-06-14 15:07:10.005640,2022-06-14 15:07:52.198835,0 days 00:00:42.193195,30,295,94,18,440,153,COMPLETE
8,0.9909426198660211,2022-06-14 14:05:10.077992,2022-06-14 14:06:30.639151,0 days 00:01:20.561159,16,288,43,21,270,299,COMPLETE
70,0.9909109119134659,2022-06-14 14:54:29.743371,2022-06-14 14:55:15.189392,0 days 00:00:45.446021,28,289,96,26,362,166,COMPLETE
62,0.990828888999651,2022-06-14 14:50:12.418156,2022-06-14 14:50:53.048320,0 days 00:00:40.630164,28,299,91,21,309,145,COMPLETE
38,0.9908054151532855,2022-06-14 14:31:42.766077,2022-06-14 14:32:18.209505,0 days 00:00:35.443428,28,201,82,28,313,130,COMPLETE
82,0.9908035091217227,2022-06-14 15:03:54.917557,2022-06-14 15:04:34.562883,0 days 00:00:39.645326,29,266,94,21,440,145,COMPLETE
72,0.9904812402161288,2022-06-14 14:55:51.167333,2022-06-14 14:56:28.784950,0 days 00:00:37.617617,30,264,93,29,336,139,COMPLETE
80,0.9904677846425419,2022-06-14 15:02:39.729130,2022-06-14 15:03:21.273578,0 days 00:00:41.544448,30,274,92,16,404,151,COMPLETE
13,0.9904570061689538,2022-06-14 14:09:56.911973,2022-06-14 14:10:44.125946,0 days 00:00:47.213973,20,268,100,16,233,174,COMPLETE
97,0.9904550834865389,2022-06-14 15:15:43.028969,2022-06-14 15:16:20.306182,0 days 00:00:37.277213,27,271,88,18,430,135,COMPLETE
86,0.9903574313408724,2022-06-14 15:06:32.784984,2022-06-14 15:07:10.005507,0 days 00:00:37.220523,30,282,96,20,402,135,COMPLETE
32,0.9903089036947305,2022-06-14 14:27:08.504133,2022-06-14 14:27:51.599989,0 days 00:00:43.095856,21,251,90,26,332,159,COMPLETE
66,0.9902337820058699,2022-06-14 14:52:19.187035,2022-06-14 14:52:54.436280,0 days 00:00:35.249245,27,270,98,23,326,129,COMPLETE
85,0.9902136806170185,2022-06-14 15:05:58.019093,2022-06-14 15:06:32.784830,0 days 00:00:34.765737,28,268,89,22,373,125,COMPLETE
57,0.9901863322372614,2022-06-14 14:46:13.564312,2022-06-14 14:46:57.183960,0 days 00:00:43.619648,21,190,79,26,199,164,COMPLETE
90,0.9901304105140305,2022-06-14 15:11:17.160298,2022-06-14 15:11:48.099401,0 days 00:00:30.939103,30,238,80,23,467,110,COMPLETE
61,0.9900741299158186,2022-06-14 14:49:41.414356,2022-06-14 14:50:12.418020,0 days 00:00:31.003664,25,294,85,24,296,113,COMPLETE
81,0.9900731849375776,2022-06-14 15:03:21.273726,2022-06-14 15:03:54.917425,0 days 00:00:33.643699,29,283,84,20,383,121,COMPLETE
15,0.9900607399226946,2022-06-14 14:11:20.013715,2022-06-14 14:12:08.238216,0 days 00:00:48.224501,18,299,57,25,218,179,COMPLETE
54,0.9899467176032974,2022-06-14 14:43:32.694382,2022-06-14 14:44:01.791276,0 days 00:00:29.096894,23,285,73,20,355,104,COMPLETE
83,0.9899405463713218,2022-06-14 15:04:34.563020,2022-06-14 15:05:27.882862,0 days 00:00:53.319842,30,276,91,19,387,192,COMPLETE
