iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
84,0.9626088788680462,2022-06-10 21:20:34.959732,2022-06-10 21:22:12.035791,0 days 00:01:37.076059,30.0,290.0,50.0,5.0,429.0,349.0,COMPLETE
31,0.9622318761374179,2022-06-10 19:57:47.536927,2022-06-10 19:59:31.731538,0 days 00:01:44.194611,30.0,292.0,96.0,8.0,406.0,381.0,COMPLETE
93,0.962226594747652,2022-06-10 21:35:14.616173,2022-06-10 21:36:57.814285,0 days 00:01:43.198112,30.0,296.0,97.0,6.0,147.0,384.0,COMPLETE
13,0.9621941041077028,2022-06-10 19:27:10.069793,2022-06-10 19:28:57.574879,0 days 00:01:47.505086,28.0,295.0,58.0,7.0,398.0,393.0,COMPLETE
91,0.9621689795067699,2022-06-10 21:31:46.554643,2022-06-10 21:33:29.625792,0 days 00:01:43.071149,23.0,296.0,100.0,5.0,159.0,384.0,COMPLETE
33,0.9621546929819426,2022-06-10 20:01:17.718456,2022-06-10 20:02:53.519587,0 days 00:01:35.801131,30.0,290.0,88.0,7.0,389.0,346.0,COMPLETE
61,0.962149367303101,2022-06-10 20:46:24.913599,2022-06-10 20:47:40.154246,0 days 00:01:15.240647,25.0,267.0,96.0,5.0,146.0,283.0,COMPLETE
21,0.9621251752059301,2022-06-10 19:41:38.044717,2022-06-10 19:43:27.178022,0 days 00:01:49.133305,30.0,300.0,93.0,10.0,407.0,392.0,COMPLETE
97,0.9621208919407546,2022-06-10 21:42:03.025812,2022-06-10 21:43:53.240531,0 days 00:01:50.214719,29.0,290.0,99.0,7.0,142.0,414.0,COMPLETE
46,0.9620812022762114,2022-06-10 20:22:15.605689,2022-06-10 20:23:48.152469,0 days 00:01:32.546780,27.0,292.0,96.0,8.0,422.0,337.0,COMPLETE
92,0.9620763602878708,2022-06-10 21:33:29.625956,2022-06-10 21:35:14.615989,0 days 00:01:44.990033,30.0,296.0,98.0,6.0,159.0,391.0,COMPLETE
10,0.9620750592754544,2022-06-10 19:21:42.887785,2022-06-10 19:23:28.861347,0 days 00:01:45.973562,30.0,298.0,99.0,9.0,408.0,389.0,COMPLETE
47,0.962043041161924,2022-06-10 20:23:48.152596,2022-06-10 20:25:05.265626,0 days 00:01:17.113030,25.0,269.0,95.0,5.0,192.0,291.0,COMPLETE
75,0.9620262808834783,2022-06-10 21:06:53.336223,2022-06-10 21:08:33.305658,0 days 00:01:39.969435,23.0,296.0,100.0,5.0,131.0,373.0,COMPLETE
81,0.9619932746360829,2022-06-10 21:15:22.603105,2022-06-10 21:17:02.147228,0 days 00:01:39.544123,22.0,300.0,100.0,4.0,138.0,376.0,COMPLETE
