iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
39,0.78510773130545,2022-06-14 14:44:59.919133,2022-06-14 14:47:06.839862,0 days 00:02:06.920729,19,288,90,11,331,448,COMPLETE
25,0.7840804834066247,2022-06-14 14:19:44.560549,2022-06-14 14:21:37.860017,0 days 00:01:53.299468,18,300,64,3,431,398,COMPLETE
44,0.7837342062400177,2022-06-14 14:55:32.878993,2022-06-14 14:57:29.210092,0 days 00:01:56.331099,20,288,100,3,341,411,COMPLETE
0,0.7833051075481553,2022-06-14 13:47:25.306504,2022-06-14 13:48:27.398600,0 days 00:01:02.092096,16,298,82,9,440,222,COMPLETE
65,0.7830704554793438,2022-06-14 15:31:29.591320,2022-06-14 15:33:24.941616,0 days 00:01:55.350296,21,282,97,3,479,405,COMPLETE
41,0.7822786807637684,2022-06-14 14:49:10.565472,2022-06-14 14:51:16.091465,0 days 00:02:05.525993,19,288,92,4,334,443,COMPLETE
80,0.7817175650748104,2022-06-14 15:58:17.912588,2022-06-14 16:00:24.236686,0 days 00:02:06.324098,17,295,60,7,457,444,COMPLETE
84,0.7815566862525795,2022-06-14 16:06:44.504868,2022-06-14 16:09:03.202263,0 days 00:02:18.697395,18,297,66,8,493,486,COMPLETE
91,0.7814229186700928,2022-06-14 16:22:21.041863,2022-06-14 16:24:27.696730,0 days 00:02:06.654867,20,287,90,5,493,444,COMPLETE
52,0.781353421376115,2022-06-14 15:10:57.952786,2022-06-14 15:12:50.024645,0 days 00:01:52.071859,19,292,94,2,334,395,COMPLETE
68,0.7813421654443656,2022-06-14 15:36:23.557746,2022-06-14 15:38:25.615470,0 days 00:02:02.057724,20,287,91,5,326,432,COMPLETE
97,0.7804663440387154,2022-06-14 16:33:59.330837,2022-06-14 16:36:07.547776,0 days 00:02:08.216939,22,297,97,2,465,448,COMPLETE
31,0.7798195474514621,2022-06-14 14:30:54.701291,2022-06-14 14:32:40.495924,0 days 00:01:45.794633,19,294,64,2,428,372,COMPLETE
82,0.7793077430915779,2022-06-14 16:02:31.215741,2022-06-14 16:04:33.386643,0 days 00:02:02.170902,16,281,60,7,480,431,COMPLETE
24,0.7791785214643885,2022-06-14 14:17:55.912617,2022-06-14 14:19:44.560443,0 days 00:01:48.647826,19,299,64,4,430,382,COMPLETE
85,0.7787473124185879,2022-06-14 16:09:03.202418,2022-06-14 16:11:22.358166,0 days 00:02:19.155748,18,297,72,8,495,487,COMPLETE
43,0.7786228354128036,2022-06-14 14:53:20.872889,2022-06-14 14:55:32.878879,0 days 00:02:12.005990,24,278,94,8,249,474,COMPLETE
23,0.7782243504199702,2022-06-14 14:16:09.868583,2022-06-14 14:17:55.912506,0 days 00:01:46.043923,19,299,65,2,430,373,COMPLETE
61,0.778214151061958,2022-06-14 15:24:17.858821,2022-06-14 15:26:01.817877,0 days 00:01:43.959056,19,295,82,2,348,367,COMPLETE
62,0.7779628785616621,2022-06-14 15:26:01.818007,2022-06-14 15:27:51.099499,0 days 00:01:49.281492,20,286,76,2,377,387,COMPLETE
74,0.7777306901476982,2022-06-14 15:48:37.863437,2022-06-14 15:50:28.738118,0 days 00:01:50.874681,21,295,87,4,362,391,COMPLETE
92,0.7775442339063873,2022-06-14 16:24:27.696881,2022-06-14 16:26:25.462229,0 days 00:01:57.765348,19,290,69,4,511,413,COMPLETE
54,0.7770314804933932,2022-06-14 15:14:12.985637,2022-06-14 15:16:19.157920,0 days 00:02:06.172283,20,278,88,4,337,446,COMPLETE
86,0.777009547998683,2022-06-14 16:11:22.358317,2022-06-14 16:13:44.213825,0 days 00:02:21.855508,17,292,59,9,507,498,COMPLETE
83,0.7768360696829176,2022-06-14 16:04:33.386784,2022-06-14 16:06:44.504722,0 days 00:02:11.117938,17,287,53,9,444,463,COMPLETE
34,0.776496215386062,2022-06-14 14:35:58.777333,2022-06-14 14:37:51.502623,0 days 00:01:52.725290,17,300,63,3,357,397,COMPLETE
64,0.77648034811464,2022-06-14 15:29:50.166476,2022-06-14 15:31:29.591181,0 days 00:01:39.424705,18,294,94,6,422,348,COMPLETE
70,0.7764580692612241,2022-06-14 15:40:12.376073,2022-06-14 15:42:28.617268,0 days 00:02:16.241195,18,300,96,10,343,479,COMPLETE
55,0.7762414068494652,2022-06-14 15:16:19.158043,2022-06-14 15:18:10.911946,0 days 00:01:51.753903,16,284,93,8,296,396,COMPLETE
90,0.7761004713509451,2022-06-14 16:20:03.018915,2022-06-14 16:22:21.041704,0 days 00:02:18.022789,25,296,49,6,355,488,COMPLETE
81,0.7759702169594394,2022-06-14 16:00:24.236827,2022-06-14 16:02:31.215601,0 days 00:02:06.978774,17,294,57,10,459,446,COMPLETE
95,0.7755296842237036,2022-06-14 16:29:57.566390,2022-06-14 16:32:07.719801,0 days 00:02:10.153411,19,272,95,4,473,459,COMPLETE
88,0.7754243253813062,2022-06-14 16:15:58.790834,2022-06-14 16:17:55.941900,0 days 00:01:57.151066,17,300,66,7,474,410,COMPLETE
51,0.7753995656725046,2022-06-14 15:08:59.937633,2022-06-14 15:10:57.952668,0 days 00:01:58.015035,19,292,98,3,371,416,COMPLETE
27,0.7753434947262996,2022-06-14 14:23:35.360350,2022-06-14 14:25:36.303179,0 days 00:02:00.942829,18,260,67,4,467,429,COMPLETE
42,0.7750926171978804,2022-06-14 14:51:16.091578,2022-06-14 14:53:20.872763,0 days 00:02:04.781185,18,290,91,10,329,441,COMPLETE
63,0.7750637645328368,2022-06-14 15:27:51.099625,2022-06-14 15:29:50.166344,0 days 00:01:59.066719,19,275,67,4,454,421,COMPLETE
49,0.7750633426131565,2022-06-14 15:04:38.911633,2022-06-14 15:06:39.979001,0 days 00:02:01.067368,22,272,92,6,227,438,COMPLETE
37,0.7745098039215687,2022-06-14 14:41:24.190284,2022-06-14 14:43:21.140993,0 days 00:01:56.950709,16,288,56,2,483,411,COMPLETE
8,0.7743307480610457,2022-06-14 13:59:42.988225,2022-06-14 14:00:37.414029,0 days 00:00:54.425804,29,282,42,29,131,196,COMPLETE
60,0.7741330541186766,2022-06-14 15:23:26.387881,2022-06-14 15:24:17.858693,0 days 00:00:51.470812,16,300,86,22,393,178,COMPLETE
89,0.7741063617047869,2022-06-14 16:17:55.942038,2022-06-14 16:20:03.018755,0 days 00:02:07.076717,16,267,61,3,457,451,COMPLETE
99,0.7740151822810909,2022-06-14 16:38:02.399466,2022-06-14 16:39:40.365583,0 days 00:01:37.966117,16,291,78,5,477,342,COMPLETE
71,0.7736072945291032,2022-06-14 15:42:28.617403,2022-06-14 15:44:31.593312,0 days 00:02:02.975909,20,284,91,5,323,435,COMPLETE
67,0.7735248204807993,2022-06-14 15:34:28.690035,2022-06-14 15:36:23.557622,0 days 00:01:54.867587,21,264,100,4,483,406,COMPLETE
36,0.7733649599725347,2022-06-14 14:39:15.115876,2022-06-14 14:41:24.190159,0 days 00:02:09.074283,21,277,76,9,388,458,COMPLETE
32,0.773107408100855,2022-06-14 14:32:40.496030,2022-06-14 14:34:23.500782,0 days 00:01:43.004752,20,291,62,5,469,361,COMPLETE
87,0.7730070910932751,2022-06-14 16:13:44.213974,2022-06-14 16:15:58.790692,0 days 00:02:14.576718,18,280,62,12,487,474,COMPLETE
21,0.7724858660270687,2022-06-14 14:11:33.733570,2022-06-14 14:13:51.239473,0 days 00:02:17.505903,16,283,73,13,499,483,COMPLETE
47,0.7723529044737006,2022-06-14 15:00:32.937901,2022-06-14 15:02:44.150542,0 days 00:02:11.212641,20,256,88,18,349,469,COMPLETE
75,0.7723355514344933,2022-06-14 15:50:28.738263,2022-06-14 15:52:27.955783,0 days 00:01:59.217520,20,278,90,6,333,423,COMPLETE
77,0.7718109303919736,2022-06-14 15:53:08.753133,2022-06-14 15:55:02.982083,0 days 00:01:54.228950,19,275,95,5,397,404,COMPLETE
50,0.7717176125824201,2022-06-14 15:06:39.979131,2022-06-14 15:08:59.937497,0 days 00:02:19.958366,18,283,85,3,294,497,COMPLETE
94,0.7711652341503598,2022-06-14 16:28:30.400633,2022-06-14 16:29:57.566222,0 days 00:01:27.165589,20,280,89,6,496,305,COMPLETE
56,0.7710022250921935,2022-06-14 15:18:10.912070,2022-06-14 15:19:20.302778,0 days 00:01:09.390708,18,292,98,12,362,243,COMPLETE
72,0.7707436140607267,2022-06-14 15:44:31.593450,2022-06-14 15:46:29.681591,0 days 00:01:58.088141,20,289,35,3,301,420,COMPLETE
93,0.7705590699264832,2022-06-14 16:26:25.462408,2022-06-14 16:28:30.400479,0 days 00:02:04.938071,18,284,54,3,437,441,COMPLETE
96,0.7704180164465487,2022-06-14 16:32:07.719954,2022-06-14 16:33:59.330679,0 days 00:01:51.610725,18,260,85,8,451,396,COMPLETE
6,0.7703703703703704,2022-06-14 13:56:11.731022,2022-06-14 13:58:33.004727,0 days 00:02:21.273705,16,286,75,12,490,496,COMPLETE
66,0.7703274810110821,2022-06-14 15:33:24.941760,2022-06-14 15:34:28.689918,0 days 00:01:03.748158,21,282,97,8,503,221,COMPLETE
45,0.7700386868231748,2022-06-14 14:57:29.210211,2022-06-14 14:59:21.038424,0 days 00:01:51.828213,20,264,100,15,268,404,COMPLETE
22,0.7697480818811543,2022-06-14 14:13:51.239580,2022-06-14 14:16:09.868471,0 days 00:02:18.628891,16,280,72,13,512,488,COMPLETE
46,0.7695594084016902,2022-06-14 14:59:21.038572,2022-06-14 15:00:32.937790,0 days 00:01:11.899218,17,287,96,11,310,253,COMPLETE
58,0.7679741606882201,2022-06-14 15:20:05.289961,2022-06-14 15:21:19.081692,0 days 00:01:13.791731,17,257,94,3,164,267,COMPLETE
16,0.76782200461722,2022-06-14 14:06:34.969320,2022-06-14 14:07:54.917896,0 days 00:01:19.948576,25,268,69,16,138,289,COMPLETE
73,0.7665279990102531,2022-06-14 15:46:29.681727,2022-06-14 15:48:37.863301,0 days 00:02:08.181574,19,271,92,7,313,456,COMPLETE
2,0.7658165313242968,2022-06-14 13:49:50.350334,2022-06-14 13:51:26.474340,0 days 00:01:36.124006,23,283,97,16,212,349,COMPLETE
11,0.7656970912738215,2022-06-14 14:01:55.519422,2022-06-14 14:02:51.149091,0 days 00:00:55.629669,30,296,32,30,131,199,COMPLETE
33,0.7653294244715322,2022-06-14 14:34:23.500887,2022-06-14 14:35:58.777201,0 days 00:01:35.276314,23,273,70,7,420,336,COMPLETE
53,0.7649355057705364,2022-06-14 15:12:50.024765,2022-06-14 15:14:12.985484,0 days 00:01:22.960719,21,265,96,6,321,294,COMPLETE
12,0.7649313121011234,2022-06-14 14:02:51.149184,2022-06-14 14:04:07.781218,0 days 00:01:16.632034,27,256,50,30,381,272,COMPLETE
59,0.7639399462481851,2022-06-14 15:21:19.081824,2022-06-14 15:23:26.387725,0 days 00:02:07.305901,22,229,89,19,274,466,COMPLETE
26,0.7634565923826832,2022-06-14 14:21:37.860155,2022-06-14 14:23:35.360205,0 days 00:01:57.500050,18,249,60,5,406,421,COMPLETE
57,0.7629187785882062,2022-06-14 15:19:20.302906,2022-06-14 15:20:05.289841,0 days 00:00:44.986935,19,269,79,5,310,158,COMPLETE
14,0.7626948912306649,2022-06-14 14:04:43.448308,2022-06-14 14:05:36.161759,0 days 00:00:52.713451,22,300,52,7,312,184,COMPLETE
18,0.7625431459566075,2022-06-14 14:08:36.384518,2022-06-14 14:09:38.653585,0 days 00:01:02.269067,28,237,30,14,296,223,COMPLETE
76,0.7622119248117986,2022-06-14 15:52:27.955939,2022-06-14 15:53:08.753003,0 days 00:00:40.797064,19,289,98,2,439,140,COMPLETE
40,0.7621753121776218,2022-06-14 14:47:06.839979,2022-06-14 14:49:10.565359,0 days 00:02:03.725380,22,241,90,11,282,450,COMPLETE
38,0.7619179558223659,2022-06-14 14:43:21.141110,2022-06-14 14:44:59.919027,0 days 00:01:38.777917,17,251,46,6,407,352,COMPLETE
7,0.7578728097046931,2022-06-14 13:58:33.004846,2022-06-14 13:59:42.988083,0 days 00:01:09.983237,17,246,96,11,210,254,COMPLETE
28,0.7576565396577347,2022-06-14 14:25:36.303300,2022-06-14 14:27:22.062471,0 days 00:01:45.759171,21,203,56,7,440,385,COMPLETE
5,0.7550789722909602,2022-06-14 13:54:22.215883,2022-06-14 13:56:11.730929,0 days 00:01:49.515046,30,207,65,23,405,399,COMPLETE
69,0.7535756762526303,2022-06-14 15:38:25.615620,2022-06-14 15:40:12.375944,0 days 00:01:46.760324,23,215,84,3,466,385,COMPLETE
19,0.7505438834035691,2022-06-14 14:09:38.653688,2022-06-14 14:10:08.072214,0 days 00:00:29.418526,19,271,58,20,367,102,COMPLETE
15,0.7504818856527085,2022-06-14 14:05:36.161872,2022-06-14 14:06:34.969192,0 days 00:00:58.807320,27,227,84,26,454,209,COMPLETE
79,0.7499202890849187,2022-06-14 15:56:40.203496,2022-06-14 15:58:17.912449,0 days 00:01:37.708953,21,187,99,15,412,358,COMPLETE
13,0.7487219938412997,2022-06-14 14:04:07.781338,2022-06-14 14:04:43.448194,0 days 00:00:35.666856,20,264,80,25,426,124,COMPLETE
3,0.7471063849152774,2022-06-14 13:51:26.474441,2022-06-14 13:53:21.360084,0 days 00:01:54.885643,24,168,40,20,334,430,COMPLETE
30,0.745460862209601,2022-06-14 14:28:50.889309,2022-06-14 14:30:54.701158,0 days 00:02:03.811849,19,180,52,2,403,457,COMPLETE
29,0.7434477168332883,2022-06-14 14:27:22.062616,2022-06-14 14:28:50.889187,0 days 00:01:28.826571,17,214,83,9,382,320,COMPLETE
98,0.7382595547837543,2022-06-14 16:36:07.547930,2022-06-14 16:38:02.399300,0 days 00:01:54.851370,20,164,93,10,414,426,COMPLETE
10,0.7373301574461073,2022-06-14 14:01:22.079929,2022-06-14 14:01:55.519324,0 days 00:00:33.439395,20,229,78,5,501,117,COMPLETE
48,0.7356496820990418,2022-06-14 15:02:44.150657,2022-06-14 15:04:38.911513,0 days 00:01:54.760856,17,153,81,5,335,430,COMPLETE
17,0.7336342778820655,2022-06-14 14:07:54.917999,2022-06-14 14:08:36.384423,0 days 00:00:41.466424,21,191,44,9,348,150,COMPLETE
9,0.7315335415737022,2022-06-14 14:00:37.414125,2022-06-14 14:01:22.079813,0 days 00:00:44.665688,18,169,94,17,256,166,COMPLETE
1,0.7240659324501169,2022-06-14 13:48:27.398782,2022-06-14 13:49:50.350207,0 days 00:01:22.951425,26,129,60,10,192,326,COMPLETE
35,0.7234688489968321,2022-06-14 14:37:51.502729,2022-06-14 14:39:15.115756,0 days 00:01:23.613027,18,137,100,4,447,313,COMPLETE
4,0.7217873163866655,2022-06-14 13:53:21.360203,2022-06-14 13:54:22.215792,0 days 00:01:00.855589,17,126,91,3,247,234,COMPLETE
78,0.7190323478159001,2022-06-14 15:55:02.982325,2022-06-14 15:56:40.203355,0 days 00:01:37.221030,18,108,92,13,284,378,COMPLETE
20,0.7103602038452629,2022-06-14 14:10:08.072339,2022-06-14 14:11:33.733448,0 days 00:01:25.661109,29,105,87,7,468,330,COMPLETE
