iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
67,0.9358209880819945,2022-06-10 19:29:55.956892,2022-06-10 19:32:07.134769,0 days 00:02:11.177877,26,277,86,24,462,469,COMPLETE
66,0.9357362979420442,2022-06-10 19:27:45.612234,2022-06-10 19:29:55.956756,0 days 00:02:10.344522,23,292,91,24,496,467,COMPLETE
10,0.9356962045251376,2022-06-10 17:47:08.520969,2022-06-10 17:49:26.020190,0 days 00:02:17.499221,26,300,100,4,512,491,COMPLETE
99,0.9356921031337919,2022-06-10 20:36:14.049723,2022-06-10 20:38:30.931697,0 days 00:02:16.881974,27,296,85,25,484,485,COMPLETE
41,0.9356335423729528,2022-06-10 18:35:53.934287,2022-06-10 18:38:02.302940,0 days 00:02:08.368653,26,292,96,24,508,454,COMPLETE
42,0.9355969145172709,2022-06-10 18:38:02.303056,2022-06-10 18:40:09.379997,0 days 00:02:07.076941,25,288,96,29,467,446,COMPLETE
47,0.9355607544922475,2022-06-10 18:48:47.817861,2022-06-10 18:50:52.774367,0 days 00:02:04.956506,23,286,97,28,473,438,COMPLETE
81,0.9355538017854407,2022-06-10 19:59:53.756292,2022-06-10 20:02:04.420021,0 days 00:02:10.663729,26,289,92,24,501,456,COMPLETE
96,0.9355507165546499,2022-06-10 20:31:42.214590,2022-06-10 20:33:44.550988,0 days 00:02:02.336398,28,293,93,22,489,427,COMPLETE
79,0.9354703325546331,2022-06-10 19:55:55.148265,2022-06-10 19:58:03.249648,0 days 00:02:08.101383,26,295,95,21,375,455,COMPLETE
87,0.9354521064177151,2022-06-10 20:12:58.375243,2022-06-10 20:15:04.351072,0 days 00:02:05.975829,28,296,93,20,343,448,COMPLETE
84,0.9354146158175697,2022-06-10 20:06:29.027460,2022-06-10 20:08:36.766622,0 days 00:02:07.739162,26,278,96,20,492,454,COMPLETE
