iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
64,0.909162471395881,2022-06-11 21:44:04.395382,2022-06-11 21:45:34.170904,0 days 00:01:29.775522,30,294,95,12,420,318,COMPLETE
36,0.9088695652173913,2022-06-11 21:04:56.797358,2022-06-11 21:06:16.375919,0 days 00:01:19.578561,29,300,84,7,507,275,COMPLETE
45,0.9086681922196796,2022-06-11 21:17:21.400593,2022-06-11 21:18:54.216490,0 days 00:01:32.815897,29,276,95,10,420,331,COMPLETE
71,0.9084851258581236,2022-06-11 21:53:32.305237,2022-06-11 21:54:53.315953,0 days 00:01:21.010716,29,279,94,11,417,284,COMPLETE
89,0.9084302059496567,2022-06-11 22:17:52.932229,2022-06-11 22:19:16.632580,0 days 00:01:23.700351,30,283,100,4,482,295,COMPLETE
31,0.9084118993135012,2022-06-11 20:57:55.494649,2022-06-11 20:59:23.967896,0 days 00:01:28.473247,27,275,96,9,442,314,COMPLETE
83,0.9084118993135012,2022-06-11 22:09:30.047960,2022-06-11 22:10:50.692771,0 days 00:01:20.644811,30,289,92,7,506,283,COMPLETE
87,0.9083386727688787,2022-06-11 22:14:58.674761,2022-06-11 22:16:20.204716,0 days 00:01:21.529955,30,295,96,6,473,283,COMPLETE
99,0.9083020594965675,2022-06-11 22:32:17.927009,2022-06-11 22:33:40.965706,0 days 00:01:23.038697,29,252,96,9,449,291,COMPLETE
79,0.9082837528604119,2022-06-11 22:03:28.798040,2022-06-11 22:04:56.064059,0 days 00:01:27.266019,28,300,92,5,458,308,COMPLETE
86,0.9081189931350114,2022-06-11 22:13:36.526750,2022-06-11 22:14:58.674609,0 days 00:01:22.147859,30,293,96,6,451,286,COMPLETE
61,0.908045766590389,2022-06-11 21:39:44.723045,2022-06-11 21:41:04.097676,0 days 00:01:19.374631,30,290,89,8,424,284,COMPLETE
94,0.9080274599542334,2022-06-11 22:25:02.691780,2022-06-11 22:26:27.313304,0 days 00:01:24.621524,29,276,95,7,476,299,COMPLETE
51,0.9079908466819222,2022-06-11 21:26:38.810019,2022-06-11 21:27:50.539071,0 days 00:01:11.729052,29,290,91,8,430,254,COMPLETE
81,0.9079908466819222,2022-06-11 22:06:24.946808,2022-06-11 22:07:52.462645,0 days 00:01:27.515837,19,289,93,5,490,308,COMPLETE
80,0.9079359267734554,2022-06-11 22:04:56.064216,2022-06-11 22:06:24.946661,0 days 00:01:28.882445,28,300,93,5,457,309,COMPLETE
73,0.9079176201372998,2022-06-11 21:56:12.485479,2022-06-11 21:57:26.593898,0 days 00:01:14.108419,29,295,90,11,430,262,COMPLETE
42,0.9078993135011442,2022-06-11 21:12:57.659576,2022-06-11 21:14:30.001668,0 days 00:01:32.342092,30,290,95,10,419,324,COMPLETE
44,0.907862700228833,2022-06-11 21:15:48.985964,2022-06-11 21:17:21.400472,0 days 00:01:32.414508,29,276,95,10,416,333,COMPLETE
88,0.9078443935926773,2022-06-11 22:16:20.204873,2022-06-11 22:17:52.932060,0 days 00:01:32.727187,30,297,96,6,473,322,COMPLETE
43,0.9078443935926773,2022-06-11 21:14:30.001789,2022-06-11 21:15:48.985850,0 days 00:01:18.984061,30,291,89,8,423,276,COMPLETE
84,0.9077894736842105,2022-06-11 22:10:50.692924,2022-06-11 22:12:09.801383,0 days 00:01:19.108459,17,275,63,3,512,282,COMPLETE
38,0.9077894736842105,2022-06-11 21:07:46.989382,2022-06-11 21:09:03.508637,0 days 00:01:16.519255,30,293,89,8,460,270,COMPLETE
85,0.9077528604118993,2022-06-11 22:12:09.801526,2022-06-11 22:13:36.526601,0 days 00:01:26.725075,19,287,98,7,501,300,COMPLETE
34,0.9077162471395881,2022-06-11 21:02:38.615972,2022-06-11 21:03:57.579335,0 days 00:01:18.963363,30,288,82,7,502,278,COMPLETE
20,0.9076979405034324,2022-06-11 20:41:27.864250,2022-06-11 20:43:06.767573,0 days 00:01:38.903323,25,300,100,12,201,355,COMPLETE
91,0.9076613272311213,2022-06-11 22:20:34.667714,2022-06-11 22:21:58.674685,0 days 00:01:24.006971,30,282,95,4,453,293,COMPLETE
95,0.9076064073226544,2022-06-11 22:26:27.313459,2022-06-11 22:27:46.144908,0 days 00:01:18.831449,30,300,98,3,487,272,COMPLETE
74,0.9076064073226544,2022-06-11 21:57:26.594040,2022-06-11 21:58:36.372685,0 days 00:01:09.778645,29,296,90,13,469,241,COMPLETE
96,0.9075881006864989,2022-06-11 22:27:46.145061,2022-06-11 22:29:05.882495,0 days 00:01:19.737434,29,280,49,4,496,284,COMPLETE
5,0.9075514874141877,2022-06-11 20:22:00.703943,2022-06-11 20:22:42.336397,0 days 00:00:41.632454,23,265,36,7,256,150,COMPLETE
33,0.907533180778032,2022-06-11 21:01:18.032341,2022-06-11 21:02:38.615863,0 days 00:01:20.583522,28,285,94,7,312,291,COMPLETE
72,0.9074050343249428,2022-06-11 21:54:53.316095,2022-06-11 21:56:12.485341,0 days 00:01:19.169246,28,285,93,9,385,279,COMPLETE
4,0.9073318077803204,2022-06-11 20:20:08.899392,2022-06-11 20:22:00.703846,0 days 00:01:51.804454,26,272,96,11,348,404,COMPLETE
93,0.9073135011441648,2022-06-11 22:23:27.412088,2022-06-11 22:25:02.691629,0 days 00:01:35.279541,30,272,100,5,505,331,COMPLETE
97,0.9072585812356979,2022-06-11 22:29:05.882661,2022-06-11 22:30:37.732299,0 days 00:01:31.849638,30,293,92,6,441,320,COMPLETE
46,0.9072402745995424,2022-06-11 21:18:54.216626,2022-06-11 21:20:26.939550,0 days 00:01:32.722924,27,276,95,10,411,326,COMPLETE
37,0.9071487414187643,2022-06-11 21:06:16.376034,2022-06-11 21:07:46.989273,0 days 00:01:30.613239,29,294,82,9,510,318,COMPLETE
69,0.9071304347826087,2022-06-11 21:50:48.699075,2022-06-11 21:51:47.244014,0 days 00:00:58.544939,30,284,100,11,438,206,COMPLETE
60,0.9070389016018306,2022-06-11 21:38:18.878518,2022-06-11 21:39:44.722905,0 days 00:01:25.844387,26,271,99,9,338,308,COMPLETE
92,0.9069839816933638,2022-06-11 22:21:58.674836,2022-06-11 22:23:27.411935,0 days 00:01:28.737099,29,294,97,6,466,313,COMPLETE
2,0.9069839816933638,2022-06-11 20:17:07.129664,2022-06-11 20:18:37.328083,0 days 00:01:30.198419,27,273,73,24,479,314,COMPLETE
70,0.9069473684210526,2022-06-11 21:51:47.244153,2022-06-11 21:53:32.305084,0 days 00:01:45.060931,29,293,96,27,457,368,COMPLETE
41,0.9069290617848971,2022-06-11 21:11:29.977727,2022-06-11 21:12:57.659462,0 days 00:01:27.681735,28,300,88,8,494,308,COMPLETE
63,0.9069107551487414,2022-06-11 21:42:44.086560,2022-06-11 21:44:04.395242,0 days 00:01:20.308682,29,280,92,10,432,287,COMPLETE
0,0.9068924485125858,2022-06-11 20:14:13.638515,2022-06-11 20:15:22.821207,0 days 00:01:09.182692,18,291,56,17,318,247,COMPLETE
35,0.9068741418764302,2022-06-11 21:03:57.579448,2022-06-11 21:04:56.797245,0 days 00:00:59.217797,30,283,79,5,503,204,COMPLETE
54,0.9068558352402746,2022-06-11 21:30:45.491615,2022-06-11 21:32:19.259979,0 days 00:01:33.768364,29,291,98,9,429,328,COMPLETE
22,0.9067643020594965,2022-06-11 20:44:41.777444,2022-06-11 20:46:38.684745,0 days 00:01:56.907301,25,275,92,17,276,423,COMPLETE
48,0.906745995423341,2022-06-11 21:22:12.739766,2022-06-11 21:23:41.614401,0 days 00:01:28.874635,29,274,93,14,448,318,COMPLETE
65,0.9067276887871853,2022-06-11 21:45:34.171039,2022-06-11 21:46:48.158282,0 days 00:01:13.987243,30,295,87,12,381,260,COMPLETE
39,0.9067093821510297,2022-06-11 21:09:03.508757,2022-06-11 21:10:21.234726,0 days 00:01:17.725969,30,271,83,2,473,271,COMPLETE
16,0.9066361556064073,2022-06-11 20:35:47.285915,2022-06-11 20:37:28.611581,0 days 00:01:41.325666,21,281,46,5,275,360,COMPLETE
21,0.9066361556064073,2022-06-11 20:43:06.767677,2022-06-11 20:44:41.777343,0 days 00:01:35.009666,25,298,100,11,193,341,COMPLETE
23,0.9066178489702517,2022-06-11 20:46:38.684852,2022-06-11 20:48:26.771697,0 days 00:01:48.086845,23,283,92,14,205,389,COMPLETE
40,0.9065812356979405,2022-06-11 21:10:21.234837,2022-06-11 21:11:29.977605,0 days 00:01:08.742768,29,253,72,5,460,244,COMPLETE
75,0.9065629290617849,2022-06-11 21:58:36.372828,2022-06-11 21:59:52.722575,0 days 00:01:16.349747,28,279,88,11,399,268,COMPLETE
8,0.9065446224256293,2022-06-11 20:25:36.835959,2022-06-11 20:26:54.135030,0 days 00:01:17.299071,29,245,73,22,150,285,COMPLETE
90,0.9065263157894737,2022-06-11 22:19:16.632746,2022-06-11 22:20:34.667560,0 days 00:01:18.034814,30,221,99,2,483,275,COMPLETE
82,0.9064347826086957,2022-06-11 22:07:52.462797,2022-06-11 22:09:30.047819,0 days 00:01:37.585022,20,283,87,4,494,345,COMPLETE
98,0.9063798627002289,2022-06-11 22:30:37.732458,2022-06-11 22:32:17.926813,0 days 00:01:40.194355,28,265,94,7,465,351,COMPLETE
29,0.906324942791762,2022-06-11 20:55:10.627607,2022-06-11 20:56:15.368623,0 days 00:01:04.741016,18,299,55,12,318,230,COMPLETE
53,0.9062883295194508,2022-06-11 21:29:00.966019,2022-06-11 21:30:45.491483,0 days 00:01:44.525464,28,278,90,10,478,370,COMPLETE
52,0.906233409610984,2022-06-11 21:27:50.539215,2022-06-11 21:29:00.965887,0 days 00:01:10.426672,29,266,94,6,363,248,COMPLETE
56,0.9062151029748283,2022-06-11 21:33:10.086259,2022-06-11 21:34:23.608178,0 days 00:01:13.521919,27,254,86,11,465,257,COMPLETE
68,0.9061601830663616,2022-06-11 21:49:18.912050,2022-06-11 21:50:48.698939,0 days 00:01:29.786889,28,267,84,16,421,316,COMPLETE
67,0.9061052631578947,2022-06-11 21:47:54.006053,2022-06-11 21:49:18.911912,0 days 00:01:24.905859,27,288,91,8,404,302,COMPLETE
58,0.9060686498855836,2022-06-11 21:35:44.244900,2022-06-11 21:36:49.218598,0 days 00:01:04.973698,16,262,91,13,444,230,COMPLETE
30,0.9060503432494279,2022-06-11 20:56:15.368734,2022-06-11 20:57:55.494537,0 days 00:01:40.125803,21,286,88,19,215,361,COMPLETE
24,0.9060320366132724,2022-06-11 20:48:26.771802,2022-06-11 20:49:51.352953,0 days 00:01:24.581151,28,248,91,7,335,301,COMPLETE
47,0.9059954233409611,2022-06-11 21:20:26.939674,2022-06-11 21:22:12.739653,0 days 00:01:45.799979,29,258,97,10,375,378,COMPLETE
28,0.9059771167048055,2022-06-11 20:54:00.085392,2022-06-11 20:55:10.627498,0 days 00:01:10.542106,26,240,81,4,249,252,COMPLETE
32,0.9059405034324943,2022-06-11 20:59:23.968012,2022-06-11 21:01:18.032220,0 days 00:01:54.064208,28,269,100,9,446,408,COMPLETE
25,0.9059221967963387,2022-06-11 20:49:51.353062,2022-06-11 20:51:58.123935,0 days 00:02:06.770873,26,262,77,11,288,464,COMPLETE
62,0.9059221967963387,2022-06-11 21:41:04.097812,2022-06-11 21:42:44.086429,0 days 00:01:39.988617,30,288,85,7,395,352,COMPLETE
6,0.9058855835240275,2022-06-11 20:22:42.336494,2022-06-11 20:24:41.624602,0 days 00:01:59.288108,29,254,75,8,237,430,COMPLETE
66,0.9058672768878718,2022-06-11 21:46:48.158419,2022-06-11 21:47:54.005918,0 days 00:01:05.847499,30,300,79,6,448,233,COMPLETE
78,0.9058489702517163,2022-06-11 22:02:15.682101,2022-06-11 22:03:28.797896,0 days 00:01:13.115795,18,261,76,8,370,263,COMPLETE
50,0.9057940503432494,2022-06-11 21:25:16.835033,2022-06-11 21:26:38.809895,0 days 00:01:21.974862,27,234,85,4,408,298,COMPLETE
77,0.9057757437070938,2022-06-11 22:00:51.738983,2022-06-11 22:02:15.681965,0 days 00:01:23.942982,27,270,98,24,435,294,COMPLETE
55,0.9055926773455377,2022-06-11 21:32:19.260109,2022-06-11 21:33:10.086119,0 days 00:00:50.826010,30,280,94,6,410,179,COMPLETE
49,0.9055926773455377,2022-06-11 21:23:41.614523,2022-06-11 21:25:16.834906,0 days 00:01:35.220383,28,245,97,12,389,338,COMPLETE
3,0.905446224256293,2022-06-11 20:18:37.328207,2022-06-11 20:20:08.899290,0 days 00:01:31.571083,17,295,51,23,364,328,COMPLETE
11,0.9050617848970252,2022-06-11 20:28:12.166444,2022-06-11 20:30:27.600875,0 days 00:02:15.434431,24,235,97,9,395,483,COMPLETE
17,0.9048054919908467,2022-06-11 20:37:28.611683,2022-06-11 20:39:28.784431,0 days 00:02:00.172748,30,222,40,13,381,434,COMPLETE
19,0.9046407322654463,2022-06-11 20:40:41.353869,2022-06-11 20:41:27.864114,0 days 00:00:46.510245,27,258,38,6,425,162,COMPLETE
57,0.904604118993135,2022-06-11 21:34:23.608308,2022-06-11 21:35:44.244771,0 days 00:01:20.636463,28,188,96,14,490,291,COMPLETE
7,0.9044942791762014,2022-06-11 20:24:41.624691,2022-06-11 20:25:36.835870,0 days 00:00:55.211179,27,207,61,21,300,200,COMPLETE
15,0.9037803203661328,2022-06-11 20:34:48.785641,2022-06-11 20:35:47.285815,0 days 00:00:58.500174,25,174,86,13,190,218,COMPLETE
10,0.9036521739130435,2022-06-11 20:27:33.443361,2022-06-11 20:28:12.166339,0 days 00:00:38.722978,24,206,31,2,128,145,COMPLETE
12,0.903578947368421,2022-06-11 20:30:27.600973,2022-06-11 20:32:10.816529,0 days 00:01:43.215556,22,229,31,10,242,382,COMPLETE
18,0.9032128146453089,2022-06-11 20:39:28.784538,2022-06-11 20:40:41.353764,0 days 00:01:12.569226,23,187,86,30,350,267,COMPLETE
13,0.9029748283752861,2022-06-11 20:32:10.816630,2022-06-11 20:34:19.249646,0 days 00:02:08.433016,26,162,44,3,240,486,COMPLETE
14,0.9027185354691075,2022-06-11 20:34:19.249746,2022-06-11 20:34:48.785538,0 days 00:00:29.535792,22,265,97,16,399,102,COMPLETE
76,0.9020045766590389,2022-06-11 21:59:52.722710,2022-06-11 22:00:51.738838,0 days 00:00:59.016128,29,155,80,12,482,215,COMPLETE
27,0.9011990846681922,2022-06-11 20:53:31.835232,2022-06-11 20:54:00.085291,0 days 00:00:28.250059,22,216,59,15,171,101,COMPLETE
26,0.9002654462242563,2022-06-11 20:51:58.124049,2022-06-11 20:53:31.835105,0 days 00:01:33.711056,24,130,67,19,437,346,COMPLETE
9,0.8982883295194508,2022-06-11 20:26:54.135132,2022-06-11 20:27:33.443264,0 days 00:00:39.308132,20,149,67,26,480,143,COMPLETE
59,0.897446224256293,2022-06-11 21:36:49.218728,2022-06-11 21:38:18.878387,0 days 00:01:29.659659,29,112,71,3,361,337,COMPLETE
1,0.8949199084668192,2022-06-11 20:15:22.821308,2022-06-11 20:17:07.129569,0 days 00:01:44.308261,20,105,82,27,484,396,COMPLETE
