iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
83,0.9589053596403879,2022-06-09 21:00:02.037135,2022-06-09 21:02:19.462899,0 days 00:02:17.425764,29.0,300.0,86.0,6.0,462.0,488.0,COMPLETE
89,0.958343209838142,2022-06-09 21:12:59.821624,2022-06-09 21:15:08.282905,0 days 00:02:08.461281,24.0,291.0,85.0,17.0,460.0,457.0,COMPLETE
32,0.9582293185030314,2022-06-09 19:16:27.476072,2022-06-09 19:18:44.130927,0 days 00:02:16.654855,24.0,299.0,95.0,18.0,457.0,478.0,COMPLETE
49,0.9582071820630191,2022-06-09 19:50:28.556057,2022-06-09 19:52:38.533494,0 days 00:02:09.977437,28.0,300.0,82.0,19.0,393.0,459.0,COMPLETE
91,0.9581236858666735,2022-06-09 21:17:16.858284,2022-06-09 21:19:29.852893,0 days 00:02:12.994609,24.0,296.0,85.0,16.0,460.0,473.0,COMPLETE
33,0.958053161996037,2022-06-09 19:18:44.131041,2022-06-09 19:20:58.380034,0 days 00:02:14.248993,24.0,300.0,95.0,25.0,454.0,476.0,COMPLETE
53,0.9579865571546061,2022-06-09 19:57:52.216073,2022-06-09 20:00:00.913202,0 days 00:02:08.697129,29.0,292.0,87.0,18.0,442.0,459.0,COMPLETE
65,0.9579251308889635,2022-06-09 20:24:56.153754,2022-06-09 20:26:52.478064,0 days 00:01:56.324310,26.0,300.0,78.0,5.0,492.0,411.0,COMPLETE
58,0.9579197170481347,2022-06-09 20:09:07.521352,2022-06-09 20:11:29.952193,0 days 00:02:22.430841,30.0,300.0,78.0,13.0,455.0,499.0,COMPLETE
92,0.9578746971851567,2022-06-09 21:19:29.853054,2022-06-09 21:21:37.821489,0 days 00:02:07.968435,24.0,284.0,87.0,12.0,461.0,449.0,COMPLETE
64,0.9577487958539602,2022-06-09 20:22:44.222622,2022-06-09 20:24:56.153617,0 days 00:02:11.930995,26.0,300.0,77.0,8.0,439.0,463.0,COMPLETE
42,0.9576671717015021,2022-06-09 19:36:20.613185,2022-06-09 19:38:37.183429,0 days 00:02:16.570244,24.0,299.0,82.0,19.0,417.0,479.0,COMPLETE
