feature,weight,std
recoveries,0.05223678703641617,0.0003292320858499915
last_pymnt_amnt,0.02143440168519193,0.00018164245656301158
out_prncp,0.018018234664360543,0.00020635413246347284
total_pymnt,0.007090384833272822,6.067881959558752e-05
grade_C,0.006615904345473611,0.00015901649916870542
grade_D,0.0035220695858469986,6.463482665810073e-05
total_rec_late_fee,0.003247370356068502,6.945476395651719e-05
loan_amnt,0.001846589266844423,6.588343343886281e-05
installment,0.0016144360457184925,6.2890699239079e-05
verification_status_Verified,0.0014655250154345322,0.00010061381115161474
home_ownership_OWN,0.0014387025317187385,8.707703182352218e-05
home_ownership_RENT,0.0010946348095719483,3.909331533834642e-05
home_ownership_MORTGAGE,0.001034515449519402,6.328393943931563e-05
grade_B,0.0009716213497721338,0.00013999074318081037
verification_status_Source Verified,0.0009443364094406048,6.649733775018299e-05
mths_since_recent_bc,0.00047956751057294246,5.0248417191734755e-05
disbursement_method_DirectPay,0.00040002497265727576,3.5970682993160275e-05
application_type_Joint App,0.0003634909000099773,6.926667719355114e-05
chargeoff_within_12_mths,5.3644967431520917e-05,1.4506697196247537e-05
collections_12_mths_ex_med,4.532074834731059e-05,1.7029458615443716e-05
