feature,weight,std
last_pymnt_amnt,0.07313381413406153,0.0002605137607269812
out_prncp,0.07005894009568223,0.0002998438315979259
recoveries,0.05010393712439849,0.00018366340919632933
total_pymnt,0.006500752648142161,0.00010365219958595501
loan_amnt,0.0021323874554018073,6.895722837482431e-05
total_rec_late_fee,0.0012990406337505035,4.6623333844661975e-05
installment,0.0010530137141509187,7.26895893333583e-05
num_bc_tl,0.0007228196904777607,8.211177349196591e-05
application_type_Joint App,0.00029828451718370006,4.220787594731684e-05
delinq_2yrs,0.0001979314315575298,5.552561577645926e-05
num_bc_sats,0.0001729587743049432,3.2746369770293176e-05
home_ownership_OWN,0.00011052713117347679,1.7934732970331173e-05
total_bal_ex_mort,7.260568867879513e-05,6.521458189608933e-05
num_il_tl,3.792144249463725e-05,3.925709198900551e-05
term_ 60 months,3.005968002622872e-05,7.158374306241036e-05
chargeoff_within_12_mths,1.2486328626271082e-05,7.682906320551925e-06
delinq_amnt,6.01193600522354e-06,8.8473160033932e-06
num_tl_30dpd,-1.8498264631849893e-06,4.4836832425972505e-06
tax_liens,-5.087022773686556e-06,3.9197120005945486e-05
collections_12_mths_ex_med,-6.196918651573125e-05,1.6763653648105388e-05
