feature,weight,std
recoveries,0.04360827149903006,0.00018153174707311566
out_prncp,0.043593472887324805,0.00028955471953753435
last_pymnt_amnt,0.03775495811299208,0.0002589509291950145
total_pymnt,0.02676467663877289,0.00010894755500933634
loan_amnt,0.010267924240357228,0.0003107371231854418
total_rec_late_fee,0.003505883604294424,0.00010401059508187622
application_type_Joint App,0.0006617754171936996,7.80086317069109e-05
installment,0.0006349529334779946,3.3174614710211306e-05
num_bc_sats,0.0006136799291516892,7.459182942254903e-05
num_bc_tl,0.00043794641515195745,4.494640568013296e-05
delinq_2yrs,5.503233727890411e-05,4.3293448565700264e-05
home_ownership_OWN,2.820985356313255e-05,4.2621342493039514e-05
chargeoff_within_12_mths,2.6360027100014173e-05,1.6192586727970523e-05
num_tl_30dpd,2.1735460942129414e-05,1.1002191816245996e-05
collections_12_mths_ex_med,-1.8498264630961713e-06,3.1070752684654816e-05
delinq_amnt,-2.7747396946553592e-06,1.9804809183795496e-05
num_il_tl,-0.0001313376788839582,4.5509114696704914e-05
total_bal_ex_mort,-0.00018220790662071273,4.660039267618463e-05
tot_coll_amt,-0.00022752865496797892,6.0696439835701636e-05
num_accts_ever_120_pd,-0.00031354558550471533,5.661269907539596e-05
