boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
dart,0.9420947366084116,+,0.41819624796046195,5,80,0.7648767814489441,0.1411113625800238,0.5276061678432945,0.0030573995215382,467
dart,0.9092945703409495,+,0.4624224754754243,5,65,0.6754800773812375,0.8643022181409372,0.5009660081371436,0.0030597312023442,237
goss,0.9761019083250786,+,0.29500564683555697,5,39,0.37804415522746626,0.5568293289890961,1.0,0.0030691442812175,276
gbdt,0.9872796749121331,+,0.28237254879108076,5,89,0.44027971273964195,0.9922425160581708,0.6451314409330384,0.0030720236911964,209
dart,0.9358647316870262,+,0.38709123567539433,5,31,0.7938129791642116,0.5945433859613856,0.6974719313929642,0.0030769613110371,184
dart,0.9837781649080996,+,0.4733115024235952,5,80,0.7482762169623851,0.42531312990039316,0.6460784073390402,0.0030776739702677,486
goss,0.997783153904177,+,0.17902339537028636,5,75,0.9857327119008867,0.3164358208210174,1.0,0.0030778948158842,67
goss,0.9116288641707838,+,0.20720898637554752,5,89,0.5958000582314179,0.002018257546707952,1.0,0.0030784266003016,151
gbdt,0.9812119530474691,+,0.2051107500532745,5,65,0.968040087495263,0.6993186127863532,0.6107432596074824,0.003079545584335,465
dart,0.9753041552183263,+,0.5999068546741242,5,64,0.8256671908990875,0.6163257421256803,0.6893229313029461,0.0030825642252798,495
dart,0.9735835551313187,+,0.6677476299649365,5,69,0.8098020791012015,0.14347423998276151,0.5570550862079973,0.0030848193782645,468
dart,0.9332970960237285,+,0.7377578118982664,5,40,0.7478257112865023,0.5834458891812062,0.7161212312126726,0.0030876505557192,487
dart,0.989498417510468,+,0.6329749176349994,5,75,0.861081879415096,0.2864112038512994,0.528412499463069,0.0030899587462996,478
goss,0.9187902290380825,+,0.20948372471295557,5,80,0.4534215543144565,0.2403620373677579,1.0,0.0030906940691038,132
dart,0.9364259290132696,+,0.7399543637664916,5,62,0.711331064314954,0.6739192475723064,0.569827573974887,0.0030939587783914,498
goss,0.9748775259999298,+,0.23409914426403,5,49,0.1287922666986095,0.6248843106339319,1.0,0.0030946063840783,367
dart,0.861027195340311,+,0.5487410846717129,5,32,0.6765047528466941,0.9706823939269167,0.6714915511649365,0.0030951845382186,242
gbdt,0.9913598284919125,+,0.2781903886295898,5,50,0.4176444186660819,0.775509105481347,0.8759365151668169,0.0030983782080875,225
dart,0.936068894312748,+,0.7622570945235418,5,96,0.9660125429774258,0.8140416287261446,0.5858891944061775,0.003099061218352,191
dart,0.9472898754355413,+,0.5097868749204562,5,80,0.7798444350815861,0.4455241126427292,0.6080331405543966,0.0030991672801933,494
goss,0.9607052836971622,+,0.2950307167641547,5,98,0.7719169506710799,0.2120143472444958,1.0,0.0031004509224156,122
dart,0.9664533672364616,+,0.3915485571122272,5,76,0.8464730564308407,0.7036922544355395,0.5228405259971833,0.0031010256857794,246
goss,0.8803502151860308,+,0.23203827961277065,5,98,0.7427524173311038,0.08419522691964841,1.0,0.0031019775671161,84
goss,0.9395161897994752,+,0.20071537016459828,5,31,0.7535698461525054,0.07569847558309545,1.0,0.0031021445708202,418
dart,0.912575383848176,+,0.42412846697809814,5,34,0.371348292518808,0.562682361158062,0.9774291685211881,0.0031024872944168,164
dart,0.9459135817953901,+,0.5846933069897281,5,80,0.9423071507938624,0.27310845919266613,0.5255174119783453,0.0031031757877945,472
goss,0.991221710950779,+,0.21453688390965078,5,52,0.9995903198166303,0.9741981729539199,1.0,0.0031031777504342,320
goss,0.9962366869834605,+,0.17147088652934997,5,75,0.9920302304492232,0.18773288633030055,1.0,0.0031045281736741,25
goss,0.9993594476093068,+,0.16686287613505454,5,41,0.08253083980695364,0.4541808697966966,1.0,0.0031045822640133,141
goss,0.9626486081463382,+,0.22723654849756278,5,70,0.48746102392436075,0.963926140752113,1.0,0.0031046361669879,416
goss,0.9857950700350243,+,0.18448367547302344,5,57,0.5831454042874723,0.37176130750844577,1.0,0.0031048512183012,273
goss,0.9078375428595751,+,0.20402077397586385,5,56,0.54970421450452,0.11243787624468987,1.0,0.0031050678978227,152
dart,0.9292219240866479,+,0.6574241703814135,5,73,0.24321841771702019,0.7218234851864203,0.7633218354290001,0.0031055543642114,201
