feature,weight,std
out_prncp,0.21647964150363141,0.0003830765734368108
total_pymnt,0.1328836713505814,0.0002848094551699955
loan_amnt,0.0878195864250485,0.0003099825687349343
recoveries,0.07297704134130914,0.00011091826948096059
last_pymnt_amnt,0.021286878024755308,0.00011403096152535339
installment,0.007966740120192472,5.837953847034438e-05
total_rec_int,0.0014646001022028843,4.1815899001161246e-05
home_ownership_MORTGAGE,0.0009327749940458485,2.8379919195075284e-05
total_rec_late_fee,0.0008814423096932921,3.0020523578794965e-05
grade_B,0.0007561165668145576,2.227486031045606e-05
grade_C,0.0007403930418777404,2.9662185081302777e-05
home_ownership_RENT,0.0007015466861514774,4.191806357803337e-05
int_rate,0.0005549479389464595,3.999648220433219e-05
home_ownership_OWN,0.0003824516212572737,1.599324486454536e-05
grade_D,0.00024695183283114376,2.829690369715363e-05
term_ 60 months,0.00015631033613658918,1.6059967076973918e-05
verification_status_Source Verified,5.734462035780208e-05,9.522564544828252e-06
annual_inc,4.624566157886978e-05,2.2466064335111316e-05
verification_status_Verified,3.329687633677469e-05,7.253348598113859e-06
delinq_2yrs,1.526106832101526e-05,8.220808621421818e-06
