feature,weight,std
loan_amnt,0.3453968224605929,0.0003871438648146672
total_pymnt,0.3068917597167915,0.0002551679549280499
out_prncp,0.3003017529418021,0.0003223942920991132
total_rec_int,0.06599625872597828,0.0001860467046151223
last_pymnt_amnt,0.01654438542984187,0.00013074524500126373
recoveries,0.004696709389950327,7.008010854604705e-05
bc_open_to_buy,0.0015335061379554427,8.830863068746906e-05
tot_hi_cred_lim,0.001110358334508743,8.787162482939238e-05
total_bc_limit,0.00061784203869375,4.0617277864835254e-05
annual_inc,0.0005803830528148479,3.3952001337386815e-05
total_bal_ex_mort,0.0001207011767208499,2.4180776996291203e-05
percent_bc_gt_75,3.699652926303365e-06,1.1327827368887263e-06
tot_coll_amt,2.774739694721973e-06,6.765157056407384e-06
revol_util,1.3873698473387819e-06,1.1327827368343368e-06
delinq_amnt,9.249132315813924e-07,2.3580753080850677e-06
num_sats,0.0,0.0
chargeoff_within_12_mths,0.0,0.0
acc_open_past_24mths,0.0,0.0
num_accts_ever_120_pd,0.0,0.0
num_bc_sats,0.0,0.0
