depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,147,0.45955410099353006,0.00039618942851448347,7,4,0.9988887521448616,1.980194768615654,299
8,151,0.5173073169790545,0.00027951478762068267,12,11,0.7330968900751821,1.985901093353067,231
8,195,0.30980601358861054,0.0002104007828870782,7,13,0.6039259456696209,1.9859343085060837,121
6,335,0.45743934824235544,0.0006649848331071753,14,7,0.9092569428179288,1.986701075594232,293
6,224,0.3174267545513654,0.0007435100682740628,12,4,0.6891384952894399,1.9870393661636852,99
7,350,0.13407612184703965,0.0007525015493025085,3,11,0.8991925005840544,1.9886158481263845,132
9,237,0.3849804561979479,0.00018255789987853483,14,7,0.6208379392461297,1.9886212736066216,246
8,105,0.4135905801072699,0.0009246715897654012,15,9,0.5719371471072819,1.988707309438685,238
7,316,0.5887219067714942,0.0003745306288865922,10,16,0.758323664797979,1.9887318506104608,222
7,195,0.14192556094071612,0.0018341737258903736,2,17,0.025659207651995225,1.9888600101209184,73
7,116,0.13023651645455986,0.002650533669649508,7,14,0.4827422472721544,1.989193983596137,147
8,384,0.3539332120203188,0.0002686485228958158,3,4,0.7034511691268458,1.989482248582307,277
7,492,0.09250637701998557,0.0008877728743610827,16,11,0.8087604174931484,1.9904749642772464,151
9,294,0.2610610041170592,0.00021361897811974132,11,15,0.6136116391204471,1.9905288163993575,168
9,236,0.5343628319991898,0.0004406590141963922,2,9,0.6617441513502869,1.9911034638825185,201
9,235,0.4610542506772355,0.0004707935622807405,17,5,0.4823153706530431,1.9913858252680163,265
9,129,0.23743488320750702,0.0005446142388125892,15,5,0.4392247930132351,1.9921391278680307,157
8,451,0.4745342082894716,0.000921912439078576,7,13,0.6780628141459983,1.992291762895758,119
9,414,0.3748851472978879,0.0008279550435890585,14,7,0.631880291274617,1.992756046943689,260
6,257,0.43786723254720583,0.0015702705789393582,2,7,0.1756064884430107,1.9935941739291831,22
10,146,0.36102914412756015,0.0012306570596075153,11,11,0.7609188767798031,1.9935970783244497,271
6,377,0.6443552992372871,0.001719967816787878,2,15,0.19124221551743423,1.9938990464360256,24
6,286,0.4047406316509855,0.0036966760023387415,14,7,0.22351873260910132,1.9940155768913177,21
11,460,0.44532052377053555,0.0001662693822421498,5,14,0.4298301440297827,1.9943246934465595,273
6,189,0.3978837537511787,0.006877309873978471,16,19,0.6656539925718986,1.994460515811562,105
7,148,0.08262877918816676,0.006173075007051786,13,17,0.8021534118814045,1.994531116471452,183
6,248,0.584566129212231,0.004848040151486481,4,16,0.18813598195985579,1.994655693526204,39
12,346,0.3886034427558523,0.00022402815408862264,17,18,0.6245073797450846,1.9946616138177533,180
10,241,0.5435722959578843,0.0012026256627308684,2,18,0.3349992797367938,1.9949556300186384,27
8,230,0.47475249802786434,0.00415009568776428,18,11,0.7276047742439312,1.9951650899147664,255
8,144,0.35725881405918863,0.007163092695074022,12,10,0.7615236821159229,1.9952728240275963,126
7,338,0.23699641097713503,0.0022307946499764628,2,2,0.13779429927082287,1.995318695980236,78
12,461,0.42509451250242186,0.00020357200813907444,3,15,0.08679984876119728,1.9955957309465029,61
12,333,0.07545126825620196,0.0006994127778870694,12,4,0.5451246219452142,1.9956571461982748,143
6,183,0.9749292038189025,0.012251326997534732,12,7,0.4160029192647806,1.9957446719871668,2
8,233,0.32549323507394623,0.006817673449420991,12,12,0.5781542845089402,1.9957907357822453,275
6,395,0.6238019445448704,0.005876289336883538,19,15,0.9596719569846578,1.9959100964326495,296
6,219,0.41720731974490877,0.011315491060458264,14,7,0.22157214491370697,1.995911066921895,66
10,159,0.9516629862963653,0.006247954500956186,17,18,0.34779993704943746,1.9959374598458304,90
7,260,0.47369860143335657,0.0064699339763169845,2,2,0.7871158934524298,1.9960348333578783,167
6,125,0.6040183259356661,0.02082112798636227,6,18,0.3852839996290489,1.9960460109043252,63
6,147,0.46252029452497534,0.01855837709374052,7,4,0.99800080008065,1.9961257436709603,300
7,169,0.15196908512395346,0.012821849277306912,8,12,0.729490054317186,1.9962246428373145,148
6,468,0.5026000644697377,0.006115154312907035,16,10,0.6205234820119677,1.996228305480846,215
8,324,0.22188685713145012,0.006560425501630003,15,9,0.6727069553355982,1.9962799408735448,285
