feature,weight,std
recoveries,0.07478015968626942,0.0001620750450801638
out_prncp,0.056123734892120414,0.0004908035308925703
last_pymnt_amnt,0.04254647110917904,0.0003849556204341973
total_rec_late_fee,0.004068693305709225,7.020511830192136e-05
installment,0.003048051554663478,6.7673695964667e-05
loan_amnt,0.0022771363761436847,0.00012650872434475448
total_rec_int,0.002260487937975264,0.00013108503879915288
mths_since_recent_bc,0.0018456643536128193,0.00014827054357528362
int_rate,0.001564028274597451,0.00010197771336627357
acc_open_past_24mths,0.0007787769409881573,5.622985630481161e-05
num_actv_rev_tl,0.00035562913754154656,3.326474579147197e-05
num_sats,0.0003394431559888833,6.678296262883348e-05
tot_coll_amt,0.0003274192839783918,9.733146314208719e-05
num_tl_op_past_12m,0.00013503733181028377,4.01991593687398e-05
num_bc_tl,0.00011700152379452433,3.55099232931566e-05
num_il_tl,4.485829173148659e-05,6.781891188079057e-05
delinq_amnt,3.6996529263055856e-05,1.773085442343762e-05
grade_B,3.0059680026250925e-05,6.029696563912137e-06
home_ownership_RENT,2.173546094201839e-05,4.761282272429223e-06
purpose_credit_card,1.3411241857874678e-05,1.3671831997921094e-05
