Variable,Feature_Importance
recoveries,0.35523246519521573
last_pymnt_amnt,0.11930633388491979
out_prncp,0.08614912095339787
total_pymnt,0.050390863226046134
inq_last_6mths,0.045318458590537694
total_rec_late_fee,0.04098954663993804
int_rate,0.04067471196296574
num_tl_op_past_12m,0.022737163492900135
loan_amnt,0.02175175045288222
grade_B,0.021634819593379175
installment,0.017035986375802472
grade_C,0.015029236005808985
total_rec_int,0.013513781797061104
acc_open_past_24mths,0.01261362624709441
initial_list_status_w,0.012161357538378274
pub_rec,0.01211411061969448
percent_bc_gt_75,0.009441785152678855
purpose_credit_card,0.00781342752178708
num_accts_ever_120_pd,0.0076650331783903285
grade_D,0.006846520010286029
delinq_2yrs,0.005402246430068528
num_actv_rev_tl,0.00520196550144713
verification_status_Source Verified,0.004304434973004302
term_ 60 months,0.003845801976578467
annual_inc,0.0038059326666552073
tot_hi_cred_lim,0.003788412757661251
home_ownership_OWN,0.0037650159539143685
bc_open_to_buy,0.003631667025944443
revol_bal,0.0035074157916931553
total_bal_ex_mort,0.0034369397708919266
total_bc_limit,0.0034013787340222454
revol_util,0.0033844957675665385
num_bc_sats,0.0033428731274028154
home_ownership_RENT,0.0032159384311565716
mths_since_recent_bc,0.0032130437121916204
mo_sin_old_rev_tl_op,0.0032010496718827505
home_ownership_MORTGAGE,0.0030684357612789366
num_bc_tl,0.0030430268205940423
mort_acc,0.0030159660022586036
num_il_tl,0.002654233751247543
verification_status_Verified,0.002606798828995405
num_sats,0.0025943094684838124
tot_coll_amt,0.0015911190114060343
disbursement_method_DirectPay,0.0012512437342991267
application_type_Joint App,0.000681825086215227
tax_liens,0.0003841525789415589
collections_12_mths_ex_med,0.0001440881944778444
chargeoff_within_12_mths,5.603164600095034e-05
delinq_amnt,2.7222624055869993e-05
num_tl_30dpd,1.2835760499361302e-05
