Variable,Feature_Importance
recoveries,0.2463670173746476
last_pymnt_amnt,0.17069009246673847
out_prncp,0.14620694296420528
total_pymnt,0.09772289833605693
int_rate,0.03534876259118037
installment,0.03175373015203005
loan_amnt,0.030529730532842
total_rec_int,0.02956052159871894
total_rec_late_fee,0.027095827733626815
bc_open_to_buy,0.011776857602797458
tot_hi_cred_lim,0.01074514412799738
revol_bal,0.010186726883852068
term_ 60 months,0.01015251236642091
total_bc_limit,0.010035604085989008
annual_inc,0.010004499044090715
revol_util,0.009917168913278726
total_bal_ex_mort,0.009901170396900241
mo_sin_old_rev_tl_op,0.009783744366885628
mths_since_recent_bc,0.008357828821815952
acc_open_past_24mths,0.0076368606409032746
num_il_tl,0.006620358210572575
num_sats,0.006177432495499084
num_bc_tl,0.005967987527945227
num_actv_rev_tl,0.005443438629294024
percent_bc_gt_75,0.005211094033804768
num_tl_op_past_12m,0.004727952454264551
num_bc_sats,0.004572163221367228
grade_B,0.003922613336394489
mort_acc,0.0033514583392000876
inq_last_6mths,0.002956069803643416
disbursement_method_DirectPay,0.0027715962834267403
grade_D,0.0025777418289362245
initial_list_status_w,0.002560410800454325
tot_coll_amt,0.002469666725472074
grade_C,0.002157841528715151
verification_status_Verified,0.0021294976618943945
num_accts_ever_120_pd,0.0019916073967487266
delinq_2yrs,0.0016495279777120982
verification_status_Source Verified,0.0013728879803619053
pub_rec,0.001317822500400359
application_type_Joint App,0.001215820095085468
home_ownership_RENT,0.001136902608544394
home_ownership_MORTGAGE,0.0011228395174566308
purpose_credit_card,0.0010370751883167122
home_ownership_OWN,0.0006950218787581014
tax_liens,0.00047313062165560876
collections_12_mths_ex_med,0.0002925580589820759
chargeoff_within_12_mths,0.00014521934573819584
delinq_amnt,0.00010112313283332557
num_tl_30dpd,5.749981554430665e-05
