feature,weight,std
out_prncp,0.19773627486571416,0.00042364559915950164
recoveries,0.07586924501645184,7.627871066799277e-05
total_pymnt,0.07416740467034932,0.0001724758592798679
loan_amnt,0.021143516473860768,9.534908926887346e-05
grade_C,0.020359652510098858,9.780711433276679e-05
last_pymnt_amnt,0.01289329044818981,0.00013624037831653788
grade_B,0.009743960894668535,8.184306277848153e-05
int_rate,0.009178838910174725,0.00010993051924161524
installment,0.00744138940465644,6.535871717355518e-05
total_rec_int,0.0031192698734949565,3.382578528215379e-05
grade_D,0.0020963158393702886,3.7387551003450636e-05
total_rec_late_fee,0.001293953610976839,4.646711054639743e-05
term_ 60 months,0.00033343121998361534,1.5435247304015093e-05
annual_inc,0.00017434614415230422,1.8242140363268123e-05
verification_status_Verified,0.00016324718537339412,2.9633330808817858e-05
verification_status_Source Verified,9.896571577874269e-05,2.8334668165716047e-05
tot_hi_cred_lim,6.983094898402876e-05,4.483683242569768e-06
num_il_tl,4.532074834726618e-05,1.9101193765194857e-05
num_sats,4.0233725573579625e-05,1.0089612174322518e-05
home_ownership_MORTGAGE,3.7458985878879855e-05,4.737416045568585e-05
