feature,weight,std
out_prncp,0.060647947964381624,0.0001657544121974545
last_pymnt_amnt,0.05763689293898118,0.0003165332269933616
recoveries,0.0464768898867675,0.00021744314691038948
total_pymnt,0.011985950568012372,6.974667590173938e-05
total_rec_late_fee,0.004821572676213326,0.00013857040034426365
loan_amnt,0.001277767629424309,4.546680030847769e-05
installment,0.0009887322445563563,8.174631999042875e-05
num_bc_tl,0.0005207261493781256,4.8841198992914434e-05
application_type_Joint App,0.000488816642888712,3.529849888851546e-05
initial_list_status_w,0.00011885135025770932,6.892930983950687e-05
num_bc_sats,5.7344620357824286e-05,4.5462096278628536e-05
delinq_amnt,7.861762468430734e-06,7.820851024354021e-06
num_tl_30dpd,4.624566157906962e-06,1.002582051996268e-05
chargeoff_within_12_mths,-1.3873698473654272e-05,7.456888867772735e-06
delinq_2yrs,-4.162109542096282e-05,5.3672867041236656e-05
home_ownership_OWN,-4.208355203674241e-05,1.880783254231316e-05
collections_12_mths_ex_med,-9.526606285243932e-05,2.033757800121063e-05
tax_liens,-0.0001086773047103362,9.364032774899663e-06
num_il_tl,-0.00015492296628920598,2.8168125793448875e-05
tot_coll_amt,-0.00015631033613658918,3.304542958278262e-05
