feature,weight,std
out_prncp,0.08017656593590819,0.00020040652289406033
last_pymnt_amnt,0.0781399069999746,0.00029988305824218503
recoveries,0.03354151588654093,0.00027084485436214544
total_pymnt,0.015129730642144157,0.00014314059488111801
total_rec_late_fee,0.0034707369014944423,0.00011517862438762377
loan_amnt,0.0024732179812381625,4.04907111238513e-05
term_ 60 months,0.0016024121737079789,9.744565559331817e-05
installment,0.0009757834593142611,0.00010325321378103909
num_bc_tl,0.0005970314909832686,5.6910355330085006e-05
application_type_Joint App,0.000378289511715213,1.254613348465315e-05
num_bc_sats,0.00011653906717878915,5.146791020369749e-05
chargeoff_within_12_mths,7.861762468430734e-06,1.2546133484643327e-05
delinq_amnt,-6.936849236804932e-06,1.0443740802894722e-05
num_tl_30dpd,-8.324219084188122e-06,9.2027704583003e-06
home_ownership_OWN,-9.24913231574731e-06,1.1041000373501995e-05
delinq_2yrs,-2.358528740520338e-05,4.155424244146681e-05
num_il_tl,-3.098459325783232e-05,2.0030298148276402e-05
collections_12_mths_ex_med,-3.792144249465945e-05,1.6776406524540193e-05
tax_liens,-5.225759758409332e-05,3.898374865613056e-05
num_sats,-7.306814529459694e-05,5.7808926770440134e-05
