boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
dart,0.9092945703409495,+,0.4624224754754243,5,65.0,0.6754800773812375,0.8643022181409372,0.5009660081371436,0.0030597312023442,237
goss,0.9761019083250786,+,0.29500564683555697,5,39.0,0.37804415522746626,0.5568293289890961,1.0,0.0030691442812175,276
gbdt,0.9872796749121331,+,0.28237254879108076,5,89.0,0.44027971273964195,0.9922425160581708,0.6451314409330384,0.0030720236911964,209
dart,0.9358647316870262,+,0.38709123567539433,5,31.0,0.7938129791642116,0.5945433859613856,0.6974719313929642,0.0030769613110371,184
goss,0.997783153904177,+,0.17902339537028636,5,75.0,0.9857327119008867,0.3164358208210174,1.0,0.0030778948158842,67
goss,0.9116288641707838,+,0.20720898637554752,5,89.0,0.5958000582314179,0.002018257546707952,1.0,0.0030784266003016,151
goss,0.9187902290380825,+,0.20948372471295557,5,80.0,0.4534215543144565,0.2403620373677579,1.0,0.0030906940691038,132
dart,0.861027195340311,+,0.5487410846717129,5,32.0,0.6765047528466941,0.9706823939269167,0.6714915511649365,0.0030951845382186,242
gbdt,0.9913598284919125,+,0.2781903886295898,5,50.0,0.4176444186660819,0.775509105481347,0.8759365151668169,0.0030983782080875,225
dart,0.936068894312748,+,0.7622570945235418,5,96.0,0.9660125429774258,0.8140416287261446,0.5858891944061775,0.003099061218352,191
goss,0.9607052836971622,+,0.2950307167641547,5,98.0,0.7719169506710799,0.2120143472444958,1.0,0.0031004509224156,122
dart,0.9664533672364616,+,0.3915485571122272,5,76.0,0.8464730564308407,0.7036922544355395,0.5228405259971833,0.0031010256857794,246
goss,0.8803502151860308,+,0.23203827961277065,5,98.0,0.7427524173311038,0.08419522691964841,1.0,0.0031019775671161,84
dart,0.912575383848176,+,0.42412846697809814,5,34.0,0.371348292518808,0.562682361158062,0.9774291685211881,0.0031024872944168,164
goss,0.9962366869834605,+,0.17147088652934997,5,75.0,0.9920302304492232,0.18773288633030055,1.0,0.0031045281736741,25
goss,0.9993594476093068,+,0.16686287613505454,5,41.0,0.08253083980695364,0.4541808697966966,1.0,0.0031045822640133,141
goss,0.9857950700350243,+,0.18448367547302344,5,57.0,0.5831454042874723,0.37176130750844577,1.0,0.0031048512183012,273
goss,0.9078375428595751,+,0.20402077397586385,5,56.0,0.54970421450452,0.11243787624468987,1.0,0.0031050678978227,152
dart,0.9292219240866479,+,0.6574241703814135,5,73.0,0.24321841771702019,0.7218234851864203,0.7633218354290001,0.0031055543642114,201
dart,0.9078569371862599,+,0.5946758904104075,5,38.0,0.7470788075678516,0.9016624921041252,0.6188828468168257,0.0031084243475905,190
goss,0.9928314902595081,+,0.2271776415730401,5,53.0,0.8270137206341174,0.004270443413391389,1.0,0.0031107932573201,82
dart,0.9502562351238982,+,0.6053806597534576,5,39.0,0.5780488208288244,0.6127750056325834,0.7730174747228532,0.0031109882162704,124
goss,0.9661241052671214,+,0.18486757572277937,5,68.0,0.010926939057501583,0.2928893082060826,1.0,0.0031116330956689,142
dart,0.853604547427227,+,0.38632795664356867,5,71.0,0.9211441601273199,0.7658105891724258,0.7068741209114592,0.0031144035366557,185
dart,0.9025887519812537,+,0.48674700693519546,5,31.0,0.46507655122505065,0.5814032399385858,0.8762434898291305,0.0031152957124711,272
dart,0.9087006398928344,+,0.3539843785236837,5,65.0,0.5636428978423842,0.6830771578000543,0.5550216627700865,0.0031168255696673,249
goss,0.9157547130849708,+,0.2190867957678619,5,66.0,0.8174090512462743,0.5170307649400456,1.0,0.0031168511750533,183
goss,0.9900613077839395,+,0.14056185655239042,5,60.0,0.9677189765824277,0.19520624689300164,1.0,0.0031170189884178,68
dart,0.9989480129250259,+,0.6070290139253977,5,47.0,0.7658267112995407,0.9040661471185147,0.6171418129019401,0.0031171864338809,243
dart,0.8831433422181308,+,0.5616115999781273,5,76.0,0.6342074376707914,0.11159036107674014,0.7859713142703174,0.0031181986008052,89
goss,0.9562276738963186,+,0.2676443512858909,5,68.0,0.48918729937246413,0.482158704936042,1.0,0.0031197195304187,296
goss,0.9959035526400297,+,0.4034654404795388,5,77.0,0.3551242095363776,0.2864410446622133,1.0,0.0031201541809767,134
goss,0.9398802254147449,+,0.21764467080331035,5,76.0,0.22394307465780292,0.09873523377102061,1.0,0.0031216167003376,165
dart,0.8704200705866203,+,0.3192699135078623,5,85.0,0.3480365662529475,0.5675550404372423,0.9706609353519395,0.0031235550933055,194
gbdt,0.9411279739208044,+,0.42371868805493307,5,42.0,0.6518981278344548,0.6222102575858331,0.7649271925013125,0.0031253677229728,275
goss,0.9841413834638966,+,0.27473622873598014,5,55.0,0.329570762362539,0.34338654166415356,1.0,0.0031268500261072,144
dart,0.9158042114966726,+,0.5644479993071176,5,84.0,0.5315839617711468,0.9814757416774789,0.8447437786094575,0.0031286152716232,256
goss,0.9387920995722946,+,0.25261978831595605,5,44.0,0.6670844474847497,0.3549593848252676,1.0,0.0031288917888464,129
