feature,weight,std
out_prncp,0.2317624452856016,0.0005008791582133063
total_pymnt,0.12947999065837631,0.00011760045328169572
recoveries,0.06849352445123738,8.766694326682153e-05
loan_amnt,0.06816379288418,0.00022586638665249965
last_pymnt_amnt,0.029726248806283807,0.00022774943668134486
grade_C,0.023211622459667968,7.829869883043643e-05
installment,0.02268164717797405,0.00014214354702674696
int_rate,0.00927687971272193,5.9959065221142404e-05
total_rec_int,0.008037495982408105,9.911039783940537e-05
grade_B,0.002379801744848753,2.5006889835135864e-05
total_rec_late_fee,0.0010544010839982575,2.7631540921692336e-05
grade_D,0.0007672155255934454,1.4726175579107864e-05
home_ownership_MORTGAGE,0.000332506306752034,3.906047760445035e-05
home_ownership_RENT,0.000285335731941605,2.405663577357224e-05
home_ownership_OWN,0.0001729587743049432,1.269862416171299e-05
term_ 60 months,0.00015446050967338198,1.564170204869754e-05
tot_hi_cred_lim,4.485829173146438e-05,9.875370949913928e-06
annual_inc,3.8383899110416844e-05,5.9583366946417745e-06
acc_open_past_24mths,3.514670279989307e-05,2.5219790746596176e-05
verification_status_Verified,2.9597223410449125e-05,6.441275306050301e-06
