feature,weight,std
total_pymnt,0.3011401867862271,0.00016178051782446388
out_prncp,0.2611839351820807,0.0007239964731513374
installment,0.16284623548753327,0.0004906370473372272
loan_amnt,0.1317187431354096,0.00017098016145306285
last_pymnt_amnt,0.10325500089022895,0.00031538388424627784
total_rec_int,0.06810783563366958,0.0002757242203169187
recoveries,0.06628945622038829,0.0001147190727464916
int_rate,0.03295928300726285,0.00025166734368668926
grade_B,0.00639669990958971,3.809587248520906e-05
total_rec_late_fee,0.00536912130930709,0.00010550702167811828
revol_bal,0.0027553165168691775,8.15891959599919e-05
tot_hi_cred_lim,0.0023081209694014947,6.0798536526604716e-05
num_sats,0.0022910100746173167,6.707055985565044e-05
revol_util,0.001367021756271436,4.905965074492705e-05
term_ 60 months,0.0013027402866767845,1.3371315476130118e-05
grade_D,0.0012310595112295486,5.27606049744646e-05
total_bal_ex_mort,0.0009415616697458163,1.3671831997945128e-05
bc_open_to_buy,0.0007769271145250389,6.201058671171938e-05
percent_bc_gt_75,0.0006326406503989413,2.3426063854897375e-05
annual_inc,0.0005336749346201541,5.826586318317378e-05
