feature,weight,std
out_prncp,0.2431897482617412,0.0005748393401523637
total_pymnt,0.21330395192301022,0.0003853887139673603
loan_amnt,0.07884469088243658,0.0002917305946398408
installment,0.07567362586797328,0.0002484317628708754
recoveries,0.061697724482221994,0.0001571304816423574
last_pymnt_amnt,0.05089520039401305,0.00020014489755912384
total_rec_int,0.03956547576380491,0.00016164165323962946
int_rate,0.024357589953592475,0.000416311141085179
bc_open_to_buy,0.0039405928231358136,0.00010614764596733833
total_bc_limit,0.0030337153995740884,7.099876395712609e-05
revol_bal,0.0026998217229746045,5.704548101774199e-05
revol_util,0.0025370369942170124,5.722888942177148e-05
total_rec_late_fee,0.0025190011862012084,9.749612113104255e-05
num_sats,0.0024607316526118472,8.856255495077661e-05
tot_hi_cred_lim,0.0023007216635489323,0.0001058611579660091
term_ 60 months,0.002275286549680544,8.26750339747002e-05
total_bal_ex_mort,0.0022244163219437897,0.00013453434454227577
num_bc_sats,0.0019330686539969165,5.0000949592804084e-05
grade_C,0.0017434614415235083,8.027319752193297e-05
num_bc_tl,0.0015825265392290344,8.040097877549677e-05
