depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,282,0.49886910881714197,0.00013652637670741633,4,7,0.7852532187816375,1.980068614938656,413
6,147,0.45955410099353006,0.00039618942851448347,7,4,0.9988887521448616,1.980194768615654,299
6,304,0.49165027775879244,0.00023618872028312955,14,3,0.9606032310733543,1.98328870664696,309
6,243,0.5524219871343572,0.0002597443545812399,4,3,0.7302817759835408,1.985083943111924,417
8,151,0.5173073169790545,0.00027951478762068267,12,11,0.7330968900751821,1.985901093353067,231
8,195,0.30980601358861054,0.0002104007828870782,7,13,0.6039259456696209,1.9859343085060837,121
8,330,0.6206497684168814,0.00014969055662675203,7,4,0.8462790530520004,1.986050804045879,486
6,293,0.5959444867470225,0.00046241991872369255,14,3,0.9217829110608944,1.9865880633397883,312
6,407,0.5055859718516418,0.0006320034315948325,4,7,0.8035666142731953,1.986687178690791,411
6,335,0.45743934824235544,0.0006649848331071753,14,7,0.9092569428179288,1.986701075594232,293
6,224,0.3174267545513654,0.0007435100682740628,12,4,0.6891384952894399,1.9870393661636852,99
6,446,0.7164764865739661,0.0006492482935288955,4,10,0.6552964403948308,1.98743585088186,448
6,282,0.46554536244417627,0.000815351147835246,5,4,0.5946101228846884,1.98751776071902,437
6,295,0.5227200650767622,0.0005262041312330808,4,6,0.7826311067971423,1.9875696302234889,416
6,271,0.4459856025869664,0.0005782799877803724,9,10,0.6698904435904619,1.9876761001086625,394
6,243,0.6703551086359549,0.0003869584180504921,4,3,0.6831782183981194,1.988016389651992,432
6,308,0.5060534639402197,0.00019664234788933308,19,11,0.4470522081229283,1.988118417103797,479
7,350,0.13407612184703965,0.0007525015493025085,3,11,0.8991925005840544,1.9886158481263845,132
9,237,0.3849804561979479,0.00018255789987853483,14,7,0.6208379392461297,1.9886212736066216,246
8,105,0.4135905801072699,0.0009246715897654012,15,9,0.5719371471072819,1.988707309438685,238
7,316,0.5887219067714942,0.0003745306288865922,10,16,0.758323664797979,1.9887318506104608,222
7,195,0.14192556094071612,0.0018341737258903736,2,17,0.025659207651995225,1.9888600101209184,73
6,339,0.5661682941198698,0.0003896588460320649,2,3,0.516109873799948,1.9888789926005053,369
7,116,0.13023651645455986,0.002650533669649508,7,14,0.4827422472721544,1.989193983596137,147
8,384,0.3539332120203188,0.0002686485228958158,3,4,0.7034511691268458,1.989482248582307,277
8,363,0.5418749028394708,0.0004441245671206262,14,18,0.7849154735369792,1.9896339673555945,382
8,343,0.35708684308685157,0.0003697297384432966,7,3,0.48113741408505023,1.9902901702710176,464
7,492,0.09250637701998557,0.0008877728743610827,16,11,0.8087604174931484,1.9904749642772464,151
9,294,0.2610610041170592,0.00021361897811974132,11,15,0.6136116391204471,1.9905288163993575,168
6,483,0.5111456028815832,0.0014923747027500306,14,7,0.9409530311033787,1.9910021720636424,404
6,126,0.40162309840939836,0.005916244503525932,10,11,0.7199126265020528,1.9910786721407796,492
9,236,0.5343628319991898,0.0004406590141963922,2,9,0.6617441513502869,1.9911034638825185,201
9,235,0.4610542506772355,0.0004707935622807405,17,5,0.4823153706530431,1.9913858252680163,265
8,305,0.6456814015720913,0.0008147079908770495,8,14,0.3990670956959158,1.9919558919985143,350
9,129,0.23743488320750702,0.0005446142388125892,15,5,0.4392247930132351,1.9921391278680307,157
8,451,0.4745342082894716,0.000921912439078576,7,13,0.6780628141459983,1.992291762895758,119
7,108,0.42233403542595893,0.0063615260000000045,19,3,0.7683661056024037,1.9924872459964689,457
9,414,0.3748851472978879,0.0008279550435890585,14,7,0.631880291274617,1.992756046943689,260
6,137,0.7354938381928338,0.006300138521999007,16,3,0.918694929482264,1.9928633265802211,317
10,422,0.5493031537827314,0.00023778499367565695,13,14,0.835081733372786,1.9929098249216533,367
11,481,0.4775462647990931,0.0001298440358024811,10,13,0.7484357185796677,1.9935671411618223,449
6,247,0.4629072989812144,0.003920210247960608,14,5,0.9802666291097936,1.993594129457693,402
6,257,0.43786723254720583,0.0015702705789393582,2,7,0.1756064884430107,1.9935941739291831,22
10,146,0.36102914412756015,0.0012306570596075153,11,11,0.7609188767798031,1.9935970783244497,271
6,155,0.5029979474731254,0.006911989064364764,18,15,0.5117188617650992,1.993599068822223,446
11,167,0.34015056781196096,0.00031380809024093213,4,4,0.5521681220059744,1.9937761975861443,476
6,102,0.6516608902705194,0.010107388985143736,7,4,0.8932645343509156,1.993817762242919,305
6,377,0.6443552992372871,0.001719967816787878,2,15,0.19124221551743423,1.9938990464360256,24
11,325,0.6179952879149196,0.00029895076929364466,5,9,0.7894181709243965,1.9939314905384835,329
6,286,0.4047406316509855,0.0036966760023387415,14,7,0.22351873260910132,1.9940155768913177,21
11,460,0.44532052377053555,0.0001662693822421498,5,14,0.4298301440297827,1.9943246934465595,273
6,189,0.3978837537511787,0.006877309873978471,16,19,0.6656539925718986,1.994460515811562,105
7,148,0.08262877918816676,0.006173075007051786,13,17,0.8021534118814045,1.994531116471452,183
6,248,0.584566129212231,0.004848040151486481,4,16,0.18813598195985579,1.994655693526204,39
12,346,0.3886034427558523,0.00022402815408862264,17,18,0.6245073797450846,1.9946616138177533,180
6,277,0.3895192792448249,0.004654315973691078,14,13,0.8631279616256201,1.9947682537269655,407
10,241,0.5435722959578843,0.0012026256627308684,2,18,0.3349992797367938,1.9949556300186384,27
6,202,0.6573368016996175,0.007751497500989524,18,9,0.8746807663736063,1.9951425071561868,398
8,230,0.47475249802786434,0.00415009568776428,18,11,0.7276047742439312,1.9951650899147664,255
8,170,0.7343232358788702,0.0056318841776702875,19,3,0.711449441502122,1.99523344081516,386
8,144,0.35725881405918863,0.007163092695074022,12,10,0.7615236821159229,1.9952728240275963,126
7,338,0.23699641097713503,0.0022307946499764628,2,2,0.13779429927082287,1.995318695980236,78
6,219,0.561911311920514,0.00815095765216293,18,2,0.7556667501396842,1.9955405303356493,469
8,239,0.3430795557404704,0.005667330619334786,11,7,0.5376477455903534,1.995564238348071,435
12,453,0.49202661007361403,0.0005630480182420179,5,5,0.7345034661015428,1.9955868268476404,459
12,461,0.42509451250242186,0.00020357200813907444,3,15,0.08679984876119728,1.9955957309465029,61
6,204,0.4770120737950336,0.009685021895470769,15,4,0.6985612347052657,1.9956014630761896,415
