depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,209,0.3258948761851098,0.00013510336684909182,2,2,0.40174760984637287,1.9573690667239017,146
6,116,0.2438578789209958,0.0003641712068393032,9,2,0.4537388406626548,1.9588298628994352,151
6,105,0.60435683225347,0.00048044351078915245,10,6,0.505786186583552,1.959103215277406,204
6,103,0.22221613290767966,0.0004166766757430463,14,14,0.6625504555411176,1.959272768299411,265
6,314,0.19064932887924232,0.00015628389634938397,10,10,0.44385004082450685,1.959935175403006,157
6,301,0.1483618548600872,0.00021990840075228335,13,6,0.5637950125351854,1.9621225964229476,134
6,198,0.07405717853834043,0.0004486161821542989,13,6,0.5459678910736836,1.9641346824603108,260
6,340,0.21474160621168453,0.0003302652751681096,10,3,0.2612995680415902,1.9641581281314031,159
6,311,0.1814520386568015,0.00011215249570445556,14,12,0.9496733203650924,1.96533789151412,273
6,180,0.10319512817535705,0.00020138214999949167,9,2,0.8572789384702013,1.966112088824053,292
7,404,0.2607400695558594,0.00017981189863121454,11,4,0.30087037699949437,1.9661497376877075,234
6,224,0.3174267545513654,0.0007435100682740628,12,4,0.6891384952894399,1.9663053034546192,99
6,414,0.1281963416090307,0.0006834595230164428,18,2,0.50472605244561,1.9674262937291955,283
6,116,0.3210738530651911,0.0026415421886210625,2,2,0.40121431381284167,1.967711041812441,147
7,195,0.14192556094071612,0.0018341737258903736,2,17,0.025659207651995225,1.9683148847203176,73
6,257,0.43786723254720583,0.0015702705789393582,2,7,0.1756064884430107,1.970431139891532,22
6,284,0.26259847651757695,0.0013153134788261359,14,14,0.6449826447912221,1.97113350774736,271
8,477,0.2129150803742357,0.0002729585372431848,8,7,0.5909376197232767,1.971403752441378,299
6,377,0.6443552992372871,0.001719967816787878,2,15,0.19124221551743423,1.971586603947112,24
6,197,0.15012613508493983,0.004623743482673303,9,2,0.38224205942367606,1.973289474300905,155
9,468,0.7940934992881699,0.000864004008839413,10,12,0.4721930970430029,1.973420744203739,215
6,286,0.4047406316509855,0.0036966760023387415,14,7,0.22351873260910132,1.97351108739058,21
11,324,0.29892911070345113,0.00018122595786937868,9,10,0.4157593816949315,1.9737528615828648,172
6,363,0.13322463826302267,0.002585624119377232,13,6,0.449111173268255,1.9738203127035483,258
6,136,0.49904568363938717,0.007679201353279408,5,14,0.34448202765297237,1.9739289331005376,174
