iteration,precision,datetime_start,datetime_complete,duration,metric,n_neighbors,state
50,0.517532581775859,2022-06-15 20:32:34.661307,2022-06-15 20:33:10.961472,0 days 00:00:36.300165,euclidean,4,COMPLETE
67,0.517532581775859,2022-06-15 20:42:55.831794,2022-06-15 20:43:32.192624,0 days 00:00:36.360830,chebyshev,4,COMPLETE
81,0.517532581775859,2022-06-15 20:51:25.973354,2022-06-15 20:52:02.341030,0 days 00:00:36.367676,chebyshev,4,COMPLETE
87,0.517532581775859,2022-06-15 20:55:05.171586,2022-06-15 20:55:41.506434,0 days 00:00:36.334848,chebyshev,4,COMPLETE
61,0.517532581775859,2022-06-15 20:39:17.744178,2022-06-15 20:39:54.077668,0 days 00:00:36.333490,euclidean,4,COMPLETE
62,0.517532581775859,2022-06-15 20:39:54.077813,2022-06-15 20:40:30.464911,0 days 00:00:36.387098,euclidean,4,COMPLETE
91,0.517532581775859,2022-06-15 20:57:32.731380,2022-06-15 20:58:09.066306,0 days 00:00:36.334926,chebyshev,4,COMPLETE
92,0.517532581775859,2022-06-15 20:58:09.066456,2022-06-15 20:58:45.447861,0 days 00:00:36.381405,chebyshev,4,COMPLETE
64,0.517532581775859,2022-06-15 20:41:06.759688,2022-06-15 20:41:43.162235,0 days 00:00:36.402547,euclidean,4,COMPLETE
65,0.517532581775859,2022-06-15 20:41:43.162375,2022-06-15 20:42:19.489268,0 days 00:00:36.326893,chebyshev,4,COMPLETE
66,0.517532581775859,2022-06-15 20:42:19.489407,2022-06-15 20:42:55.831647,0 days 00:00:36.342240,chebyshev,4,COMPLETE
21,0.517532581775859,2022-06-15 20:14:52.424263,2022-06-15 20:15:28.747186,0 days 00:00:36.322923,euclidean,4,COMPLETE
73,0.517532581775859,2022-06-15 20:46:34.385604,2022-06-15 20:47:10.757699,0 days 00:00:36.372095,chebyshev,4,COMPLETE
72,0.517532581775859,2022-06-15 20:45:58.067786,2022-06-15 20:46:34.385425,0 days 00:00:36.317639,chebyshev,4,COMPLETE
68,0.517532581775859,2022-06-15 20:43:32.192779,2022-06-15 20:44:08.641868,0 days 00:00:36.449089,chebyshev,4,COMPLETE
77,0.517532581775859,2022-06-15 20:49:00.189434,2022-06-15 20:49:36.480055,0 days 00:00:36.290621,chebyshev,4,COMPLETE
71,0.517532581775859,2022-06-15 20:45:21.650757,2022-06-15 20:45:58.067650,0 days 00:00:36.416893,chebyshev,4,COMPLETE
27,0.4743930197268589,2022-06-15 20:18:31.382817,2022-06-15 20:19:07.760629,0 days 00:00:36.377812,euclidean,6,COMPLETE
90,0.4743930197268589,2022-06-15 20:56:56.236895,2022-06-15 20:57:32.731226,0 days 00:00:36.494331,chebyshev,6,COMPLETE
52,0.4743930197268589,2022-06-15 20:33:47.316648,2022-06-15 20:34:23.710750,0 days 00:00:36.394102,euclidean,6,COMPLETE
33,0.4743930197268589,2022-06-15 20:22:11.339203,2022-06-15 20:22:47.781855,0 days 00:00:36.442652,euclidean,6,COMPLETE
31,0.4743930197268589,2022-06-15 20:20:58.476998,2022-06-15 20:21:34.872435,0 days 00:00:36.395437,euclidean,6,COMPLETE
80,0.4743930197268589,2022-06-15 20:50:49.539501,2022-06-15 20:51:25.973178,0 days 00:00:36.433677,chebyshev,6,COMPLETE
41,0.4743930197268589,2022-06-15 20:27:04.340520,2022-06-15 20:27:40.881407,0 days 00:00:36.540887,euclidean,6,COMPLETE
10,0.4743930197268589,2022-06-15 20:08:06.686091,2022-06-15 20:08:43.055026,0 days 00:00:36.368935,euclidean,6,COMPLETE
97,0.4743930197268589,2022-06-15 21:01:12.502603,2022-06-15 21:01:48.883061,0 days 00:00:36.380458,manhattan,6,COMPLETE
63,0.4720496894409938,2022-06-15 20:40:30.465039,2022-06-15 20:41:06.759512,0 days 00:00:36.294473,euclidean,3,COMPLETE
54,0.4720496894409938,2022-06-15 20:35:00.257524,2022-06-15 20:35:36.556782,0 days 00:00:36.299258,euclidean,3,COMPLETE
11,0.4720496894409938,2022-06-15 20:08:43.055135,2022-06-15 20:09:19.413405,0 days 00:00:36.358270,euclidean,3,COMPLETE
51,0.4720496894409938,2022-06-15 20:33:10.961636,2022-06-15 20:33:47.316497,0 days 00:00:36.354861,euclidean,3,COMPLETE
76,0.4720496894409938,2022-06-15 20:48:23.891425,2022-06-15 20:49:00.189278,0 days 00:00:36.297853,chebyshev,3,COMPLETE
25,0.4720496894409938,2022-06-15 20:17:18.552648,2022-06-15 20:17:54.799603,0 days 00:00:36.246955,euclidean,3,COMPLETE
95,0.4720496894409938,2022-06-15 20:59:58.253591,2022-06-15 21:00:34.668444,0 days 00:00:36.414853,chebyshev,3,COMPLETE
83,0.4720496894409938,2022-06-15 20:52:38.844743,2022-06-15 20:53:15.175525,0 days 00:00:36.330782,minkowski,3,COMPLETE
13,0.4720496894409938,2022-06-15 20:09:55.679726,2022-06-15 20:10:32.059960,0 days 00:00:36.380234,euclidean,3,COMPLETE
12,0.4720496894409938,2022-06-15 20:09:19.413508,2022-06-15 20:09:55.679607,0 days 00:00:36.266099,euclidean,3,COMPLETE
89,0.45081123688993013,2022-06-15 20:56:19.765672,2022-06-15 20:56:56.236727,0 days 00:00:36.471055,manhattan,8,COMPLETE
79,0.45081123688993013,2022-06-15 20:50:13.088459,2022-06-15 20:50:49.539343,0 days 00:00:36.450884,chebyshev,8,COMPLETE
53,0.45081123688993013,2022-06-15 20:34:23.710887,2022-06-15 20:35:00.257393,0 days 00:00:36.546506,euclidean,8,COMPLETE
15,0.45081123688993013,2022-06-15 20:11:10.215003,2022-06-15 20:11:46.805731,0 days 00:00:36.590728,minkowski,8,COMPLETE
22,0.45081123688993013,2022-06-15 20:15:28.747300,2022-06-15 20:16:05.380378,0 days 00:00:36.633078,euclidean,8,COMPLETE
70,0.45081123688993013,2022-06-15 20:44:45.182953,2022-06-15 20:45:21.650608,0 days 00:00:36.467655,chebyshev,8,COMPLETE
38,0.43819978275401067,2022-06-15 20:25:14.197214,2022-06-15 20:25:50.722235,0 days 00:00:36.525021,manhattan,10,COMPLETE
