iteration,f1_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
63,0.8871272944825377,2022-06-15 04:19:24.813360,2022-06-15 04:20:01.025956,0 days 00:00:36.212596,manhattan,4.0,COMPLETE
60,0.8871272944825377,2022-06-15 04:17:36.183038,2022-06-15 04:18:12.431706,0 days 00:00:36.248668,manhattan,4.0,COMPLETE
56,0.8871272944825377,2022-06-15 04:15:11.340191,2022-06-15 04:15:47.583367,0 days 00:00:36.243176,manhattan,4.0,COMPLETE
71,0.8871272944825377,2022-06-15 04:24:17.413753,2022-06-15 04:24:53.575050,0 days 00:00:36.161297,manhattan,4.0,COMPLETE
87,0.8871272944825377,2022-06-15 04:33:58.036005,2022-06-15 04:34:34.202760,0 days 00:00:36.166755,manhattan,4.0,COMPLETE
15,0.8871272944825377,2022-06-15 03:50:12.511078,2022-06-15 03:50:48.709631,0 days 00:00:36.198553,euclidean,4.0,COMPLETE
83,0.8871272944825377,2022-06-15 04:31:32.897916,2022-06-15 04:32:09.111544,0 days 00:00:36.213628,manhattan,4.0,COMPLETE
58,0.8871272944825377,2022-06-15 04:16:23.734931,2022-06-15 04:16:59.939290,0 days 00:00:36.204359,manhattan,4.0,COMPLETE
55,0.8871272944825377,2022-06-15 04:14:35.174600,2022-06-15 04:15:11.340055,0 days 00:00:36.165455,chebyshev,4.0,COMPLETE
59,0.8871272944825377,2022-06-15 04:16:59.939413,2022-06-15 04:17:36.182895,0 days 00:00:36.243482,manhattan,4.0,COMPLETE
92,0.8871272944825377,2022-06-15 04:36:59.658643,2022-06-15 04:37:35.878466,0 days 00:00:36.219823,manhattan,4.0,COMPLETE
73,0.8871272944825377,2022-06-15 04:25:29.943876,2022-06-15 04:26:06.125542,0 days 00:00:36.181666,manhattan,4.0,COMPLETE
68,0.8871272944825377,2022-06-15 04:22:27.026164,2022-06-15 04:23:03.242062,0 days 00:00:36.215898,manhattan,4.0,COMPLETE
81,0.8871272944825377,2022-06-15 04:30:20.369912,2022-06-15 04:30:56.608449,0 days 00:00:36.238537,manhattan,4.0,COMPLETE
95,0.8871272944825377,2022-06-15 04:38:48.305841,2022-06-15 04:39:24.479139,0 days 00:00:36.173298,euclidean,4.0,COMPLETE
61,0.8871272944825377,2022-06-15 04:18:12.431837,2022-06-15 04:18:48.664825,0 days 00:00:36.232988,manhattan,4.0,COMPLETE
62,0.8871272944825377,2022-06-15 04:18:48.664968,2022-06-15 04:19:24.813237,0 days 00:00:36.148269,manhattan,4.0,COMPLETE
50,0.8754888483580192,2022-06-15 04:11:31.420734,2022-06-15 04:12:07.662647,0 days 00:00:36.241913,chebyshev,6.0,COMPLETE
24,0.8754888483580192,2022-06-15 03:55:41.489121,2022-06-15 03:56:17.750628,0 days 00:00:36.261507,chebyshev,6.0,COMPLETE
33,0.8754888483580192,2022-06-15 04:01:10.900750,2022-06-15 04:01:47.128574,0 days 00:00:36.227824,chebyshev,6.0,COMPLETE
88,0.8754888483580192,2022-06-15 04:34:34.202904,2022-06-15 04:35:10.511886,0 days 00:00:36.308982,minkowski,6.0,COMPLETE
41,0.8754888483580192,2022-06-15 04:06:02.968193,2022-06-15 04:06:39.165011,0 days 00:00:36.196818,chebyshev,6.0,COMPLETE
52,0.8754888483580192,2022-06-15 04:12:45.823393,2022-06-15 04:13:22.080395,0 days 00:00:36.257002,chebyshev,6.0,COMPLETE
6,0.8754888483580192,2022-06-15 03:44:41.628533,2022-06-15 03:45:18.040666,0 days 00:00:36.412133,chebyshev,6.0,COMPLETE
94,0.8754888483580192,2022-06-15 04:38:11.998132,2022-06-15 04:38:48.305693,0 days 00:00:36.307561,manhattan,6.0,COMPLETE
28,0.8754888483580192,2022-06-15 03:58:07.871739,2022-06-15 03:58:44.106362,0 days 00:00:36.234623,chebyshev,6.0,COMPLETE
64,0.8745442642202647,2022-06-15 04:20:01.026105,2022-06-15 04:20:37.214618,0 days 00:00:36.188513,manhattan,3.0,COMPLETE
47,0.8745442642202647,2022-06-15 04:09:40.978925,2022-06-15 04:10:17.120376,0 days 00:00:36.141451,chebyshev,3.0,COMPLETE
76,0.8745442642202647,2022-06-15 04:27:18.739161,2022-06-15 04:27:54.935841,0 days 00:00:36.196680,manhattan,3.0,COMPLETE
85,0.8745442642202647,2022-06-15 04:32:45.555563,2022-06-15 04:33:21.693101,0 days 00:00:36.137538,manhattan,3.0,COMPLETE
22,0.8745442642202647,2022-06-15 03:54:28.828948,2022-06-15 03:55:05.049604,0 days 00:00:36.220656,chebyshev,3.0,COMPLETE
21,0.8745442642202647,2022-06-15 03:53:52.663032,2022-06-15 03:54:28.828829,0 days 00:00:36.165797,chebyshev,3.0,COMPLETE
57,0.8745442642202647,2022-06-15 04:15:47.583518,2022-06-15 04:16:23.734799,0 days 00:00:36.151281,manhattan,3.0,COMPLETE
12,0.8745442642202647,2022-06-15 03:48:22.641628,2022-06-15 03:48:58.916734,0 days 00:00:36.275106,chebyshev,3.0,COMPLETE
11,0.8745442642202647,2022-06-15 03:47:46.434819,2022-06-15 03:48:22.641521,0 days 00:00:36.206702,chebyshev,3.0,COMPLETE
93,0.8745442642202647,2022-06-15 04:37:35.878627,2022-06-15 04:38:11.997972,0 days 00:00:36.119345,manhattan,3.0,COMPLETE
67,0.8676569511272121,2022-06-15 04:21:50.607827,2022-06-15 04:22:27.026003,0 days 00:00:36.418176,manhattan,8.0,COMPLETE
65,0.8676569511272121,2022-06-15 04:20:37.214748,2022-06-15 04:21:13.528136,0 days 00:00:36.313388,manhattan,8.0,COMPLETE
43,0.8676569511272121,2022-06-15 04:07:15.439767,2022-06-15 04:07:51.753650,0 days 00:00:36.313883,manhattan,8.0,COMPLETE
49,0.8676569511272121,2022-06-15 04:10:55.078134,2022-06-15 04:11:31.420613,0 days 00:00:36.342479,chebyshev,8.0,COMPLETE
96,0.8676569511272121,2022-06-15 04:39:24.479285,2022-06-15 04:40:00.867486,0 days 00:00:36.388201,manhattan,8.0,COMPLETE
25,0.8676569511272121,2022-06-15 03:56:17.750745,2022-06-15 03:56:54.138831,0 days 00:00:36.388086,chebyshev,8.0,COMPLETE
44,0.8629177061332236,2022-06-15 04:07:51.753771,2022-06-15 04:08:28.210150,0 days 00:00:36.456379,chebyshev,10.0,COMPLETE
9,0.8629177061332236,2022-06-15 03:46:31.670323,2022-06-15 03:47:08.168520,0 days 00:00:36.498197,minkowski,10.0,COMPLETE
84,0.8629177061332236,2022-06-15 04:32:09.111723,2022-06-15 04:32:45.555430,0 days 00:00:36.443707,manhattan,10.0,COMPLETE
34,0.8629177061332236,2022-06-15 04:01:47.128692,2022-06-15 04:02:23.671847,0 days 00:00:36.543155,chebyshev,10.0,COMPLETE
74,0.8615440085601886,2022-06-15 04:26:06.125678,2022-06-15 04:26:42.456923,0 days 00:00:36.331245,manhattan,5.0,COMPLETE
82,0.8615440085601886,2022-06-15 04:30:56.608586,2022-06-15 04:31:32.897772,0 days 00:00:36.289186,manhattan,5.0,COMPLETE
