iteration,precision,datetime_start,datetime_complete,duration,metric,n_neighbors,state
49,0.5293662284788624,2022-06-15 23:10:41.997432,2022-06-15 23:11:18.324032,0 days 00:00:36.326600,euclidean,4.0,COMPLETE
40,0.5293662284788624,2022-06-15 23:05:14.182565,2022-06-15 23:05:50.447242,0 days 00:00:36.264677,euclidean,4.0,COMPLETE
94,0.5293662284788624,2022-06-16 00:28:37.931709,2022-06-16 00:29:14.289018,0 days 00:00:36.357309,euclidean,4.0,COMPLETE
92,0.5293662284788624,2022-06-16 00:27:25.093615,2022-06-16 00:28:01.453465,0 days 00:00:36.359850,euclidean,4.0,COMPLETE
90,0.5293662284788624,2022-06-16 00:26:11.935157,2022-06-16 00:26:48.303962,0 days 00:00:36.368805,euclidean,4.0,COMPLETE
83,0.5293662284788624,2022-06-16 00:21:54.279248,2022-06-16 00:22:30.678533,0 days 00:00:36.399285,euclidean,4.0,COMPLETE
82,0.5293662284788624,2022-06-16 00:21:17.912148,2022-06-16 00:21:54.279050,0 days 00:00:36.366902,euclidean,4.0,COMPLETE
79,0.5293662284788624,2022-06-16 00:19:26.707555,2022-06-16 00:20:03.132829,0 days 00:00:36.425274,euclidean,4.0,COMPLETE
76,0.5293662284788624,2022-06-16 00:17:37.177355,2022-06-16 00:18:13.519468,0 days 00:00:36.342113,euclidean,4.0,COMPLETE
75,0.5293662284788624,2022-06-16 00:17:00.753869,2022-06-16 00:17:37.177113,0 days 00:00:36.423244,euclidean,4.0,COMPLETE
73,0.5293662284788624,2022-06-16 00:15:47.900045,2022-06-16 00:16:24.339461,0 days 00:00:36.439416,euclidean,4.0,COMPLETE
72,0.5293662284788624,2022-06-16 00:15:11.529066,2022-06-16 00:15:47.899841,0 days 00:00:36.370775,euclidean,4.0,COMPLETE
69,0.5293662284788624,2022-06-16 00:13:21.836725,2022-06-16 00:13:58.189402,0 days 00:00:36.352677,euclidean,4.0,COMPLETE
67,0.5293662284788624,2022-06-16 00:12:08.690365,2022-06-16 00:12:45.038351,0 days 00:00:36.347986,euclidean,4.0,COMPLETE
64,0.5293662284788624,2022-06-16 00:10:19.324999,2022-06-16 00:10:55.735066,0 days 00:00:36.410067,euclidean,4.0,COMPLETE
63,0.5293662284788624,2022-06-16 00:09:42.986398,2022-06-16 00:10:19.324791,0 days 00:00:36.338393,manhattan,4.0,COMPLETE
99,0.5293662284788624,2022-06-16 00:31:40.194595,2022-06-16 00:32:16.722965,0 days 00:00:36.528370,euclidean,4.0,COMPLETE
10,0.5293662284788624,2022-06-15 22:46:55.173041,2022-06-15 22:47:31.483719,0 days 00:00:36.310678,manhattan,4.0,COMPLETE
15,0.5250940673890288,2022-06-15 22:49:57.950678,2022-06-15 22:50:34.169452,0 days 00:00:36.218774,manhattan,3.0,COMPLETE
13,0.5250940673890288,2022-06-15 22:48:44.728533,2022-06-15 22:49:20.950865,0 days 00:00:36.222332,manhattan,3.0,COMPLETE
96,0.5250940673890288,2022-06-16 00:29:50.797145,2022-06-16 00:30:27.121640,0 days 00:00:36.324495,euclidean,3.0,COMPLETE
51,0.5250940673890288,2022-06-15 23:11:55.551558,2022-06-15 23:12:31.792017,0 days 00:00:36.240459,euclidean,3.0,COMPLETE
56,0.5250940673890288,2022-06-16 00:05:27.130230,2022-06-16 00:06:03.470857,0 days 00:00:36.340627,euclidean,3.0,COMPLETE
33,0.5250940673890288,2022-06-15 23:00:57.108524,2022-06-15 23:01:33.468926,0 days 00:00:36.360402,manhattan,3.0,COMPLETE
31,0.5250940673890288,2022-06-15 22:59:44.480237,2022-06-15 23:00:20.707055,0 days 00:00:36.226818,manhattan,3.0,COMPLETE
62,0.5250940673890288,2022-06-16 00:09:06.500645,2022-06-16 00:09:42.986227,0 days 00:00:36.485582,manhattan,3.0,COMPLETE
44,0.5250940673890288,2022-06-15 23:07:39.643511,2022-06-15 23:08:15.868157,0 days 00:00:36.224646,euclidean,3.0,COMPLETE
11,0.5250940673890288,2022-06-15 22:47:31.483818,2022-06-15 22:48:07.791401,0 days 00:00:36.307583,manhattan,3.0,COMPLETE
24,0.5250940673890288,2022-06-15 22:55:27.369459,2022-06-15 22:56:03.652742,0 days 00:00:36.283283,manhattan,3.0,COMPLETE
21,0.5250940673890288,2022-06-15 22:53:38.295774,2022-06-15 22:54:14.506454,0 days 00:00:36.210680,manhattan,3.0,COMPLETE
27,0.4559542477631215,2022-06-15 22:57:17.032304,2022-06-15 22:57:53.360433,0 days 00:00:36.328129,chebyshev,6.0,COMPLETE
65,0.4559542477631215,2022-06-16 00:10:55.735235,2022-06-16 00:11:32.141973,0 days 00:00:36.406738,euclidean,6.0,COMPLETE
95,0.4559542477631215,2022-06-16 00:29:14.289215,2022-06-16 00:29:50.796899,0 days 00:00:36.507684,euclidean,6.0,COMPLETE
74,0.4559542477631215,2022-06-16 00:16:24.339648,2022-06-16 00:17:00.753681,0 days 00:00:36.414033,euclidean,6.0,COMPLETE
78,0.4559542477631215,2022-06-16 00:18:50.267683,2022-06-16 00:19:26.707360,0 days 00:00:36.439677,euclidean,6.0,COMPLETE
37,0.4559542477631215,2022-06-15 23:03:23.039739,2022-06-15 23:03:59.379616,0 days 00:00:36.339877,manhattan,6.0,COMPLETE
84,0.4559542477631215,2022-06-16 00:22:30.678716,2022-06-16 00:23:07.258292,0 days 00:00:36.579576,euclidean,6.0,COMPLETE
57,0.4468843592150552,2022-06-16 00:06:03.470991,2022-06-16 00:06:39.889045,0 days 00:00:36.418054,euclidean,5.0,COMPLETE
93,0.4468843592150552,2022-06-16 00:28:01.453654,2022-06-16 00:28:37.931515,0 days 00:00:36.477861,euclidean,5.0,COMPLETE
85,0.4468843592150552,2022-06-16 00:23:07.258477,2022-06-16 00:23:43.656388,0 days 00:00:36.397911,euclidean,5.0,COMPLETE
48,0.4468843592150552,2022-06-15 23:10:05.713002,2022-06-15 23:10:41.997279,0 days 00:00:36.284277,manhattan,5.0,COMPLETE
5,0.4468843592150552,2022-06-15 22:43:47.991921,2022-06-15 22:44:24.324998,0 days 00:00:36.333077,minkowski,5.0,COMPLETE
52,0.4468843592150552,2022-06-15 23:12:31.792221,2022-06-15 23:13:08.178433,0 days 00:00:36.386212,euclidean,5.0,COMPLETE
42,0.4468843592150552,2022-06-15 23:06:26.833457,2022-06-15 23:07:03.130246,0 days 00:00:36.296789,euclidean,5.0,COMPLETE
32,0.4468843592150552,2022-06-15 23:00:20.707186,2022-06-15 23:00:57.108416,0 days 00:00:36.401230,manhattan,5.0,COMPLETE
41,0.4468843592150552,2022-06-15 23:05:50.447434,2022-06-15 23:06:26.833298,0 days 00:00:36.385864,euclidean,5.0,COMPLETE
45,0.41768190454901083,2022-06-15 23:08:15.868282,2022-06-15 23:08:52.343322,0 days 00:00:36.475040,euclidean,8.0,COMPLETE
81,0.41768190454901083,2022-06-16 00:20:41.360189,2022-06-16 00:21:17.911952,0 days 00:00:36.551763,euclidean,8.0,COMPLETE
22,0.41768190454901083,2022-06-15 22:54:14.506578,2022-06-15 22:54:50.978783,0 days 00:00:36.472205,manhattan,8.0,COMPLETE
71,0.41768190454901083,2022-06-16 00:14:34.995047,2022-06-16 00:15:11.528892,0 days 00:00:36.533845,euclidean,8.0,COMPLETE
18,0.41768190454901083,2022-06-15 22:51:47.922807,2022-06-15 22:52:24.387872,0 days 00:00:36.465065,manhattan,8.0,COMPLETE
89,0.41768190454901083,2022-06-16 00:25:35.388011,2022-06-16 00:26:11.934905,0 days 00:00:36.546894,minkowski,8.0,COMPLETE
12,0.4157896769459517,2022-06-15 22:48:07.791521,2022-06-15 22:48:44.728418,0 days 00:00:36.936897,manhattan,20.0,COMPLETE
14,0.4152449567723343,2022-06-15 22:49:20.950961,2022-06-15 22:49:57.950560,0 days 00:00:36.999599,manhattan,22.0,COMPLETE
29,0.41363969736740525,2022-06-15 22:58:29.892612,2022-06-15 22:59:06.666960,0 days 00:00:36.774348,chebyshev,18.0,COMPLETE
50,0.41215741720428095,2022-06-15 23:11:18.324148,2022-06-15 23:11:55.551438,0 days 00:00:37.227290,euclidean,32.0,COMPLETE
3,0.41162091539996065,2022-06-15 22:42:34.246185,2022-06-15 22:43:11.401938,0 days 00:00:37.155753,euclidean,30.0,COMPLETE
30,0.41138149249280037,2022-06-15 22:59:06.667078,2022-06-15 22:59:44.480081,0 days 00:00:37.813003,manhattan,36.0,COMPLETE
6,0.41138149249280037,2022-06-15 22:44:24.325143,2022-06-15 22:45:02.277218,0 days 00:00:37.952075,euclidean,36.0,COMPLETE
87,0.41127178207137294,2022-06-16 00:24:20.201606,2022-06-16 00:24:57.430840,0 days 00:00:37.229234,euclidean,28.0,COMPLETE
80,0.409510949441505,2022-06-16 00:20:03.133019,2022-06-16 00:20:41.360010,0 days 00:00:38.226991,euclidean,46.0,COMPLETE
26,0.40889349095406563,2022-06-15 22:56:40.188161,2022-06-15 22:57:17.032187,0 days 00:00:36.844026,manhattan,16.0,COMPLETE
19,0.40889349095406563,2022-06-15 22:52:24.387997,2022-06-15 22:53:01.253798,0 days 00:00:36.865801,manhattan,16.0,COMPLETE
47,0.40889349095406563,2022-06-15 23:09:28.884800,2022-06-15 23:10:05.712887,0 days 00:00:36.828087,manhattan,16.0,COMPLETE
8,0.4085802960806394,2022-06-15 22:45:40.516612,2022-06-15 22:46:18.709681,0 days 00:00:38.193069,euclidean,48.0,COMPLETE
34,0.4022552419006272,2022-06-15 23:01:33.469090,2022-06-15 23:02:09.920027,0 days 00:00:36.450937,chebyshev,7.0,COMPLETE
97,0.4022552419006272,2022-06-16 00:30:27.121816,2022-06-16 00:31:03.649685,0 days 00:00:36.527869,euclidean,7.0,COMPLETE
66,0.4022552419006272,2022-06-16 00:11:32.142127,2022-06-16 00:12:08.690166,0 days 00:00:36.548039,manhattan,7.0,COMPLETE
60,0.4022552419006272,2022-06-16 00:07:53.526182,2022-06-16 00:08:29.985068,0 days 00:00:36.458886,euclidean,7.0,COMPLETE
86,0.4022552419006272,2022-06-16 00:23:43.656568,2022-06-16 00:24:20.201422,0 days 00:00:36.544854,chebyshev,7.0,COMPLETE
54,0.4022552419006272,2022-06-16 00:04:13.997662,2022-06-16 00:04:50.574892,0 days 00:00:36.577230,euclidean,7.0,COMPLETE
23,0.4022552419006272,2022-06-15 22:54:50.978961,2022-06-15 22:55:27.369342,0 days 00:00:36.390381,manhattan,7.0,COMPLETE
2,0.40093729036159376,2022-06-15 22:41:57.613127,2022-06-15 22:42:34.246077,0 days 00:00:36.632950,chebyshev,14.0,COMPLETE
35,0.40093729036159376,2022-06-15 23:02:09.920141,2022-06-15 23:02:46.550093,0 days 00:00:36.629952,manhattan,14.0,COMPLETE
68,0.40093729036159376,2022-06-16 00:12:45.038533,2022-06-16 00:13:21.836567,0 days 00:00:36.798034,minkowski,14.0,COMPLETE
91,0.3998584436452674,2022-06-16 00:26:48.304157,2022-06-16 00:27:25.093449,0 days 00:00:36.789292,euclidean,10.0,COMPLETE
77,0.3998584436452674,2022-06-16 00:18:13.519652,2022-06-16 00:18:50.267505,0 days 00:00:36.747853,chebyshev,10.0,COMPLETE
28,0.3998584436452674,2022-06-15 22:57:53.360597,2022-06-15 22:58:29.892473,0 days 00:00:36.531876,minkowski,10.0,COMPLETE
36,0.3998584436452674,2022-06-15 23:02:46.550226,2022-06-15 23:03:23.039588,0 days 00:00:36.489362,euclidean,10.0,COMPLETE
25,0.3964701789357881,2022-06-15 22:56:03.652902,2022-06-15 22:56:40.188024,0 days 00:00:36.535122,manhattan,12.0,COMPLETE
70,0.3964701789357881,2022-06-16 00:13:58.189579,2022-06-16 00:14:34.994850,0 days 00:00:36.805271,euclidean,12.0,COMPLETE
39,0.39543291433195815,2022-06-15 23:04:36.025933,2022-06-15 23:05:14.182426,0 days 00:00:38.156493,minkowski,43.0,COMPLETE
1,0.3949198190427573,2022-06-15 22:41:19.658039,2022-06-15 22:41:57.613001,0 days 00:00:37.954962,chebyshev,41.0,COMPLETE
7,0.39480669662803225,2022-06-15 22:45:02.277367,2022-06-15 22:45:40.516511,0 days 00:00:38.239144,minkowski,49.0,COMPLETE
