iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
1171,0.5,2022-06-14 01:23:24.135204,2022-06-14 01:23:25.063517,0 days 00:00:00.928313,0.6037803143070636,True,0.28606360214280846,6660341.0,True,random,0.08902801272913831,COMPLETE
1057,0.5,2022-06-14 01:21:22.867794,2022-06-14 01:21:24.079355,0 days 00:00:01.211561,0.6307583770465136,True,0.31348641331907967,8439622.0,True,random,0.07978713647398214,COMPLETE
1039,0.5,2022-06-14 01:21:04.267329,2022-06-14 01:21:05.169536,0 days 00:00:00.902207,0.5240231761095502,True,0.3319431183806403,7869841.0,True,random,0.08736326347099058,COMPLETE
1609,0.5,2022-06-14 01:32:15.700515,2022-06-14 01:32:17.172959,0 days 00:00:01.472444,0.6274433762737607,True,0.33708380937791105,9728738.0,True,random,0.08919808960685036,COMPLETE
1022,0.5,2022-06-14 01:20:46.188398,2022-06-14 01:20:47.103305,0 days 00:00:00.914907,0.5738416818357975,True,0.34379935692814756,8221927.0,True,random,0.08520120873237218,COMPLETE
1001,0.5,2022-06-14 01:20:22.536874,2022-06-14 01:20:23.723952,0 days 00:00:01.187078,0.4407994112236265,True,0.31954793801075193,8038657.0,True,random,0.01846484747267147,COMPLETE
1630,0.5,2022-06-14 01:32:44.024683,2022-06-14 01:32:45.203453,0 days 00:00:01.178770,0.5512728366944444,True,0.34653094867261885,9509373.0,True,cyclic,0.08725234985330305,COMPLETE
78,0.5,2022-06-14 00:17:08.525915,2022-06-14 00:17:08.977881,0 days 00:00:00.451966,1.295776693796964,True,0.3038513372929804,1350504.0,True,cyclic,0.08359058029125793,COMPLETE
979,0.5,2022-06-14 00:28:50.565945,2022-06-14 00:28:51.455666,0 days 00:00:00.889721,0.6018038091954059,True,0.3708766579928843,7772581.0,True,random,0.08173038408535652,COMPLETE
1648,0.5,2022-06-14 01:33:08.072035,2022-06-14 01:33:09.248394,0 days 00:00:01.176359,0.6996340696123581,True,0.32371543241087825,9503495.0,True,random,0.08899934002080805,COMPLETE
960,0.5,2022-06-14 00:28:31.300778,2022-06-14 00:28:32.168382,0 days 00:00:00.867604,0.5501121527671029,True,0.35384094965408786,7649541.0,True,random,0.08530334552136316,COMPLETE
1667,0.5,2022-06-14 01:33:33.746076,2022-06-14 01:33:34.901365,0 days 00:00:01.155289,0.6986078905964399,True,0.3350349406073787,9386159.0,True,random,0.08659207674796641,COMPLETE
1591,0.5,2022-06-14 01:31:52.379509,2022-06-14 01:31:53.508226,0 days 00:00:01.128717,0.7024299639432545,True,0.265364038231828,8603027.0,True,random,0.09110377611596206,COMPLETE
187,0.5,2022-06-14 00:18:10.202396,2022-06-14 00:18:10.705419,0 days 00:00:00.503023,0.7979217672318476,True,0.507070440156091,5480380.0,True,cyclic,0.09231090096492912,COMPLETE
1686,0.5,2022-06-14 01:33:59.202842,2022-06-14 01:34:00.723085,0 days 00:00:01.520243,0.635822994724375,True,0.29601921177066814,8468118.0,True,random,0.04538263333202456,COMPLETE
923,0.5,2022-06-14 00:27:54.778629,2022-06-14 00:27:55.618644,0 days 00:00:00.840015,0.8554439703763003,True,0.23508981274716167,7781628.0,True,random,0.07846763410780797,COMPLETE
1704,0.5,2022-06-14 01:34:24.472236,2022-06-14 01:34:25.618998,0 days 00:00:01.146762,0.68380624642559,True,0.2930361270965055,8984625.0,True,random,0.08009714190793447,COMPLETE
902,0.5,2022-06-14 00:27:33.557835,2022-06-14 00:27:34.410215,0 days 00:00:00.852380,0.8211002713868812,True,0.2669423160402005,7528503.0,True,random,0.08297666345103845,COMPLETE
883,0.5,2022-06-14 00:27:15.312561,2022-06-14 00:27:16.138767,0 days 00:00:00.826206,0.765782886541741,True,0.2561817267686893,7241972.0,True,random,0.07896764109985845,COMPLETE
1724,0.5,2022-06-14 01:34:51.994872,2022-06-14 01:34:53.550087,0 days 00:00:01.555215,0.796238855360934,True,0.3529856749275585,9343085.0,True,cyclic,0.06945462992887796,COMPLETE
864,0.5,2022-06-14 00:26:56.671507,2022-06-14 00:26:57.496813,0 days 00:00:00.825306,0.7526094802217074,True,0.25930279975139453,7324999.0,True,random,0.07679084416257416,COMPLETE
843,0.5,2022-06-14 00:26:36.708562,2022-06-14 00:26:37.505131,0 days 00:00:00.796569,0.6530245208484553,True,0.20214801199775062,8571531.0,True,random,0.04356610333621432,COMPLETE
1342,0.5,2022-06-14 01:26:38.798115,2022-06-14 01:26:39.855163,0 days 00:00:01.057048,0.5096619403085678,True,0.3049103255422688,8422176.0,True,random,0.0835034533035745,COMPLETE
828,0.5,2022-06-14 00:26:22.356798,2022-06-14 00:26:23.163690,0 days 00:00:00.806892,0.7856845612061014,True,0.22441266931528375,8341524.0,True,random,0.052039009882292674,COMPLETE
806,0.5,2022-06-14 00:26:01.597590,2022-06-14 00:26:02.400435,0 days 00:00:00.802845,0.7942465168228797,True,0.2917731068705498,8372399.0,True,random,0.072352826865158,COMPLETE
941,0.5,2022-06-14 00:28:12.169275,2022-06-14 00:28:13.027356,0 days 00:00:00.858081,0.8181238333212699,True,0.25940923027856516,7524102.0,True,random,0.07958404685135315,COMPLETE
1077,0.5,2022-06-14 01:21:44.090277,2022-06-14 01:21:44.977733,0 days 00:00:00.887456,0.6266366837387598,True,0.32094715502634025,8548029.0,True,random,0.08958004481528072,COMPLETE
