iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
499,0.980779471098087,2022-06-13 23:05:46.214263,2022-06-13 23:05:46.901334,0 days 00:00:00.687071,1.9183761346290253,9166302.0,random,0.09154836750722156,COMPLETE
427,0.980779471098087,2022-06-13 23:04:54.551315,2022-06-13 23:04:55.226907,0 days 00:00:00.675592,1.9980168614953129,9390829.0,random,0.07958165892184026,COMPLETE
458,0.980779471098087,2022-06-13 23:05:16.553962,2022-06-13 23:05:17.248719,0 days 00:00:00.694757,1.9233020086320565,9244952.0,random,0.08538357357450092,COMPLETE
457,0.980779471098087,2022-06-13 23:05:15.869673,2022-06-13 23:05:16.553570,0 days 00:00:00.683897,1.9148680647811072,6001451.0,random,0.08965043085798194,COMPLETE
456,0.980779471098087,2022-06-13 23:05:15.193710,2022-06-13 23:05:15.869188,0 days 00:00:00.675478,1.9954459322199494,9395492.0,random,0.07946690401072595,COMPLETE
453,0.980779471098087,2022-06-13 23:05:13.144163,2022-06-13 23:05:13.820354,0 days 00:00:00.676191,1.9872622686429162,9977660.0,random,0.07860742632973688,COMPLETE
450,0.980779471098087,2022-06-13 23:05:10.837141,2022-06-13 23:05:11.796613,0 days 00:00:00.959472,1.9906151244266577,9454589.0,random,0.09702433061734284,COMPLETE
449,0.980779471098087,2022-06-13 23:05:10.157896,2022-06-13 23:05:10.836682,0 days 00:00:00.678786,1.9999716394767502,9398321.0,random,0.09793935915682243,COMPLETE
448,0.980779471098087,2022-06-13 23:05:09.474556,2022-06-13 23:05:10.157481,0 days 00:00:00.682925,1.9252915050375223,9957996.0,random,0.07043002015980605,COMPLETE
444,0.980779471098087,2022-06-13 23:05:06.746154,2022-06-13 23:05:07.432700,0 days 00:00:00.686546,1.9203580766072104,9135326.0,random,0.07570570912714528,COMPLETE
436,0.980779471098087,2022-06-13 23:05:00.656838,2022-06-13 23:05:01.329169,0 days 00:00:00.672331,1.998196443228562,8068014.0,random,0.07418114385628577,COMPLETE
432,0.980779471098087,2022-06-13 23:04:57.915508,2022-06-13 23:04:58.619351,0 days 00:00:00.703843,1.9993870963792977,8126002.0,random,0.07019464946605267,COMPLETE
428,0.980779471098087,2022-06-13 23:04:55.227259,2022-06-13 23:04:55.894734,0 days 00:00:00.667475,1.9169290322261752,8913010.0,random,0.07680990630729947,COMPLETE
967,0.980779471098087,2022-06-13 23:12:03.452721,2022-06-13 23:12:04.292816,0 days 00:00:00.840095,1.9995123975568414,4194104.0,random,0.046729493704073394,COMPLETE
565,0.980779471098087,2022-06-13 23:06:34.244639,2022-06-13 23:06:34.962875,0 days 00:00:00.718236,1.9985437984914411,523724.0,random,0.07480183862178112,COMPLETE
419,0.980779471098087,2022-06-13 23:04:48.862970,2022-06-13 23:04:49.537540,0 days 00:00:00.674570,1.9965369380325886,7333735.0,random,0.08818147703595709,COMPLETE
418,0.980779471098087,2022-06-13 23:04:48.198377,2022-06-13 23:04:48.862547,0 days 00:00:00.664170,1.926499048925848,7176867.0,random,0.08643964616179614,COMPLETE
968,0.980779471098087,2022-06-13 23:12:04.293534,2022-06-13 23:12:05.161318,0 days 00:00:00.867784,1.9952030225255473,4591002.0,random,0.07661667851677015,COMPLETE
412,0.980779471098087,2022-06-13 23:04:44.103973,2022-06-13 23:04:44.773713,0 days 00:00:00.669740,1.9210760304569898,7864050.0,random,0.07134489724654373,COMPLETE
411,0.980779471098087,2022-06-13 23:04:43.434618,2022-06-13 23:04:44.103553,0 days 00:00:00.668935,1.9958315925766341,8276081.0,random,0.07491267655879336,COMPLETE
406,0.980779471098087,2022-06-13 23:04:40.131470,2022-06-13 23:04:40.782926,0 days 00:00:00.651456,1.9979731097356452,7468059.0,random,0.059568345096811894,COMPLETE
399,0.980779471098087,2022-06-13 23:04:35.439378,2022-06-13 23:04:36.096631,0 days 00:00:00.657253,1.9971083482159604,8726012.0,random,0.07021510395345562,COMPLETE
398,0.980779471098087,2022-06-13 23:04:34.803623,2022-06-13 23:04:35.439046,0 days 00:00:00.635423,1.9993701950715985,9018894.0,random,0.09229648448923712,COMPLETE
393,0.980779471098087,2022-06-13 23:04:31.204642,2022-06-13 23:04:31.865653,0 days 00:00:00.661011,1.9972482405315548,7598188.0,random,0.09990797412639402,COMPLETE
391,0.980779471098087,2022-06-13 23:04:29.880386,2022-06-13 23:04:30.541443,0 days 00:00:00.661057,1.9198305932975919,6501528.0,random,0.06719457012231364,COMPLETE
386,0.980779471098087,2022-06-13 23:04:26.554650,2022-06-13 23:04:27.216708,0 days 00:00:00.662058,1.9998215402104604,9386507.0,random,0.07977498382745662,COMPLETE
463,0.980779471098087,2022-06-13 23:05:20.080829,2022-06-13 23:05:20.769407,0 days 00:00:00.688578,1.9983271736803159,871379.0,random,0.09435976076270068,COMPLETE
464,0.980779471098087,2022-06-13 23:05:20.769905,2022-06-13 23:05:21.469059,0 days 00:00:00.699154,1.9199612317516248,8987298.0,random,0.08767653760971102,COMPLETE
940,0.980779471098087,2022-06-13 23:11:39.436592,2022-06-13 23:11:40.271397,0 days 00:00:00.834805,1.9997098396712403,6527688.0,random,0.09504967555332619,COMPLETE
473,0.980779471098087,2022-06-13 23:05:27.173345,2022-06-13 23:05:28.147304,0 days 00:00:00.973959,1.997824316419269,8094603.0,random,0.09844444532906543,COMPLETE
551,0.980779471098087,2022-06-13 23:06:23.823072,2022-06-13 23:06:24.538330,0 days 00:00:00.715258,1.999213380608114,7425027.0,random,0.059792257918797595,COMPLETE
549,0.980779471098087,2022-06-13 23:06:22.401154,2022-06-13 23:06:23.113389,0 days 00:00:00.712235,1.9976167532491438,8360992.0,random,0.07303554564696209,COMPLETE
538,0.980779471098087,2022-06-13 23:06:14.545085,2022-06-13 23:06:15.232626,0 days 00:00:00.687541,1.9996107086329908,604673.0,random,0.0968712528435158,COMPLETE
532,0.980779471098087,2022-06-13 23:06:09.952361,2022-06-13 23:06:10.670558,0 days 00:00:00.718197,1.9994697786676805,262926.0,random,0.07736543672737975,COMPLETE
530,0.980779471098087,2022-06-13 23:06:08.544755,2022-06-13 23:06:09.242484,0 days 00:00:00.697729,1.9148484944556319,347516.0,random,0.07646142571269307,COMPLETE
527,0.980779471098087,2022-06-13 23:06:06.413999,2022-06-13 23:06:07.116779,0 days 00:00:00.702780,1.998735380977634,8700420.0,random,0.07459723048828261,COMPLETE
526,0.980779471098087,2022-06-13 23:06:05.698861,2022-06-13 23:06:06.413533,0 days 00:00:00.714672,1.9998953422793566,9046224.0,random,0.07827879720690772,COMPLETE
524,0.980779471098087,2022-06-13 23:06:04.223245,2022-06-13 23:06:04.944737,0 days 00:00:00.721492,1.9992601578934222,8840965.0,random,0.08264079532184457,COMPLETE
521,0.980779471098087,2022-06-13 23:06:02.081832,2022-06-13 23:06:02.790614,0 days 00:00:00.708782,1.9180479461091053,9288739.0,random,0.09194547063922204,COMPLETE
516,0.980779471098087,2022-06-13 23:05:58.235242,2022-06-13 23:05:58.941706,0 days 00:00:00.706464,1.9264289397750554,8005657.0,random,0.05433450617146698,COMPLETE
514,0.980779471098087,2022-06-13 23:05:56.820063,2022-06-13 23:05:57.530129,0 days 00:00:00.710066,1.9262464983828227,9165188.0,random,0.09366155503167892,COMPLETE
512,0.980779471098087,2022-06-13 23:05:55.413173,2022-06-13 23:05:56.117686,0 days 00:00:00.704513,1.997724964784506,7306188.0,random,0.0758251873743323,COMPLETE
509,0.980779471098087,2022-06-13 23:05:53.285581,2022-06-13 23:05:53.991806,0 days 00:00:00.706225,1.9953223869356604,8223348.0,random,0.063298270082923,COMPLETE
501,0.980779471098087,2022-06-13 23:05:47.599537,2022-06-13 23:05:48.300045,0 days 00:00:00.700508,1.9513727647494201,9474306.0,random,0.08267291355935835,COMPLETE
500,0.980779471098087,2022-06-13 23:05:46.901772,2022-06-13 23:05:47.599107,0 days 00:00:00.697335,1.9480841321646714,9111929.0,random,0.08729252991248154,COMPLETE
497,0.980779471098087,2022-06-13 23:05:44.781453,2022-06-13 23:05:45.454573,0 days 00:00:00.673120,1.9962540144754248,8977746.0,random,0.09504065552183329,COMPLETE
492,0.980779471098087,2022-06-13 23:05:40.861782,2022-06-13 23:05:41.555867,0 days 00:00:00.694085,1.992468433945916,7737243.0,random,0.07868239061735424,COMPLETE
490,0.980779471098087,2022-06-13 23:05:39.447007,2022-06-13 23:05:40.163220,0 days 00:00:00.716213,1.999351864857516,8830680.0,random,0.08480068839972615,COMPLETE
489,0.980779471098087,2022-06-13 23:05:38.741018,2022-06-13 23:05:39.446587,0 days 00:00:00.705569,1.998786959585245,8929177.0,random,0.08352974119990561,COMPLETE
481,0.980779471098087,2022-06-13 23:05:33.057829,2022-06-13 23:05:33.762786,0 days 00:00:00.704957,1.9474576807539394,7376980.0,random,0.07938954056896484,COMPLETE
