iteration,precision,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
500,0.9999785449162178,2022-06-12 18:47:15.046404,2022-06-12 18:47:15.716000,0 days 00:00:00.669596,1.9995374426564783,8207989,random,0.025713364627768187,COMPLETE
469,0.9999785449162178,2022-06-12 18:46:50.680297,2022-06-12 18:46:51.376471,0 days 00:00:00.696174,1.9988583671881412,8279071,random,0.022185121372096227,COMPLETE
770,0.9999785449162178,2022-06-12 18:50:50.857585,2022-06-12 18:50:51.606825,0 days 00:00:00.749240,1.9997266177924198,8226233,random,0.0262666376866753,COMPLETE
225,0.9999785449162178,2022-06-12 18:43:53.691347,2022-06-12 18:43:54.319475,0 days 00:00:00.628128,1.9999973318339654,7672221,random,0.024047886913456898,COMPLETE
484,0.9999785449162178,2022-06-12 18:47:03.018241,2022-06-12 18:47:03.683639,0 days 00:00:00.665398,1.9999195635948162,7908064,random,0.025746518968218057,COMPLETE
230,0.9999785449162178,2022-06-12 18:43:57.272422,2022-06-12 18:43:57.976979,0 days 00:00:00.704557,1.9991104124222123,7586753,random,0.02406451735272922,COMPLETE
231,0.9999785449162178,2022-06-12 18:43:57.977336,2022-06-12 18:43:58.859852,0 days 00:00:00.882516,1.9991028967083517,7787160,random,0.02421232622894442,COMPLETE
232,0.9999785449162178,2022-06-12 18:43:58.860128,2022-06-12 18:43:59.568487,0 days 00:00:00.708359,1.999904394317413,7544828,random,0.023645541095819036,COMPLETE
479,0.9999785449162178,2022-06-12 18:46:58.452502,2022-06-12 18:46:59.137889,0 days 00:00:00.685387,1.9992705247061893,7992912,random,0.02377606901965932,COMPLETE
793,0.9999785449162178,2022-06-12 18:51:09.540122,2022-06-12 18:51:10.621809,0 days 00:00:01.081687,1.999612829080486,8787472,random,0.02217852426854866,COMPLETE
476,0.9999785449162178,2022-06-12 18:46:56.004209,2022-06-12 18:46:56.690266,0 days 00:00:00.686057,1.9998836693530402,8397056,random,0.02530736820516469,COMPLETE
802,0.9999785449162178,2022-06-12 18:51:17.303179,2022-06-12 18:51:18.056558,0 days 00:00:00.753379,1.9998024395410157,8434934,random,0.025210560965733503,COMPLETE
744,0.9999785449162178,2022-06-12 18:50:29.180493,2022-06-12 18:50:30.263200,0 days 00:00:01.082707,1.9988318914605954,5762896,random,0.02385424020844403,COMPLETE
596,0.9999785449162178,2022-06-12 18:48:30.080578,2022-06-12 18:48:30.780208,0 days 00:00:00.699630,1.9988667200383603,8233203,random,0.025553575723592667,COMPLETE
815,0.9999785449162178,2022-06-12 18:51:27.960521,2022-06-12 18:51:28.719993,0 days 00:00:00.759472,1.9993309188525052,8505469,random,0.025871622119718277,COMPLETE
445,0.9999785449162178,2022-06-12 18:46:31.180090,2022-06-12 18:46:31.851638,0 days 00:00:00.671548,1.9987351707332863,8438205,random,0.024450559775461598,COMPLETE
443,0.9999785449162178,2022-06-12 18:46:29.778070,2022-06-12 18:46:30.489779,0 days 00:00:00.711709,1.9993174617099885,8459374,random,0.025654334784740888,COMPLETE
838,0.9999785449162178,2022-06-12 18:51:49.034814,2022-06-12 18:51:49.803746,0 days 00:00:00.768932,1.9994826837564725,8720895,random,0.025146837992098162,COMPLETE
438,0.9999785449162178,2022-06-12 18:46:25.405427,2022-06-12 18:46:26.136548,0 days 00:00:00.731121,1.9999816647697686,8692225,random,0.023210291490783918,COMPLETE
851,0.9999785449162178,2022-06-12 18:51:58.785567,2022-06-12 18:51:59.901746,0 days 00:00:01.116179,1.9990412967333866,7948594,random,0.023284748146862058,COMPLETE
261,0.9999785449162178,2022-06-12 18:44:19.153120,2022-06-12 18:44:19.732348,0 days 00:00:00.579228,1.9991334081699372,7296900,random,0.022078914831951103,COMPLETE
869,0.9999785449162178,2022-06-12 18:52:15.794966,2022-06-12 18:52:16.578153,0 days 00:00:00.783187,1.999737128265007,8403685,random,0.02391977759978326,COMPLETE
767,0.9999785449162178,2022-06-12 18:50:48.676645,2022-06-12 18:50:49.423942,0 days 00:00:00.747297,1.9996444780093776,7699736,random,0.023239425921469888,COMPLETE
217,0.9999785449162178,2022-06-12 18:43:48.688750,2022-06-12 18:43:49.299843,0 days 00:00:00.611093,1.9988652448833981,8409498,random,0.024923374369174404,COMPLETE
424,0.9999785449162178,2022-06-12 18:46:14.669051,2022-06-12 18:46:15.327284,0 days 00:00:00.658233,1.9993569529018758,8680917,random,0.023054365940870205,COMPLETE
183,0.9999785449162178,2022-06-12 18:43:27.388702,2022-06-12 18:43:27.998871,0 days 00:00:00.610169,1.999160603663635,9093191,random,0.026606878984322024,COMPLETE
