iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
897,0.9317470845734245,2022-06-12 18:23:04.815688,2022-06-12 18:23:05.551669,0 days 00:00:00.735981,0.23800232755492842,1235901,random,0.08698627763234176,COMPLETE
586,0.9317457612899878,2022-06-12 18:19:27.734491,2022-06-12 18:19:28.355464,0 days 00:00:00.620973,0.23664790219790405,2537613,random,0.08318361553588305,COMPLETE
519,0.9317457612899878,2022-06-12 18:18:44.476119,2022-06-12 18:18:45.086589,0 days 00:00:00.610470,0.23666190684127064,2042068,random,0.07763647949013572,COMPLETE
400,0.9317457612899878,2022-06-12 18:17:29.687382,2022-06-12 18:17:30.263325,0 days 00:00:00.575943,0.2368339834850397,1526977,random,0.06174473469892637,COMPLETE
274,0.9317457612899878,2022-06-12 18:16:16.339719,2022-06-12 18:16:16.889544,0 days 00:00:00.549825,0.23695399848812673,1739957,random,0.06985630031137173,COMPLETE
171,0.9317417914396776,2022-06-12 18:15:21.021547,2022-06-12 18:15:21.541572,0 days 00:00:00.520025,0.2357377081118048,615690,random,0.08240234201995375,COMPLETE
348,0.9317392545387834,2022-06-12 18:16:58.956505,2022-06-12 18:16:59.532142,0 days 00:00:00.575637,0.23825204701932934,1633934,random,0.06427832743191704,COMPLETE
81,0.9317391448728042,2022-06-12 18:14:33.476315,2022-06-12 18:14:33.940255,0 days 00:00:00.463940,0.2356620031350805,1542022,random,0.0846415949389534,COMPLETE
896,0.9317379312553468,2022-06-12 18:23:04.070442,2022-06-12 18:23:04.815008,0 days 00:00:00.744566,0.23771357385264907,1347523,random,0.09089132553072632,COMPLETE
963,0.9317379312553468,2022-06-12 18:23:54.594381,2022-06-12 18:23:55.340585,0 days 00:00:00.746204,0.23736055283184507,1614764,random,0.08245212035718069,COMPLETE
636,0.9317379312553468,2022-06-12 18:19:59.846881,2022-06-12 18:20:00.464370,0 days 00:00:00.617489,0.23764244115061986,2399379,random,0.07219246977774124,COMPLETE
251,0.9317379312553468,2022-06-12 18:16:03.613829,2022-06-12 18:16:04.137280,0 days 00:00:00.523451,0.237355498344326,1811384,random,0.06805225387942512,COMPLETE
649,0.9317379312553468,2022-06-12 18:20:08.222345,2022-06-12 18:20:08.828206,0 days 00:00:00.605861,0.23813011318648492,2065848,random,0.09992699642620753,COMPLETE
202,0.93173660797191,2022-06-12 18:15:37.101484,2022-06-12 18:15:37.608762,0 days 00:00:00.507278,0.23654308865813836,677752,random,0.07415403395824341,COMPLETE
62,0.93173660797191,2022-06-12 18:14:24.204510,2022-06-12 18:14:24.679831,0 days 00:00:00.475321,0.23701427613797016,4485477,random,0.07647704080736176,COMPLETE
815,0.9317352846884733,2022-06-12 18:22:00.641547,2022-06-12 18:22:01.399654,0 days 00:00:00.758107,0.23619071651457704,1527012,random,0.08566274022009368,COMPLETE
531,0.9317352846884733,2022-06-12 18:18:52.008828,2022-06-12 18:18:52.666425,0 days 00:00:00.657597,0.23646582628109106,1597824,random,0.07914878036985146,COMPLETE
517,0.9317352846884733,2022-06-12 18:18:43.295508,2022-06-12 18:18:43.906429,0 days 00:00:00.610921,0.23601337163059563,1831730,random,0.07704555871763863,COMPLETE
217,0.9317314245041424,2022-06-12 18:15:45.090310,2022-06-12 18:15:45.613676,0 days 00:00:00.523366,0.23857681244478535,1531031,random,0.08345549954658274,COMPLETE
585,0.9317314245041424,2022-06-12 18:19:27.080137,2022-06-12 18:19:27.734012,0 days 00:00:00.653875,0.2386348115151784,1701138,random,0.08029640098564371,COMPLETE
472,0.9317309858402252,2022-06-12 18:18:14.644313,2022-06-12 18:18:15.264691,0 days 00:00:00.620378,0.2254523666622917,1606183,random,0.08839640943908576,COMPLETE
322,0.9317299915547264,2022-06-12 18:16:43.793116,2022-06-12 18:16:44.515128,0 days 00:00:00.722012,0.23559800753737906,2993904,random,0.06622472726277123,COMPLETE
669,0.9317208382366486,2022-06-12 18:20:20.805017,2022-06-12 18:20:21.406130,0 days 00:00:00.601113,0.2354434595974247,2167727,random,0.09995069377533461,COMPLETE
910,0.9317140024875065,2022-06-12 18:23:14.723333,2022-06-12 18:23:15.613138,0 days 00:00:00.889805,0.22612628920568398,1223169,random,0.08778823475585572,COMPLETE
136,0.9317140024875065,2022-06-12 18:15:03.108207,2022-06-12 18:15:03.616107,0 days 00:00:00.507900,0.22641007544239228,4775743,random,0.08001150107741786,COMPLETE
650,0.9317140024875065,2022-06-12 18:20:08.828745,2022-06-12 18:20:09.453974,0 days 00:00:00.625229,0.22609124634338226,2976169,random,0.09984448658476973,COMPLETE
461,0.9317140024875065,2022-06-12 18:18:08.014570,2022-06-12 18:18:08.627276,0 days 00:00:00.612706,0.22675181983285222,2014638,random,0.07031338063920288,COMPLETE
101,0.9317140024875065,2022-06-12 18:14:43.565804,2022-06-12 18:14:44.193354,0 days 00:00:00.627550,0.22619352564157952,5246193,random,0.09995523864557393,COMPLETE
51,0.9317131178679868,2022-06-12 18:14:18.909326,2022-06-12 18:14:19.339896,0 days 00:00:00.430570,0.23876711232066272,3217343,random,0.09743235507301166,COMPLETE
811,0.9317126792040696,2022-06-12 18:21:57.174555,2022-06-12 18:21:58.028730,0 days 00:00:00.854175,0.22576892301903564,1959500,random,0.09202260792868551,COMPLETE
751,0.9317126792040696,2022-06-12 18:21:15.870728,2022-06-12 18:21:16.862874,0 days 00:00:00.992146,0.226303416354353,9973192,random,0.09812918498672323,COMPLETE
638,0.9317126792040696,2022-06-12 18:20:01.083770,2022-06-12 18:20:01.711965,0 days 00:00:00.628195,0.22566145469405413,2691495,random,0.09686951563384989,COMPLETE
172,0.9317048491694285,2022-06-12 18:15:21.541811,2022-06-12 18:15:22.063646,0 days 00:00:00.521835,0.226054717144333,739037,random,0.08316728987511263,COMPLETE
415,0.9317038548839297,2022-06-12 18:17:39.340835,2022-06-12 18:17:39.939507,0 days 00:00:00.598672,0.2348625027171201,4581160,random,0.06418834727012875,COMPLETE
71,0.9317027509324515,2022-06-12 18:14:28.607609,2022-06-12 18:14:29.085415,0 days 00:00:00.477806,0.24008867001785536,2056689,random,0.07311523486146451,COMPLETE
972,0.9317027509324515,2022-06-12 18:24:01.375570,2022-06-12 18:24:02.091936,0 days 00:00:00.716366,0.24001832128390665,1614956,random,0.08117186488925904,COMPLETE
349,0.931702531600493,2022-06-12 18:16:59.532479,2022-06-12 18:17:00.107484,0 days 00:00:00.575005,0.23504965162973154,1560511,random,0.06471026513028678,COMPLETE
470,0.931702531600493,2022-06-12 18:18:13.414262,2022-06-12 18:18:14.010401,0 days 00:00:00.596139,0.23502360359103613,1653808,random,0.07048069249444323,COMPLETE
240,0.931702531600493,2022-06-12 18:15:57.412328,2022-06-12 18:15:57.939956,0 days 00:00:00.527628,0.23515920440370033,1627734,random,0.07135668661377872,COMPLETE
244,0.931702531600493,2022-06-12 18:15:59.862865,2022-06-12 18:16:00.382063,0 days 00:00:00.519198,0.2351706393984124,1970080,random,0.07190533908280097,COMPLETE
123,0.931702531600493,2022-06-12 18:14:56.438702,2022-06-12 18:14:57.028122,0 days 00:00:00.589420,0.23518415522281,1395939,random,0.07729012056427242,COMPLETE
