iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
946,0.9817788195023632,2022-06-12 17:05:13.253082,2022-06-12 17:05:14.019029,0 days 00:00:00.765947,0.6012354699405421,4747176,random,0.09994179786230611,COMPLETE
999,0.9817740451854503,2022-06-12 17:05:58.600381,2022-06-12 17:05:59.388202,0 days 00:00:00.787821,0.5969502588499723,4929519,random,0.09636664054571271,COMPLETE
982,0.9817738814367523,2022-06-12 17:05:43.601777,2022-06-12 17:05:44.390236,0 days 00:00:00.788459,0.598962293310108,4481926,random,0.0981511976790966,COMPLETE
964,0.9817720674196974,2022-06-12 17:05:28.768528,2022-06-12 17:05:29.547665,0 days 00:00:00.779137,0.5872961078621943,4550603,random,0.09569412864256713,COMPLETE
912,0.9817719036682145,2022-06-12 17:04:44.929860,2022-06-12 17:04:45.690873,0 days 00:00:00.761013,0.5897435685127377,4452628,random,0.09995294344393071,COMPLETE
928,0.9817715761428547,2022-06-12 17:04:57.909828,2022-06-12 17:04:58.679255,0 days 00:00:00.769427,0.597151722774609,4608590,random,0.09797200283147771,COMPLETE
934,0.9817715761428547,2022-06-12 17:05:03.207939,2022-06-12 17:05:03.970967,0 days 00:00:00.763028,0.598093845687016,4577312,random,0.09766147060782238,COMPLETE
919,0.9817695984293241,2022-06-12 17:04:50.557945,2022-06-12 17:04:51.327850,0 days 00:00:00.769905,0.5889019071395203,4454016,random,0.09806023063514221,COMPLETE
940,0.9817695984293241,2022-06-12 17:05:08.273398,2022-06-12 17:05:09.314390,0 days 00:00:01.040992,0.586944542159298,4445781,random,0.09662865124207437,COMPLETE
993,0.9817694346526639,2022-06-12 17:05:53.284015,2022-06-12 17:05:54.063238,0 days 00:00:00.779223,0.5892453779231684,4638257,random,0.09472275490387332,COMPLETE
923,0.9817692708685376,2022-06-12 17:04:53.865808,2022-06-12 17:04:54.639044,0 days 00:00:00.773236,0.5959705663863109,4014751,random,0.0978697705426129,COMPLETE
927,0.9817669656138006,2022-06-12 17:04:57.134248,2022-06-12 17:04:57.909171,0 days 00:00:00.774923,0.5940034823627507,4373669,random,0.09803322273399621,COMPLETE
932,0.9817669656138006,2022-06-12 17:05:01.543421,2022-06-12 17:05:02.310750,0 days 00:00:00.767329,0.5901629478528474,4436133,random,0.09739133520103752,COMPLETE
950,0.9817669656138006,2022-06-12 17:05:16.583247,2022-06-12 17:05:17.361394,0 days 00:00:00.778147,0.5901006087089633,4556112,random,0.09812372613136339,COMPLETE
995,0.981766801804495,2022-06-12 17:05:54.979206,2022-06-12 17:05:55.764836,0 days 00:00:00.785630,0.595443755013018,4927660,random,0.09463958419830806,COMPLETE
883,0.9817646482052951,2022-06-12 17:04:22.354425,2022-06-12 17:04:23.118152,0 days 00:00:00.763727,0.5653055414864456,5066595,random,0.09721209476633444,COMPLETE
989,0.981764496551625,2022-06-12 17:05:49.871691,2022-06-12 17:05:50.649196,0 days 00:00:00.777505,0.5914599849986615,4398804,random,0.09811583563868986,COMPLETE
957,0.981764496551625,2022-06-12 17:05:22.829813,2022-06-12 17:05:23.602716,0 days 00:00:00.772903,0.5914790022327873,4532845,random,0.09996648731433948,COMPLETE
952,0.981764496551625,2022-06-12 17:05:18.553532,2022-06-12 17:05:19.301766,0 days 00:00:00.748234,0.5942665551325925,4771716,random,0.09998538838494143,COMPLETE
910,0.9817639804258778,2022-06-12 17:04:43.408683,2022-06-12 17:04:44.163544,0 days 00:00:00.754861,0.5519539502355479,4367490,random,0.09989591449646244,COMPLETE
890,0.9817628344861236,2022-06-12 17:04:27.691342,2022-06-12 17:04:28.452186,0 days 00:00:00.760844,0.5574493185760775,4365437,random,0.09904562915526219,COMPLETE
