iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
568,0.9193135215657289,2022-07-03 01:14:39.251349,2022-07-03 01:14:43.607733,0 days 00:00:04.356384,9.5,0.3463658367799553,498,7486185,l1,0.006343387173651861,COMPLETE
575,0.9191785256522218,2022-07-03 01:14:59.486338,2022-07-03 01:15:20.540681,0 days 00:00:21.054343,9.0,0.24462554829303357,390,9957017,l1,0.001692809662382476,COMPLETE
392,0.9189564243309346,2022-07-03 01:07:00.713694,2022-07-03 01:07:03.617874,0 days 00:00:02.904180,9.1,0.3980199588901452,73,40806026,l1,0.005522768638032844,COMPLETE
540,0.9186684767407591,2022-07-03 01:13:08.783495,2022-07-03 01:13:31.134068,0 days 00:00:22.350573,10.0,0.24587599377810443,409,8197674,l1,0.0020872407631538346,COMPLETE
922,0.9184104802207098,2022-07-03 01:30:26.414896,2022-07-03 01:30:40.200314,0 days 00:00:13.785418,9.4,0.342963095430613,408,5831884,l1,6.201511078537327e-05,COMPLETE
647,0.9160286050395382,2022-07-03 01:18:28.240152,2022-07-03 01:18:32.545047,0 days 00:00:04.304895,6.2,0.2238949888052867,483,18086241,l1,0.003674715952385481,COMPLETE
950,0.9156243024267455,2022-07-03 01:31:43.851903,2022-07-03 01:31:46.944278,0 days 00:00:03.092375,9.0,0.35024262166761994,417,4047942,l1,0.011817917857738005,COMPLETE
336,0.9154638549701701,2022-07-03 01:04:58.639323,2022-07-03 01:05:03.782550,0 days 00:00:05.143227,9.0,0.44299621891110147,60,5901608,l1,0.008332515544773449,COMPLETE
870,0.9151811841861803,2022-07-03 01:28:08.553432,2022-07-03 01:28:11.893142,0 days 00:00:03.339710,10.0,0.24573251060093676,475,8036555,l1,0.0058714787267891404,COMPLETE
743,0.9148138891781069,2022-07-03 01:22:34.126456,2022-07-03 01:22:36.952779,0 days 00:00:02.826323,8.2,0.3705275619410788,371,10171630,l1,0.005807732850906882,COMPLETE
765,0.9144661823744025,2022-07-03 01:23:28.095344,2022-07-03 01:23:40.055535,0 days 00:00:11.960191,9.5,0.4019676778338353,341,9769357,l1,0.0040258184620929095,COMPLETE
581,0.9142287356890986,2022-07-03 01:15:35.169027,2022-07-03 01:15:38.888606,0 days 00:00:03.719579,8.9,0.3223393149163212,343,7920047,l1,3.505166270027001e-05,COMPLETE
373,0.9136442466155558,2022-07-03 01:06:18.344697,2022-07-03 01:06:20.887066,0 days 00:00:02.542369,8.9,0.36869696056900525,50,7180892,l1,0.011110009070881237,COMPLETE
492,0.9112385400747395,2022-07-03 01:10:59.449865,2022-07-03 01:11:03.199165,0 days 00:00:03.749300,8.9,0.41323247107776634,397,9364942,l1,0.003011606922909871,COMPLETE
530,0.9106647825210017,2022-07-03 01:12:42.937938,2022-07-03 01:12:46.646785,0 days 00:00:03.708847,9.5,0.24509260846027314,376,8658708,l1,0.0019775367371717024,COMPLETE
514,0.9105288506554788,2022-07-03 01:11:55.939998,2022-07-03 01:12:06.749768,0 days 00:00:10.809770,9.5,0.3199548556747432,365,10993831,l1,0.00026451474488294697,COMPLETE
629,0.9102254891691341,2022-07-03 01:17:41.348291,2022-07-03 01:17:48.170613,0 days 00:00:06.822322,7.0,0.39929395456008837,483,7635047,l1,0.003179430325797115,COMPLETE
985,0.9084061934848962,2022-07-03 01:33:05.878375,2022-07-03 01:33:11.561986,0 days 00:00:05.683611,8.9,0.3401563629266713,418,9185697,l1,0.022796892120709473,COMPLETE
884,0.9083272946388864,2022-07-03 01:28:47.433660,2022-07-03 01:28:51.661881,0 days 00:00:04.228221,9.8,0.32697947756613865,492,9261052,l1,2.302929406836553e-05,COMPLETE
895,0.9069630850796274,2022-07-03 01:29:15.335290,2022-07-03 01:29:19.167574,0 days 00:00:03.832284,9.8,0.31165670977413074,475,3201401,l1,0.0017788721678307436,COMPLETE
829,0.9069249289012223,2022-07-03 01:26:28.611023,2022-07-03 01:26:32.363534,0 days 00:00:03.752511,8.1,0.4458838040535401,454,6686605,l1,5.372201941979838e-05,COMPLETE
544,0.9064163278132449,2022-07-03 01:13:38.928946,2022-07-03 01:13:44.114334,0 days 00:00:05.185388,5.1,0.22903805945648983,207,9198145,l1,0.00012230325504288247,COMPLETE
361,0.9061489332797221,2022-07-03 01:05:52.776776,2022-07-03 01:05:55.474994,0 days 00:00:02.698218,9.3,0.4368008450947695,68,8040504,l1,0.006618698223415485,COMPLETE
717,0.9057679346754137,2022-07-03 01:21:14.472374,2022-07-03 01:21:34.984090,0 days 00:00:20.511716,4.8,0.16440798991073796,491,23051153,l1,0.002125070781144002,COMPLETE
856,0.9052293481179966,2022-07-03 01:27:35.908840,2022-07-03 01:27:39.717009,0 days 00:00:03.808169,9.8,0.20522160381634247,482,7941265,l1,0.0071918149062896375,COMPLETE
893,0.9045288297978672,2022-07-03 01:29:09.719617,2022-07-03 01:29:12.920039,0 days 00:00:03.200422,9.6,0.3103665818513864,481,4251156,l1,0.0016749501896578512,COMPLETE
420,0.9029921179787913,2022-07-03 01:08:03.093496,2022-07-03 01:08:12.926069,0 days 00:00:09.832573,8.8,0.4407996920143441,421,44485294,l1,0.00011987793650275903,COMPLETE
528,0.9025740919538214,2022-07-03 01:12:39.493378,2022-07-03 01:12:42.276143,0 days 00:00:02.782765,9.2,0.2521801832982004,373,9463823,l1,0.000210287293207944,COMPLETE
651,0.9019147150184057,2022-07-03 01:18:39.387855,2022-07-03 01:18:43.634919,0 days 00:00:04.247064,7.5,0.20937261660200482,482,9693468,l1,6.773665799529339e-05,COMPLETE
617,0.9014343575833794,2022-07-03 01:17:10.771806,2022-07-03 01:17:16.885455,0 days 00:00:06.113649,7.2,0.3907111515763658,485,6769690,l1,0.005745700364117338,COMPLETE
