iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
450,0.9330856080928891,2022-07-02 23:42:17.587332,2022-07-02 23:42:19.402889,0 days 00:00:01.815557,9.3,0.18712358156597161,323.0,27718225.0,l1,0.036286854944619584,COMPLETE
480,0.9330856080928891,2022-07-02 23:43:14.242655,2022-07-02 23:43:15.832700,0 days 00:00:01.590045,9.700000000000001,0.1379165318770469,333.0,28442970.0,l1,0.03632496582909262,COMPLETE
422,0.9330856080928891,2022-07-02 23:41:33.996525,2022-07-02 23:41:35.549249,0 days 00:00:01.552724,9.4,0.47559430091436905,259.0,7380866.0,l1,0.03597212055165468,COMPLETE
859,0.9330856080928891,2022-07-02 23:54:33.467964,2022-07-02 23:54:35.230420,0 days 00:00:01.762456,9.4,0.02256922551589237,116.0,34350285.0,l1,0.03616409275107133,COMPLETE
447,0.9330856080928891,2022-07-02 23:42:12.897717,2022-07-02 23:42:14.466022,0 days 00:00:01.568305,9.3,0.11554274880964394,308.0,45792791.0,l1,0.036346088246912246,COMPLETE
449,0.9330856080928891,2022-07-02 23:42:16.020199,2022-07-02 23:42:17.586851,0 days 00:00:01.566652,9.3,0.16714760028184883,314.0,28481676.0,l1,0.03697566433274581,COMPLETE
124,0.9330856080928891,2022-07-02 23:33:43.980295,2022-07-02 23:33:45.400846,0 days 00:00:01.420551,6.4,0.9873827946567323,79.0,15536062.0,l1,0.03671495015853522,COMPLETE
457,0.9330856080928891,2022-07-02 23:42:37.495632,2022-07-02 23:42:39.077499,0 days 00:00:01.581867,9.4,0.5231690597693776,308.0,28352875.0,l1,0.03702037538830508,COMPLETE
483,0.9330856080928891,2022-07-02 23:43:18.067144,2022-07-02 23:43:19.652589,0 days 00:00:01.585445,9.4,0.14523296955757575,328.0,25979589.0,l1,0.03695946843685639,COMPLETE
577,0.9330856080928891,2022-07-02 23:45:58.792975,2022-07-02 23:46:00.421850,0 days 00:00:01.628875,9.6,0.12344334766175345,322.0,43679131.0,l1,0.03699505403496545,COMPLETE
841,0.9330856080928891,2022-07-02 23:53:59.522076,2022-07-02 23:54:01.248073,0 days 00:00:01.725997,9.6,0.09811047225337406,372.0,40291958.0,l1,0.036757588587942674,COMPLETE
493,0.9330856080928891,2022-07-02 23:43:35.432485,2022-07-02 23:43:37.024623,0 days 00:00:01.592138,9.4,0.16010189066657676,321.0,26032692.0,l1,0.03607719377357375,COMPLETE
840,0.9330856080928891,2022-07-02 23:53:57.469450,2022-07-02 23:53:59.521281,0 days 00:00:02.051831,9.4,0.13822698138905357,225.0,39547820.0,l1,0.03667858856345422,COMPLETE
