iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
1254,0.9028649885583524,2022-07-03 00:39:53.555918,2022-07-03 00:39:55.544421,0 days 00:00:01.988503,1.6,0.29951502759835824,409.0,49943400.0,l1,0.06724929957145385,COMPLETE
1270,0.9028649885583524,2022-07-03 00:40:25.472584,2022-07-03 00:40:27.455659,0 days 00:00:01.983075,1.2000000000000002,0.3447775985440319,393.0,46782386.0,l1,0.06775314700960988,COMPLETE
1085,0.9028649885583524,2022-07-03 00:34:19.652628,2022-07-03 00:34:21.550393,0 days 00:00:01.897765,1.2000000000000002,0.3875621536879695,400.0,43827874.0,l1,0.07235387875883004,COMPLETE
1083,0.9028649885583524,2022-07-03 00:34:15.859460,2022-07-03 00:34:17.761877,0 days 00:00:01.902417,1.6,0.37297683754053484,389.0,46760840.0,l1,0.07000003062558305,COMPLETE
1202,0.9028649885583524,2022-07-03 00:38:06.228476,2022-07-03 00:38:08.498345,0 days 00:00:02.269869,1.6,0.3361108308476089,392.0,42813500.0,l1,0.07148864679642747,COMPLETE
1073,0.9028649885583524,2022-07-03 00:33:56.277264,2022-07-03 00:33:58.175747,0 days 00:00:01.898483,1.6,0.41073089988238415,384.0,47953707.0,l1,0.07053344621600201,COMPLETE
1070,0.9028649885583524,2022-07-03 00:33:51.167902,2022-07-03 00:33:53.373676,0 days 00:00:02.205774,1.6,0.418697993191215,370.0,45459861.0,l1,0.0709891794739016,COMPLETE
1209,0.9028649885583524,2022-07-03 00:38:19.653587,2022-07-03 00:38:21.616464,0 days 00:00:01.962877,1.6,0.2920467528812952,394.0,49934436.0,l1,0.06849384717426965,COMPLETE
1060,0.9028649885583524,2022-07-03 00:33:32.821610,2022-07-03 00:33:34.723767,0 days 00:00:01.902157,1.2000000000000002,0.3549371876050879,386.0,46152558.0,l1,0.0715490490924905,COMPLETE
879,0.9028649885583524,2022-07-03 00:28:02.214235,2022-07-03 00:28:04.016741,0 days 00:00:01.802506,1.6,0.7027703426919263,157.0,32387168.0,l1,0.06691897309554735,COMPLETE
