iteration,recall,datetime_start,datetime_complete,duration,alpha,solver,state
0,0.8325675057208238,2022-06-12 15:52:11.337536,2022-06-12 15:52:11.778718,0 days 00:00:00.441182,5.889668556520857,eig,COMPLETE
274,0.8325675057208238,2022-06-12 15:55:55.463427,2022-06-12 15:55:55.998316,0 days 00:00:00.534889,6.913691288485374,eig,COMPLETE
880,0.8325675057208238,2022-06-12 16:05:18.306408,2022-06-12 16:05:18.942444,0 days 00:00:00.636036,6.233208913596147,eig,COMPLETE
130,0.8325675057208238,2022-06-12 15:53:53.591670,2022-06-12 15:53:54.073992,0 days 00:00:00.482322,0.1869447287055528,eig,COMPLETE
413,0.8325675057208238,2022-06-12 15:58:00.725022,2022-06-12 15:58:01.272317,0 days 00:00:00.547295,6.672994788726884,eig,COMPLETE
610,0.8325675057208238,2022-06-12 16:00:59.279723,2022-06-12 16:00:59.866509,0 days 00:00:00.586786,6.8272572350232,eig,COMPLETE
899,0.8325675057208238,2022-06-12 16:05:37.025240,2022-06-12 16:05:37.906815,0 days 00:00:00.881575,7.331915170235459,eig,COMPLETE
109,0.8325675057208238,2022-06-12 15:53:36.571144,2022-06-12 15:53:37.050492,0 days 00:00:00.479348,9.829442760752979,eig,COMPLETE
432,0.8325675057208238,2022-06-12 15:58:17.531551,2022-06-12 15:58:18.085018,0 days 00:00:00.553467,9.658937611090224,eig,COMPLETE
629,0.8325675057208238,2022-06-12 16:01:17.126264,2022-06-12 16:01:17.719168,0 days 00:00:00.592904,7.538877812818503,eig,COMPLETE
590,0.8325675057208238,2022-06-12 16:00:40.677452,2022-06-12 16:00:41.254733,0 days 00:00:00.577281,4.059499960203966,eig,COMPLETE
90,0.8325675057208238,2022-06-12 15:53:21.233976,2022-06-12 15:53:21.710924,0 days 00:00:00.476948,8.601642519656647,eig,COMPLETE
78,0.8325675057208238,2022-06-12 15:53:11.719290,2022-06-12 15:53:12.156407,0 days 00:00:00.437117,1.1365591733926808,eig,COMPLETE
575,0.8325675057208238,2022-06-12 16:00:27.206417,2022-06-12 16:00:27.775903,0 days 00:00:00.569486,4.265285555579245,eig,COMPLETE
453,0.8325675057208238,2022-06-12 15:58:36.441707,2022-06-12 15:58:37.000543,0 days 00:00:00.558836,9.204860288427357,eig,COMPLETE
