iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
49,0.9193592677345538,2022-06-28 22:34:15.801265,2022-06-28 22:34:17.383422,0 days 00:00:01.582157,4.2,0.0001896396814242061,0.014522372323776386,14.0,148.0,squared_hinge,2447829.0,False,l1,COMPLETE
73,0.9193592677345538,2022-06-28 22:34:45.645775,2022-06-28 22:34:47.025270,0 days 00:00:01.379495,8.9,0.0008878258121084153,0.06633821848359292,5.0,4707.0,squared_hinge,5977621.0,True,l1,COMPLETE
71,0.9193592677345538,2022-06-28 22:34:42.957044,2022-06-28 22:34:44.570164,0 days 00:00:01.613120,8.9,0.0008886515713147074,0.05023103974011081,17.0,2228.0,squared_hinge,6153491.0,True,l1,COMPLETE
69,0.9193592677345538,2022-06-28 22:34:40.466733,2022-06-28 22:34:41.658487,0 days 00:00:01.191754,7.4,0.0007343493053383915,0.049617762559061265,19.0,2890.0,squared_hinge,3388921.0,True,l1,COMPLETE
68,0.9193592677345538,2022-06-28 22:34:39.181116,2022-06-28 22:34:40.466574,0 days 00:00:01.285458,7.4,0.00073095002546812,0.0044031147608299855,19.0,2818.0,squared_hinge,2724062.0,True,l1,COMPLETE
66,0.9193592677345538,2022-06-28 22:34:37.291235,2022-06-28 22:34:38.549869,0 days 00:00:01.258634,1.8000000000000003,0.000827506389528197,0.02798503832142694,13.0,4147.0,squared_hinge,3995974.0,True,l1,COMPLETE
65,0.9193592677345538,2022-06-28 22:34:36.117958,2022-06-28 22:34:37.291046,0 days 00:00:01.173088,0.8,0.0009414218490194506,0.021127437326975224,8.0,4988.0,squared_hinge,4520413.0,True,l1,COMPLETE
64,0.9193592677345538,2022-06-28 22:34:34.848057,2022-06-28 22:34:36.117806,0 days 00:00:01.269749,1.7000000000000002,0.0007978331373822048,0.05600322617469553,7.0,3286.0,squared_hinge,4074724.0,True,l1,COMPLETE
63,0.9193592677345538,2022-06-28 22:34:33.619146,2022-06-28 22:34:34.847818,0 days 00:00:01.228672,3.2,0.0009473374895315018,0.021889366701149215,6.0,4463.0,squared_hinge,2879909.0,True,l1,COMPLETE
62,0.9193592677345538,2022-06-28 22:34:32.436468,2022-06-28 22:34:33.618986,0 days 00:00:01.182518,1.9000000000000001,0.0001796667212221581,0.05412608245330419,7.0,3217.0,squared_hinge,3800065.0,True,l1,COMPLETE
61,0.9193592677345538,2022-06-28 22:34:31.246556,2022-06-28 22:34:32.436271,0 days 00:00:01.189715,3.3000000000000003,0.00093539215759097,0.03129693938579662,6.0,4587.0,squared_hinge,3345825.0,True,l1,COMPLETE
60,0.9193592677345538,2022-06-28 22:34:29.945485,2022-06-28 22:34:31.246388,0 days 00:00:01.300903,7.4,0.00028026001148002765,0.04649076989590873,17.0,1055.0,squared_hinge,2216648.0,True,l1,COMPLETE
59,0.9193592677345538,2022-06-28 22:34:28.666566,2022-06-28 22:34:29.945304,0 days 00:00:01.278738,5.0,0.0002863917211552812,0.045102402704338906,17.0,864.0,squared_hinge,2298105.0,True,l1,COMPLETE
57,0.9193592677345538,2022-06-28 22:34:26.301790,2022-06-28 22:34:27.547468,0 days 00:00:01.245678,5.1,0.00033823086236781704,0.012143297590551442,19.0,1885.0,squared_hinge,1917898.0,True,l1,COMPLETE
56,0.9193592677345538,2022-06-28 22:34:25.141680,2022-06-28 22:34:26.301627,0 days 00:00:01.159947,8.3,0.00041295407349566397,0.06032113566172244,9.0,9659.0,squared_hinge,4609653.0,True,l1,COMPLETE
55,0.9193592677345538,2022-06-28 22:34:23.876152,2022-06-28 22:34:25.141518,0 days 00:00:01.265366,5.5,0.0003361249401175683,0.009552187774424674,19.0,2022.0,squared_hinge,1598363.0,True,l1,COMPLETE
54,0.9193592677345538,2022-06-28 22:34:22.498698,2022-06-28 22:34:23.875983,0 days 00:00:01.377285,8.1,0.00039140622894141017,0.038276253940651886,13.0,2644.0,squared_hinge,728907.0,True,l1,COMPLETE
53,0.9193592677345538,2022-06-28 22:34:21.212179,2022-06-28 22:34:22.498539,0 days 00:00:01.286360,7.9,0.00038730648266843725,0.007165051001107547,14.0,2593.0,squared_hinge,1331886.0,True,l1,COMPLETE
52,0.9193592677345538,2022-06-28 22:34:19.960831,2022-06-28 22:34:21.212004,0 days 00:00:01.251173,7.9,0.0002780508789850001,0.04374783472507325,12.0,2392.0,squared_hinge,1335119.0,True,l1,COMPLETE
51,0.9193592677345538,2022-06-28 22:34:18.771152,2022-06-28 22:34:19.960629,0 days 00:00:01.189477,4.3999999999999995,0.00011942696852030983,0.008447360280781517,14.0,1868.0,squared_hinge,1276077.0,True,l1,COMPLETE
50,0.9193592677345538,2022-06-28 22:34:17.383563,2022-06-28 22:34:18.770967,0 days 00:00:01.387404,7.4,0.0002542326649149765,0.02236924559240571,12.0,3535.0,squared_hinge,1466384.0,True,l1,COMPLETE
72,0.9193592677345538,2022-06-28 22:34:44.570324,2022-06-28 22:34:45.645599,0 days 00:00:01.075275,6.7,0.0006466929606352821,0.0991723211802111,16.0,4051.0,squared_hinge,5031083.0,False,l1,COMPLETE
74,0.9193592677345538,2022-06-28 22:34:47.025438,2022-06-28 22:34:48.258352,0 days 00:00:01.232914,2.0,0.0009082518371453492,0.07045716029396795,5.0,4681.0,squared_hinge,6490765.0,True,l1,COMPLETE
45,0.9193592677345538,2022-06-28 22:34:11.511312,2022-06-28 22:34:12.792815,0 days 00:00:01.281503,2.3000000000000003,7.051783720064787e-05,0.01699723062157492,11.0,466.0,squared_hinge,553672.0,False,l1,COMPLETE
75,0.9193592677345538,2022-06-28 22:34:48.258508,2022-06-28 22:34:49.598597,0 days 00:00:01.340089,2.1,0.0008665954364112601,0.08169056022595828,5.0,4526.0,squared_hinge,5779289.0,True,l1,COMPLETE
97,0.9193592677345538,2022-06-28 22:35:15.212384,2022-06-28 22:35:16.539329,0 days 00:00:01.326945,8.0,0.0002222458649590033,0.04777960340494823,18.0,2338.0,squared_hinge,2011990.0,True,l1,COMPLETE
96,0.9193592677345538,2022-06-28 22:35:13.993087,2022-06-28 22:35:15.212186,0 days 00:00:01.219099,7.9,0.00021420566282371177,0.014109621144414653,12.0,3443.0,squared_hinge,1395933.0,False,l1,COMPLETE
95,0.9193592677345538,2022-06-28 22:35:12.773444,2022-06-28 22:35:13.992891,0 days 00:00:01.219447,8.5,0.0005776435507146749,0.03418927198629843,10.0,3607.0,squared_hinge,1037752.0,False,l1,COMPLETE
94,0.9193592677345538,2022-06-28 22:35:11.640527,2022-06-28 22:35:12.773266,0 days 00:00:01.132739,5.8,0.0009422159192705201,0.059054710822101404,7.0,3286.0,squared_hinge,4350625.0,True,l1,COMPLETE
93,0.9193592677345538,2022-06-28 22:35:10.390693,2022-06-28 22:35:11.640357,0 days 00:00:01.249664,3.5000000000000004,0.0005467115072068633,0.03359202082401937,20.0,1709.0,squared_hinge,3744019.0,True,l1,COMPLETE
92,0.9193592677345538,2022-06-28 22:35:09.194908,2022-06-28 22:35:10.390511,0 days 00:00:01.195603,4.6,6.012170538730357e-05,0.045899693562367956,6.0,1518.0,squared_hinge,2220081.0,True,l1,COMPLETE
91,0.9193592677345538,2022-06-28 22:35:07.614491,2022-06-28 22:35:09.194738,0 days 00:00:01.580247,3.2,0.0003102360205113927,0.05300381748096318,6.0,476.0,squared_hinge,2556417.0,True,l1,COMPLETE
90,0.9193592677345538,2022-06-28 22:35:06.327169,2022-06-28 22:35:07.614302,0 days 00:00:01.287133,4.2,0.00017094359150632114,0.015647405916942435,14.0,2667.0,squared_hinge,516473.0,False,l1,COMPLETE
87,0.9193592677345538,2022-06-28 22:35:02.879156,2022-06-28 22:35:04.458845,0 days 00:00:01.579689,5.1,0.00038238683734803707,0.0466276944750032,19.0,8436.0,squared_hinge,2283370.0,True,l1,COMPLETE
86,0.9193592677345538,2022-06-28 22:35:01.391466,2022-06-28 22:35:02.878924,0 days 00:00:01.487458,5.9,0.00033609121462499476,0.031172664235573435,20.0,897.0,squared_hinge,1708287.0,True,l1,COMPLETE
85,0.9193592677345538,2022-06-28 22:35:00.197083,2022-06-28 22:35:01.391301,0 days 00:00:01.194218,4.9,0.0004267543117972186,0.040541355058441655,17.0,928.0,squared_hinge,1171164.0,True,l1,COMPLETE
84,0.9193592677345538,2022-06-28 22:34:58.978461,2022-06-28 22:35:00.196908,0 days 00:00:01.218447,7.1,0.0004004596970816493,0.009393421738190761,12.0,3340.0,squared_hinge,847356.0,True,l1,COMPLETE
83,0.9193592677345538,2022-06-28 22:34:57.735235,2022-06-28 22:34:58.978249,0 days 00:00:01.243014,7.8,0.00033479945265900527,0.03652789331862416,13.0,2464.0,squared_hinge,1376282.0,True,l1,COMPLETE
82,0.9193592677345538,2022-06-28 22:34:56.458708,2022-06-28 22:34:57.735024,0 days 00:00:01.276316,8.1,0.00036014946528388904,0.00850436040146196,14.0,1883.0,squared_hinge,1542153.0,True,l1,COMPLETE
81,0.9193592677345538,2022-06-28 22:34:55.056761,2022-06-28 22:34:56.458535,0 days 00:00:01.401774,7.9,0.0004001259169198066,0.008578217419960591,12.0,2532.0,squared_hinge,1360260.0,True,l1,COMPLETE
80,0.9193592677345538,2022-06-28 22:34:53.740828,2022-06-28 22:34:55.056597,0 days 00:00:01.315769,1.4000000000000001,0.0007931605817371864,0.02092479506536274,8.0,5454.0,squared_hinge,2990109.0,True,l1,COMPLETE
79,0.9193592677345538,2022-06-28 22:34:52.581382,2022-06-28 22:34:53.740644,0 days 00:00:01.159262,1.2000000000000002,0.0008122233437331591,0.021973687987928616,8.0,5596.0,squared_hinge,3032960.0,True,l1,COMPLETE
78,0.9193592677345538,2022-06-28 22:34:51.413488,2022-06-28 22:34:52.581176,0 days 00:00:01.167688,0.9,0.0007187160007970179,0.01772370968242196,19.0,6370.0,squared_hinge,3687747.0,True,l1,COMPLETE
76,0.9193592677345538,2022-06-28 22:34:49.598768,2022-06-28 22:34:50.776256,0 days 00:00:01.177488,2.0,0.0008540686415092572,0.08283805454118628,5.0,5996.0,squared_hinge,6709599.0,True,l1,COMPLETE
46,0.9193592677345538,2022-06-28 22:34:12.792991,2022-06-28 22:34:14.020038,0 days 00:00:01.227047,8.8,0.000502573682740943,0.09270600342196934,10.0,1543.0,squared_hinge,822063.0,False,l1,COMPLETE
98,0.9193592677345538,2022-06-28 22:35:16.539552,2022-06-28 22:35:17.785898,0 days 00:00:01.246346,8.3,0.00028274641597653903,0.04139370364607731,18.0,7690.0,squared_hinge,1889892.0,True,l1,COMPLETE
44,0.9193592677345538,2022-06-28 22:34:10.495534,2022-06-28 22:34:11.511157,0 days 00:00:01.015623,9.4,0.0005055800010014735,0.09932272925248194,16.0,660.0,squared_hinge,353161.0,False,l1,COMPLETE
28,0.9193592677345538,2022-06-28 22:33:52.108470,2022-06-28 22:33:53.479790,0 days 00:00:01.371320,5.3,0.00011413681052417713,0.01150472871033771,12.0,2080.0,squared_hinge,1128928.0,True,l1,COMPLETE
25,0.9193592677345538,2022-06-28 22:33:48.919381,2022-06-28 22:33:50.283846,0 days 00:00:01.364465,5.5,0.00045994735692667956,0.011244071063324541,11.0,1624.0,squared_hinge,1123805.0,True,l1,COMPLETE
23,0.9193592677345538,2022-06-28 22:33:46.622008,2022-06-28 22:33:47.769581,0 days 00:00:01.147573,9.8,0.0002045239707342479,0.03454630315958936,14.0,3683.0,squared_hinge,6977395.0,False,l1,COMPLETE
22,0.9193592677345538,2022-06-28 22:33:45.300537,2022-06-28 22:33:46.621873,0 days 00:00:01.321336,5.4,0.0004698132200547554,0.07891048113242757,10.0,1232.0,squared_hinge,2425629.0,False,l1,COMPLETE
21,0.9193592677345538,2022-06-28 22:33:44.147902,2022-06-28 22:33:45.300410,0 days 00:00:01.152508,2.6,4.5426975573667974e-05,0.014622153761584957,5.0,140.0,squared_hinge,234446.0,True,l1,COMPLETE
20,0.9193592677345538,2022-06-28 22:33:42.902428,2022-06-28 22:33:44.147775,0 days 00:00:01.245347,3.7,0.0002936334447852761,0.04275328593289799,15.0,619.0,squared_hinge,5337576.0,False,l1,COMPLETE
19,0.9193592677345538,2022-06-28 22:33:41.779369,2022-06-28 22:33:42.902308,0 days 00:00:01.122939,6.2,0.0005745059868586336,0.0763622554783771,14.0,3051.0,squared_hinge,2790192.0,False,l1,COMPLETE
17,0.9193592677345538,2022-06-28 22:33:39.852182,2022-06-28 22:33:41.191027,0 days 00:00:01.338845,3.0000000000000004,0.00030581251315405444,0.04539880983659764,5.0,1133.0,squared_hinge,5614576.0,True,l1,COMPLETE
16,0.9193592677345538,2022-06-28 22:33:38.711530,2022-06-28 22:33:39.852038,0 days 00:00:01.140508,2.9000000000000004,1.304093560357218e-05,0.0669717123480648,5.0,3193.0,squared_hinge,7894223.0,True,l1,COMPLETE
15,0.9193592677345538,2022-06-28 22:33:37.551677,2022-06-28 22:33:38.711409,0 days 00:00:01.159732,0.1,0.0008553049028209087,0.01980069782546877,8.0,7471.0,squared_hinge,8074695.0,False,l1,COMPLETE
14,0.9193592677345538,2022-06-28 22:33:36.319634,2022-06-28 22:33:37.551557,0 days 00:00:01.231923,8.2,0.0003586188377087559,0.05186224517035588,20.0,5920.0,squared_hinge,5409966.0,True,l1,COMPLETE
13,0.9193592677345538,2022-06-28 22:33:35.101359,2022-06-28 22:33:36.319502,0 days 00:00:01.218143,6.1,0.0002347975434561112,0.03576298735882384,12.0,2013.0,squared_hinge,2681325.0,True,l1,COMPLETE
12,0.9193592677345538,2022-06-28 22:33:33.567646,2022-06-28 22:33:35.101182,0 days 00:00:01.533536,7.7,0.0009895877366212055,0.03262406279699836,20.0,7390.0,squared_hinge,6294637.0,True,l1,COMPLETE
11,0.9193592677345538,2022-06-28 22:33:32.397400,2022-06-28 22:33:33.567458,0 days 00:00:01.170058,9.9,0.0001457588049906092,0.026035978833013583,9.0,6883.0,squared_hinge,7081897.0,True,l1,COMPLETE
10,0.9193592677345538,2022-06-28 22:33:31.016826,2022-06-28 22:33:32.397246,0 days 00:00:01.380420,0.30000000000000004,5.084807149811313e-05,0.0032582853771588546,10.0,241.0,squared_hinge,225527.0,False,l1,COMPLETE
9,0.9193592677345538,2022-06-28 22:33:29.814972,2022-06-28 22:33:31.016688,0 days 00:00:01.201716,7.0,0.0005864588770159725,0.08024894799687927,15.0,2542.0,squared_hinge,4323050.0,False,l1,COMPLETE
6,0.9193592677345538,2022-06-28 22:33:25.594961,2022-06-28 22:33:27.113601,0 days 00:00:01.518640,7.6,0.0008754771114707773,0.05998041978789366,20.0,4829.0,squared_hinge,9302265.0,True,l1,COMPLETE
3,0.9193592677345538,2022-06-28 22:33:21.856642,2022-06-28 22:33:23.165052,0 days 00:00:01.308410,0.4,0.00015401399095106092,0.002400303615336651,8.0,5910.0,squared_hinge,4482062.0,False,l1,COMPLETE
27,0.9193592677345538,2022-06-28 22:33:50.888790,2022-06-28 22:33:52.108298,0 days 00:00:01.219508,2.7,0.00025275353069559146,0.04108422432030017,6.0,1810.0,squared_hinge,2019113.0,True,l1,COMPLETE
24,0.9193592677345538,2022-06-28 22:33:47.769723,2022-06-28 22:33:48.919236,0 days 00:00:01.149513,3.9000000000000004,0.00011915943376898297,0.018501436892175573,11.0,262.0,squared_hinge,464122.0,True,l1,COMPLETE
