iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
92,0.9755461396356307,2022-09-21 23:35:58.516198,2022-09-21 23:37:06.794990,0 days 00:01:08.278792,23,300,82,4,437,460,COMPLETE
53,0.9752284782701964,2022-09-21 22:55:09.748154,2022-09-21 22:56:13.684576,0 days 00:01:03.936422,23,300,85,7,431,430,COMPLETE
51,0.9752003166961394,2022-09-21 22:52:46.648062,2022-09-21 22:53:57.969344,0 days 00:01:11.321282,21,289,81,8,471,479,COMPLETE
94,0.9751209213448174,2022-09-21 23:38:15.516243,2022-09-21 23:39:28.021129,0 days 00:01:12.504886,28,294,89,6,366,491,COMPLETE
42,0.9751142825996737,2022-09-21 22:43:20.719643,2022-09-21 22:44:29.359433,0 days 00:01:08.639790,21,300,42,4,413,464,COMPLETE
87,0.9751093245395243,2022-09-21 23:30:36.802415,2022-09-21 23:31:39.706757,0 days 00:01:02.904342,21,300,84,4,478,421,COMPLETE
96,0.9750712805898172,2022-09-21 23:40:40.287584,2022-09-21 23:41:53.085874,0 days 00:01:12.798290,29,291,86,6,380,491,COMPLETE
25,0.9750563700971917,2022-09-21 22:27:25.643940,2022-09-21 22:28:22.639773,0 days 00:00:56.995833,26,300,57,5,392,385,COMPLETE
72,0.9750348780786102,2022-09-21 23:14:43.033498,2022-09-21 23:15:48.475308,0 days 00:01:05.441810,24,293,87,4,476,439,COMPLETE
63,0.975026596061018,2022-09-21 23:05:18.825609,2022-09-21 23:06:24.253667,0 days 00:01:05.428058,23,300,83,5,332,443,COMPLETE
60,0.9750233051146453,2022-09-21 23:02:04.756278,2022-09-21 23:03:09.505536,0 days 00:01:04.749258,22,292,74,3,469,435,COMPLETE
62,0.9750034361950806,2022-09-21 23:04:13.248279,2022-09-21 23:05:18.825409,0 days 00:01:05.577130,22,300,82,5,332,444,COMPLETE
95,0.9749836035876928,2022-09-21 23:39:28.021352,2022-09-21 23:40:40.287369,0 days 00:01:12.266017,28,285,89,9,408,488,COMPLETE
81,0.9749835951515305,2022-09-21 23:24:21.415032,2022-09-21 23:25:26.644657,0 days 00:01:05.229625,23,300,78,4,438,439,COMPLETE
86,0.9749802759623534,2022-09-21 23:29:30.150165,2022-09-21 23:30:36.802196,0 days 00:01:06.652031,23,289,78,8,441,450,COMPLETE
41,0.974937247543641,2022-09-21 22:42:15.252772,2022-09-21 22:43:20.719437,0 days 00:01:05.466665,23,300,41,4,447,440,COMPLETE
76,0.9749190395024286,2022-09-21 23:18:57.270838,2022-09-21 23:20:03.690797,0 days 00:01:06.419959,25,281,92,30,496,448,COMPLETE
33,0.9749174028321942,2022-09-21 22:34:39.662198,2022-09-21 22:35:43.105896,0 days 00:01:03.443698,22,283,60,4,448,429,COMPLETE
21,0.9749058089612184,2022-09-21 22:23:09.284280,2022-09-21 22:24:13.254514,0 days 00:01:03.970234,25,300,44,2,462,429,COMPLETE
77,0.974900858236862,2022-09-21 23:20:03.691002,2022-09-21 23:21:06.006670,0 days 00:01:02.315668,24,294,96,10,473,417,COMPLETE
90,0.9748992127636755,2022-09-21 23:33:42.089422,2022-09-21 23:34:52.891689,0 days 00:01:10.802267,21,286,97,7,512,476,COMPLETE
49,0.974897535746578,2022-09-21 22:50:35.726060,2022-09-21 22:51:46.469249,0 days 00:01:10.743189,21,291,64,8,471,476,COMPLETE
71,0.9748925857558011,2022-09-21 23:13:37.278526,2022-09-21 23:14:43.033291,0 days 00:01:05.754765,23,300,80,6,361,444,COMPLETE
46,0.9748842839315669,2022-09-21 22:47:51.578009,2022-09-21 22:48:23.140227,0 days 00:00:31.562218,22,299,52,3,432,211,COMPLETE
82,0.9748677613436145,2022-09-21 23:25:26.644876,2022-09-21 23:26:38.320999,0 days 00:01:11.676123,23,286,79,4,432,485,COMPLETE
24,0.974847885821836,2022-09-21 22:26:26.245524,2022-09-21 22:27:25.643757,0 days 00:00:59.398233,24,296,45,6,392,402,COMPLETE
98,0.9748429317963728,2022-09-21 23:43:06.563130,2022-09-21 23:44:16.074832,0 days 00:01:09.511702,29,289,92,6,392,471,COMPLETE
74,0.9748181007819723,2022-09-21 23:16:49.334173,2022-09-21 23:17:59.269415,0 days 00:01:09.935242,22,293,87,5,486,469,COMPLETE
93,0.9748032288022617,2022-09-21 23:37:06.795214,2022-09-21 23:38:15.516024,0 days 00:01:08.720810,22,291,81,3,479,461,COMPLETE
31,0.9748015807615477,2022-09-21 22:32:39.852289,2022-09-21 22:33:45.372581,0 days 00:01:05.520292,24,295,45,2,441,441,COMPLETE
52,0.9747635151712504,2022-09-21 22:53:57.969538,2022-09-21 22:55:09.747958,0 days 00:01:11.778420,22,290,94,4,492,482,COMPLETE
22,0.9747635060015087,2022-09-21 22:24:13.254691,2022-09-21 22:25:20.455525,0 days 00:01:07.200834,24,297,46,2,471,453,COMPLETE
99,0.974760208452922,2022-09-21 23:44:16.075057,2022-09-21 23:45:28.282316,0 days 00:01:12.207259,30,274,91,6,372,491,COMPLETE
32,0.9747486068793629,2022-09-21 22:33:45.372768,2022-09-21 22:34:39.661794,0 days 00:00:54.289026,24,300,54,7,434,367,COMPLETE
83,0.9747420172840343,2022-09-21 23:26:38.321209,2022-09-21 23:27:48.362771,0 days 00:01:10.041562,25,295,77,5,421,469,COMPLETE
55,0.9747287647354439,2022-09-21 22:56:33.418568,2022-09-21 22:57:40.592233,0 days 00:01:07.173665,23,290,85,7,446,453,COMPLETE
43,0.9747055979005028,2022-09-21 22:44:29.359626,2022-09-21 22:45:38.700467,0 days 00:01:09.340841,20,275,41,4,510,468,COMPLETE
7,0.974694017967534,2022-09-21 22:09:43.781400,2022-09-21 22:10:53.934922,0 days 00:01:10.153522,24,277,45,9,346,478,COMPLETE
