iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
68,0.9991865178424917,2022-09-21 19:54:33.858279,2022-09-21 19:54:53.784053,0 days 00:00:19.925774,17,212,86,19,367,134,COMPLETE
69,0.9991340630946769,2022-09-21 19:54:53.784247,2022-09-21 19:55:13.939378,0 days 00:00:20.155131,18,216,87,19,363,135,COMPLETE
73,0.9991196998595712,2022-09-21 19:56:12.435282,2022-09-21 19:56:30.851004,0 days 00:00:18.415722,17,215,88,19,363,124,COMPLETE
61,0.9991105033853195,2022-09-21 19:52:17.839546,2022-09-21 19:52:38.742447,0 days 00:00:20.902901,25,217,76,17,376,140,COMPLETE
70,0.9991094782939699,2022-09-21 19:55:13.939577,2022-09-21 19:55:32.972158,0 days 00:00:19.032581,17,212,87,15,363,128,COMPLETE
21,0.9991000132044394,2022-09-21 19:33:53.280147,2022-09-21 19:34:13.853497,0 days 00:00:20.573350,26,299,55,9,249,137,COMPLETE
79,0.9990814377071567,2022-09-21 19:58:37.936775,2022-09-21 19:58:52.921167,0 days 00:00:14.984392,18,211,87,19,363,100,COMPLETE
67,0.9990800303868751,2022-09-21 19:54:14.374084,2022-09-21 19:54:33.858078,0 days 00:00:19.483994,26,261,77,15,363,128,COMPLETE
58,0.9990767000912848,2022-09-21 19:50:39.344852,2022-09-21 19:50:56.747078,0 days 00:00:17.402226,25,263,77,19,364,114,COMPLETE
64,0.9990555648488904,2022-09-21 19:53:17.529313,2022-09-21 19:53:37.749840,0 days 00:00:20.220527,24,259,70,21,410,134,COMPLETE
92,0.9990448635270331,2022-09-21 20:02:44.255563,2022-09-21 20:03:01.773502,0 days 00:00:17.517939,18,241,74,21,367,116,COMPLETE
47,0.9990391979391492,2022-09-21 19:45:44.300284,2022-09-21 19:46:07.427969,0 days 00:00:23.127685,25,262,66,18,407,154,COMPLETE
12,0.9990361395475076,2022-09-21 19:30:05.385960,2022-09-21 19:30:22.355276,0 days 00:00:16.969316,26,300,36,21,490,110,COMPLETE
95,0.9990157171129098,2022-09-21 20:03:49.772705,2022-09-21 20:04:09.568069,0 days 00:00:19.795364,26,220,87,19,410,132,COMPLETE
91,0.9990016999026133,2022-09-21 20:02:24.666230,2022-09-21 20:02:44.255249,0 days 00:00:19.589019,17,216,77,21,432,131,COMPLETE
86,0.9990016789944185,2022-09-21 20:00:45.565701,2022-09-21 20:01:07.064383,0 days 00:00:21.498682,19,219,91,22,333,145,COMPLETE
51,0.9990009085813947,2022-09-21 19:47:47.654488,2022-09-21 19:48:10.489126,0 days 00:00:22.834638,25,274,66,16,394,152,COMPLETE
0,0.9989930489015871,2022-09-21 19:21:44.038817,2022-09-21 19:22:09.760111,0 days 00:00:25.721294,25,255,58,22,282,134,COMPLETE
52,0.9989722865752757,2022-09-21 19:48:10.489346,2022-09-21 19:48:34.054183,0 days 00:00:23.564837,25,274,66,16,393,155,COMPLETE
44,0.9989722364967153,2022-09-21 19:44:32.684707,2022-09-21 19:45:00.149383,0 days 00:00:27.464676,24,291,56,12,315,184,COMPLETE
39,0.9989719749928561,2022-09-21 19:42:10.036470,2022-09-21 19:42:25.085988,0 days 00:00:15.049518,29,280,72,12,285,100,COMPLETE
