iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
273,0.9768440858556522,2022-09-23 05:01:28.668997,2022-09-23 05:02:11.666539,0 days 00:00:42.997542,18.0,397.0,110.0,34.0,276.0,285.0,COMPLETE
293,0.9768008924200843,2022-09-23 05:22:46.628761,2022-09-23 05:23:57.669555,0 days 00:01:11.040794,18.0,400.0,113.0,33.0,270.0,474.0,COMPLETE
292,0.9767593649451995,2022-09-23 05:21:37.924315,2022-09-23 05:22:46.628438,0 days 00:01:08.704123,18.0,400.0,114.0,32.0,270.0,458.0,COMPLETE
281,0.976713058154553,2022-09-23 05:08:01.788012,2022-09-23 05:09:23.062866,0 days 00:01:21.274854,19.0,396.0,111.0,37.0,276.0,543.0,COMPLETE
289,0.9767096844108881,2022-09-23 05:18:15.648441,2022-09-23 05:19:24.512165,0 days 00:01:08.863724,18.0,397.0,114.0,32.0,270.0,459.0,COMPLETE
150,0.9766768403336199,2022-09-23 02:57:34.151804,2022-09-23 02:58:16.290100,0 days 00:00:42.138296,36.0,400.0,111.0,45.0,178.0,280.0,COMPLETE
229,0.9766698475162202,2022-09-23 04:14:19.870522,2022-09-23 04:15:38.342279,0 days 00:01:18.471757,17.0,395.0,109.0,38.0,284.0,525.0,COMPLETE
162,0.9766649573984689,2022-09-23 03:08:17.962080,2022-09-23 03:09:32.751434,0 days 00:01:14.789354,18.0,400.0,110.0,37.0,215.0,500.0,COMPLETE
112,0.9766433799927636,2022-09-23 02:10:36.651792,2022-09-23 02:11:52.400909,0 days 00:01:15.749117,19.0,398.0,108.0,38.0,215.0,508.0,COMPLETE
199,0.976638616448172,2022-09-23 03:41:21.508735,2022-09-23 03:42:30.066519,0 days 00:01:08.557784,17.0,390.0,126.0,41.0,229.0,459.0,COMPLETE
44,0.9766300310766967,2022-09-23 00:52:45.673062,2022-09-23 00:53:59.258258,0 days 00:01:13.585196,25.0,400.0,103.0,45.0,245.0,493.0,COMPLETE
171,0.9766004898397328,2022-09-23 03:19:21.664922,2022-09-23 03:20:03.677303,0 days 00:00:42.012381,16.0,400.0,127.0,40.0,216.0,278.0,COMPLETE
218,0.9765953738291903,2022-09-23 04:02:07.874812,2022-09-23 04:03:23.132354,0 days 00:01:15.257542,17.0,400.0,118.0,38.0,229.0,502.0,COMPLETE
167,0.9765838449628564,2022-09-23 03:14:12.576459,2022-09-23 03:15:33.826087,0 days 00:01:21.249628,18.0,397.0,114.0,39.0,215.0,546.0,COMPLETE
212,0.9765689629974981,2022-09-23 03:54:44.741177,2022-09-23 03:55:54.753097,0 days 00:01:10.011920,16.0,398.0,122.0,44.0,229.0,467.0,COMPLETE
201,0.9765623911787094,2022-09-23 03:43:37.876717,2022-09-23 03:44:43.781401,0 days 00:01:05.904684,17.0,393.0,126.0,41.0,229.0,440.0,COMPLETE
174,0.9765473036836372,2022-09-23 03:22:22.593876,2022-09-23 03:23:04.214147,0 days 00:00:41.620271,15.0,398.0,109.0,37.0,217.0,277.0,COMPLETE
231,0.9765456785881326,2022-09-23 04:16:56.989870,2022-09-23 04:18:13.971175,0 days 00:01:16.981305,16.0,397.0,109.0,37.0,282.0,512.0,COMPLETE
297,0.9765420200284686,2022-09-23 15:52:11.444851,2022-09-23 15:53:25.835030,0 days 00:01:14.390179,18.0,398.0,114.0,32.0,275.0,473.0,COMPLETE
107,0.9765391814145032,2022-09-23 02:04:39.140308,2022-09-23 02:05:51.851958,0 days 00:01:12.711650,18.0,394.0,108.0,38.0,213.0,491.0,COMPLETE
259,0.9765190863718872,2022-09-23 04:51:06.992846,2022-09-23 04:51:48.186158,0 days 00:00:41.193312,17.0,394.0,106.0,35.0,215.0,274.0,COMPLETE
179,0.9765125578149993,2022-09-23 03:26:01.429293,2022-09-23 03:26:42.484996,0 days 00:00:41.055703,18.0,400.0,119.0,37.0,175.0,274.0,COMPLETE
