iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
216,0.9530175099081426,2022-09-23 21:30:40.043148,2022-09-23 21:31:23.021231,0 days 00:00:42.978083,18.0,341.0,116.0,8.0,484.0,282.0,COMPLETE
250,0.9528021155044205,2022-09-23 21:56:36.357780,2022-09-23 21:57:18.895947,0 days 00:00:42.538167,19.0,341.0,119.0,4.0,483.0,279.0,COMPLETE
247,0.9527822329440769,2022-09-23 21:54:30.210264,2022-09-23 21:55:12.665918,0 days 00:00:42.455654,19.0,341.0,120.0,5.0,484.0,277.0,COMPLETE
18,0.9527680118759257,2022-09-23 18:30:10.299673,2022-09-23 18:31:32.650615,0 days 00:01:22.350942,26.0,347.0,74.0,7.0,494.0,421.0,COMPLETE
244,0.9526960751825881,2022-09-23 21:52:15.705625,2022-09-23 21:53:00.864486,0 days 00:00:45.158861,19.0,347.0,118.0,4.0,484.0,297.0,COMPLETE
245,0.9526629375820156,2022-09-23 21:53:00.864854,2022-09-23 21:53:45.685249,0 days 00:00:44.820395,19.0,344.0,119.0,5.0,483.0,294.0,COMPLETE
122,0.9526529963018437,2022-09-23 20:17:24.449701,2022-09-23 20:18:12.239825,0 days 00:00:47.790124,22.0,348.0,117.0,5.0,459.0,316.0,COMPLETE
160,0.9526496825417865,2022-09-23 20:48:12.349533,2022-09-23 20:48:57.206336,0 days 00:00:44.856803,21.0,344.0,111.0,8.0,483.0,295.0,COMPLETE
289,0.952593348620813,2022-09-23 22:25:05.806592,2022-09-23 22:25:48.377991,0 days 00:00:42.571399,20.0,344.0,113.0,4.0,473.0,280.0,COMPLETE
248,0.9525867211006985,2022-09-23 21:55:12.666211,2022-09-23 21:55:54.793480,0 days 00:00:42.127269,19.0,341.0,120.0,5.0,483.0,277.0,COMPLETE
171,0.952580093580584,2022-09-23 20:56:23.584766,2022-09-23 20:57:06.997991,0 days 00:00:43.413225,22.0,340.0,107.0,9.0,485.0,285.0,COMPLETE
282,0.9525701523004122,2022-09-23 22:20:08.838875,2022-09-23 22:20:51.011710,0 days 00:00:42.172835,20.0,339.0,117.0,4.0,484.0,277.0,COMPLETE
21,0.9525493145828018,2022-09-23 18:34:21.819184,2022-09-23 18:35:23.857899,0 days 00:01:02.038715,33.0,349.0,74.0,4.0,461.0,319.0,COMPLETE
189,0.9525237596596106,2022-09-23 21:09:41.395308,2022-09-23 21:10:26.591794,0 days 00:00:45.196486,21.0,347.0,111.0,17.0,489.0,298.0,COMPLETE
170,0.9525171321394961,2022-09-23 20:55:38.902395,2022-09-23 20:56:23.584505,0 days 00:00:44.682110,22.0,340.0,105.0,9.0,483.0,294.0,COMPLETE
