iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
84,0.9360631572870628,2022-09-23 14:58:25.151550,2022-09-23 14:59:41.004119,0 days 00:01:15.852569,20.0,299.0,64.0,28.0,321.0,485.0,COMPLETE
46,0.9359039340227993,2022-09-22 06:10:53.425296,2022-09-22 06:11:51.070524,0 days 00:00:57.645228,19.0,298.0,78.0,25.0,357.0,379.0,COMPLETE
13,0.9357357366006176,2022-09-22 05:39:22.018341,2022-09-22 05:40:36.234534,0 days 00:01:14.216193,26.0,297.0,69.0,30.0,239.0,496.0,COMPLETE
23,0.9356051218605483,2022-09-22 05:48:26.231613,2022-09-22 05:49:35.544922,0 days 00:01:09.313309,23.0,280.0,76.0,21.0,267.0,462.0,COMPLETE
45,0.9355534383881681,2022-09-22 06:09:56.633727,2022-09-22 06:10:53.425082,0 days 00:00:56.791355,20.0,299.0,79.0,25.0,367.0,372.0,COMPLETE
47,0.9355501754522502,2022-09-22 06:11:51.070707,2022-09-22 06:12:47.272210,0 days 00:00:56.201503,19.0,294.0,78.0,25.0,369.0,370.0,COMPLETE
87,0.9355327709933641,2022-09-23 15:02:10.044136,2022-09-23 15:03:27.078040,0 days 00:01:17.033904,26.0,300.0,59.0,6.0,397.0,489.0,COMPLETE
58,0.9354805788844738,2022-09-22 06:22:16.140217,2022-09-22 06:23:14.936342,0 days 00:00:58.796125,26.0,294.0,62.0,28.0,236.0,392.0,COMPLETE
75,0.9354786941195412,2022-09-23 14:48:28.589838,2022-09-23 14:49:43.546724,0 days 00:01:14.956886,19.0,284.0,67.0,25.0,239.0,487.0,COMPLETE
63,0.9354478557934648,2022-09-23 14:34:42.339966,2022-09-23 14:36:00.149535,0 days 00:01:17.809569,26.0,295.0,76.0,29.0,261.0,396.0,COMPLETE
34,0.9354341907529572,2022-09-22 05:58:33.701688,2022-09-22 05:59:43.827940,0 days 00:01:10.126252,21.0,299.0,70.0,28.0,301.0,466.0,COMPLETE
52,0.9354260923322175,2022-09-22 06:16:17.220279,2022-09-22 06:17:16.043873,0 days 00:00:58.823594,20.0,293.0,73.0,26.0,363.0,386.0,COMPLETE
74,0.9354084785514649,2022-09-23 14:47:18.340466,2022-09-23 14:48:28.589640,0 days 00:01:10.249174,21.0,300.0,75.0,28.0,250.0,455.0,COMPLETE
86,0.9354013167486571,2022-09-23 15:00:54.369866,2022-09-23 15:02:10.043939,0 days 00:01:15.674073,20.0,296.0,53.0,25.0,318.0,484.0,COMPLETE
92,0.9353898841274774,2022-09-23 15:08:28.074018,2022-09-23 15:09:41.846960,0 days 00:01:13.772942,21.0,290.0,62.0,6.0,425.0,469.0,COMPLETE
94,0.9353700667848238,2022-09-23 15:10:58.370881,2022-09-23 15:12:06.445635,0 days 00:01:08.074754,26.0,296.0,78.0,27.0,399.0,432.0,COMPLETE
96,0.9353411566886445,2022-09-23 15:13:01.989555,2022-09-23 15:14:11.880293,0 days 00:01:09.890738,25.0,300.0,72.0,17.0,364.0,444.0,COMPLETE
43,0.9353386746402534,2022-09-22 06:07:49.322651,2022-09-22 06:08:53.531364,0 days 00:01:04.208713,22.0,300.0,82.0,28.0,275.0,426.0,COMPLETE
26,0.9352990509308947,2022-09-22 05:51:40.941044,2022-09-22 05:52:29.768903,0 days 00:00:48.827859,23.0,284.0,66.0,19.0,330.0,320.0,COMPLETE
81,0.9352904342475753,2022-09-23 14:55:11.753136,2022-09-23 14:56:24.043513,0 days 00:01:12.290377,16.0,295.0,87.0,27.0,177.0,469.0,COMPLETE
64,0.9352877623740771,2022-09-23 14:36:00.149866,2022-09-23 14:37:00.885967,0 days 00:01:00.736101,27.0,294.0,77.0,28.0,244.0,396.0,COMPLETE
55,0.9352679222681116,2022-09-22 06:19:16.372933,2022-09-22 06:20:31.151097,0 days 00:01:14.778164,19.0,293.0,80.0,23.0,445.0,489.0,COMPLETE
76,0.9352589226360271,2022-09-23 14:49:43.546918,2022-09-23 14:50:57.906509,0 days 00:01:14.359591,19.0,286.0,68.0,24.0,199.0,483.0,COMPLETE
100,0.9352335965945572,2022-09-23 15:16:37.452543,2022-09-23 15:17:30.739287,0 days 00:00:53.286744,25.0,297.0,60.0,11.0,383.0,337.0,COMPLETE
67,0.9352080295551439,2022-09-23 14:39:59.034990,2022-09-23 14:41:03.912386,0 days 00:01:04.877396,28.0,287.0,81.0,27.0,215.0,422.0,COMPLETE
31,0.9351969802053525,2022-09-22 05:55:10.014128,2022-09-22 05:56:22.538628,0 days 00:01:12.524500,23.0,287.0,69.0,27.0,310.0,478.0,COMPLETE
98,0.9351969061878329,2022-09-23 15:14:33.722412,2022-09-23 15:15:35.088838,0 days 00:01:01.366426,24.0,288.0,68.0,28.0,508.0,387.0,COMPLETE
56,0.9351945626709718,2022-09-22 06:20:31.151290,2022-09-22 06:21:33.216360,0 days 00:01:02.065070,17.0,280.0,93.0,29.0,296.0,412.0,COMPLETE
36,0.9351426919660143,2022-09-22 06:00:24.137473,2022-09-22 06:01:39.030278,0 days 00:01:14.892805,21.0,300.0,80.0,23.0,292.0,499.0,COMPLETE
82,0.9350449969265499,2022-09-23 14:56:24.043713,2022-09-23 14:57:21.491464,0 days 00:00:57.447751,19.0,282.0,67.0,22.0,278.0,371.0,COMPLETE
69,0.934982345525254,2022-09-23 14:42:04.362229,2022-09-23 14:43:11.441650,0 days 00:01:07.079421,29.0,292.0,63.0,29.0,287.0,433.0,COMPLETE
80,0.9349689050422639,2022-09-23 14:54:04.249647,2022-09-23 14:55:11.752854,0 days 00:01:07.503207,28.0,291.0,71.0,23.0,266.0,437.0,COMPLETE
51,0.9349170874896496,2022-09-22 06:15:22.354753,2022-09-22 06:16:17.220096,0 days 00:00:54.865343,18.0,300.0,76.0,29.0,351.0,360.0,COMPLETE
21,0.9349164293206896,2022-09-22 05:46:12.064414,2022-09-22 05:47:21.345097,0 days 00:01:09.280683,23.0,290.0,74.0,27.0,253.0,464.0,COMPLETE
78,0.9349048046861363,2022-09-23 14:52:13.574127,2022-09-23 14:53:02.775619,0 days 00:00:49.201492,18.0,283.0,83.0,20.0,371.0,311.0,COMPLETE
95,0.9348919785064764,2022-09-23 15:12:06.445810,2022-09-23 15:13:01.989347,0 days 00:00:55.543537,26.0,283.0,76.0,2.0,340.0,355.0,COMPLETE
42,0.9348678876559562,2022-09-22 06:06:37.467758,2022-09-22 06:07:49.322461,0 days 00:01:11.854703,23.0,289.0,73.0,24.0,331.0,474.0,COMPLETE
85,0.934820642403622,2022-09-23 14:59:41.004383,2022-09-23 15:00:54.369570,0 days 00:01:13.365187,20.0,290.0,65.0,30.0,250.0,476.0,COMPLETE
79,0.9348083963993292,2022-09-23 14:53:02.775870,2022-09-23 14:54:04.249276,0 days 00:01:01.473406,27.0,269.0,74.0,25.0,234.0,398.0,COMPLETE
91,0.9347414954480499,2022-09-23 15:07:12.757011,2022-09-23 15:08:28.073803,0 days 00:01:15.316792,20.0,279.0,58.0,16.0,356.0,483.0,COMPLETE
15,0.9347233503198354,2022-09-22 05:41:26.751071,2022-09-22 05:42:29.945125,0 days 00:01:03.194054,26.0,277.0,44.0,3.0,255.0,424.0,COMPLETE
71,0.9347111100592734,2022-09-23 14:44:12.044622,2022-09-23 14:45:16.659795,0 days 00:01:04.615173,30.0,275.0,72.0,22.0,341.0,412.0,COMPLETE
41,0.9346608975554516,2022-09-22 06:05:25.399492,2022-09-22 06:06:37.467541,0 days 00:01:12.068049,24.0,287.0,69.0,26.0,307.0,478.0,COMPLETE
88,0.9346509862294272,2022-09-23 15:03:27.078264,2022-09-23 15:04:44.646689,0 days 00:01:17.568425,19.0,287.0,60.0,13.0,411.0,492.0,COMPLETE
33,0.9346423492838977,2022-09-22 05:57:33.161310,2022-09-22 05:58:33.701496,0 days 00:01:00.540186,23.0,262.0,61.0,24.0,357.0,400.0,COMPLETE
40,0.9346230274633127,2022-09-22 06:04:53.218683,2022-09-22 06:05:25.399236,0 days 00:00:32.180553,29.0,287.0,89.0,12.0,161.0,212.0,COMPLETE
89,0.9346185019709398,2022-09-23 15:04:44.646890,2022-09-23 15:06:03.197769,0 days 00:01:18.550879,18.0,299.0,63.0,9.0,390.0,500.0,COMPLETE
10,0.9345983097083553,2022-09-22 05:36:35.938266,2022-09-22 05:37:50.497610,0 days 00:01:14.559344,25.0,297.0,97.0,30.0,250.0,497.0,COMPLETE
70,0.9345802431615142,2022-09-23 14:43:11.441844,2022-09-23 14:44:12.044417,0 days 00:01:00.602573,27.0,284.0,59.0,27.0,221.0,376.0,COMPLETE
22,0.9345726320039103,2022-09-22 05:47:21.345290,2022-09-22 05:48:26.231429,0 days 00:01:04.886139,23.0,259.0,65.0,27.0,237.0,438.0,COMPLETE
11,0.9345256887549828,2022-09-22 05:37:50.497859,2022-09-22 05:39:04.334567,0 days 00:01:13.836708,25.0,297.0,98.0,29.0,250.0,493.0,COMPLETE
32,0.9344672207417428,2022-09-22 05:56:22.538838,2022-09-22 05:57:33.161073,0 days 00:01:10.622235,24.0,282.0,69.0,22.0,313.0,466.0,COMPLETE
72,0.9344476719678192,2022-09-23 14:45:16.660042,2022-09-23 14:46:10.854863,0 days 00:00:54.194821,26.0,295.0,89.0,30.0,187.0,349.0,COMPLETE
4,0.934401778080966,2022-09-22 05:31:15.227107,2022-09-22 05:32:27.628860,0 days 00:01:12.401753,30.0,257.0,99.0,18.0,235.0,487.0,COMPLETE
49,0.9343764625131539,2022-09-22 06:13:44.762015,2022-09-22 06:14:36.433386,0 days 00:00:51.671371,19.0,293.0,77.0,23.0,443.0,337.0,COMPLETE
53,0.9343576153351727,2022-09-22 06:17:16.044095,2022-09-22 06:18:23.754845,0 days 00:01:07.710750,20.0,280.0,34.0,26.0,405.0,447.0,COMPLETE
48,0.9343316871679446,2022-09-22 06:12:47.272398,2022-09-22 06:13:44.761807,0 days 00:00:57.489409,17.0,279.0,86.0,25.0,366.0,379.0,COMPLETE
66,0.9342855401444486,2022-09-23 14:39:06.891390,2022-09-23 14:39:59.034796,0 days 00:00:52.143406,26.0,273.0,75.0,30.0,260.0,347.0,COMPLETE
27,0.9342571890110406,2022-09-22 05:52:29.769106,2022-09-22 05:53:18.613934,0 days 00:00:48.844828,21.0,273.0,66.0,18.0,424.0,319.0,COMPLETE
38,0.9341462237389861,2022-09-22 06:02:44.847570,2022-09-22 06:03:52.625028,0 days 00:01:07.777458,21.0,249.0,61.0,20.0,227.0,460.0,COMPLETE
83,0.9341105650774366,2022-09-23 14:57:21.491660,2022-09-23 14:58:25.151228,0 days 00:01:03.659568,24.0,274.0,81.0,29.0,220.0,415.0,COMPLETE
93,0.9340881689713892,2022-09-23 15:09:41.847177,2022-09-23 15:10:58.370660,0 days 00:01:16.523483,18.0,264.0,56.0,26.0,445.0,489.0,COMPLETE
99,0.9340752305154397,2022-09-23 15:15:35.089131,2022-09-23 15:16:37.452338,0 days 00:01:02.363207,26.0,270.0,84.0,29.0,202.0,404.0,COMPLETE
68,0.9339218288975782,2022-09-23 14:41:03.912594,2022-09-23 14:42:04.362035,0 days 00:01:00.449441,25.0,263.0,67.0,25.0,262.0,390.0,COMPLETE
16,0.9338897952544664,2022-09-22 05:42:29.945302,2022-09-22 05:43:30.599074,0 days 00:01:00.653772,27.0,272.0,43.0,2.0,212.0,409.0,COMPLETE
44,0.9337331258867574,2022-09-22 06:08:53.531589,2022-09-22 06:09:56.633387,0 days 00:01:03.101798,22.0,267.0,83.0,29.0,271.0,423.0,COMPLETE
37,0.9337286903179325,2022-09-22 06:01:39.030453,2022-09-22 06:02:44.847390,0 days 00:01:05.816937,19.0,256.0,49.0,15.0,209.0,446.0,COMPLETE
59,0.9337212816812558,2022-09-22 06:23:14.936585,2022-09-22 06:24:05.511713,0 days 00:00:50.575128,26.0,277.0,62.0,26.0,233.0,338.0,COMPLETE
50,0.933647082430779,2022-09-22 06:14:36.433616,2022-09-22 06:15:22.354534,0 days 00:00:45.920918,19.0,269.0,79.0,25.0,397.0,301.0,COMPLETE
24,0.9336044749892879,2022-09-22 05:49:35.545125,2022-09-22 05:50:43.716555,0 days 00:01:08.171430,22.0,247.0,77.0,21.0,207.0,462.0,COMPLETE
35,0.9336004495846799,2022-09-22 05:59:43.828112,2022-09-22 06:00:24.137245,0 days 00:00:40.309133,21.0,266.0,58.0,19.0,331.0,264.0,COMPLETE
5,0.9335897755540451,2022-09-22 05:32:27.629057,2022-09-22 05:33:13.043005,0 days 00:00:45.413948,16.0,287.0,86.0,14.0,373.0,297.0,COMPLETE
18,0.9334293205802308,2022-09-22 05:44:34.916774,2022-09-22 05:45:27.044979,0 days 00:00:52.128205,27.0,273.0,70.0,14.0,191.0,348.0,COMPLETE
20,0.9333316685949722,2022-09-22 05:45:43.138001,2022-09-22 05:46:12.064116,0 days 00:00:28.926115,26.0,278.0,53.0,4.0,281.0,189.0,COMPLETE
2,0.9331669496662283,2022-09-22 05:29:32.634229,2022-09-22 05:30:10.235475,0 days 00:00:37.601246,20.0,260.0,57.0,25.0,312.0,247.0,COMPLETE
57,0.933068282707517,2022-09-22 06:21:33.216713,2022-09-22 06:22:16.139949,0 days 00:00:42.923236,20.0,253.0,71.0,24.0,347.0,283.0,COMPLETE
6,0.9327660442016933,2022-09-22 05:33:13.043172,2022-09-22 05:33:45.801088,0 days 00:00:32.757916,16.0,245.0,84.0,5.0,176.0,218.0,COMPLETE
3,0.9325732008770606,2022-09-22 05:30:10.235635,2022-09-22 05:31:15.226932,0 days 00:01:04.991297,30.0,232.0,30.0,25.0,173.0,443.0,COMPLETE
60,0.9323936770034847,2022-09-22 06:24:05.511942,2022-09-22 06:24:59.455766,0 days 00:00:53.943824,25.0,242.0,55.0,21.0,190.0,366.0,COMPLETE
39,0.932344551896398,2022-09-22 06:03:52.625218,2022-09-22 06:04:53.218489,0 days 00:01:00.593271,22.0,236.0,70.0,28.0,385.0,404.0,COMPLETE
12,0.93232343951135,2022-09-22 05:39:04.334816,2022-09-22 05:39:22.018142,0 days 00:00:17.683326,25.0,297.0,100.0,30.0,507.0,110.0,COMPLETE
7,0.9322935582080806,2022-09-22 05:33:45.801259,2022-09-22 05:34:42.564694,0 days 00:00:56.763435,24.0,236.0,82.0,21.0,299.0,382.0,COMPLETE
17,0.9321205946955439,2022-09-22 05:43:30.599254,2022-09-22 05:44:34.916559,0 days 00:01:04.317305,20.0,216.0,45.0,8.0,283.0,439.0,COMPLETE
0,0.9320555802757059,2022-09-22 05:27:34.354904,2022-09-22 05:28:50.435379,0 days 00:01:16.080475,29.0,205.0,94.0,21.0,386.0,480.0,COMPLETE
25,0.9318579996017209,2022-09-22 05:50:43.716724,2022-09-22 05:51:40.940841,0 days 00:00:57.224117,18.0,224.0,73.0,27.0,270.0,386.0,COMPLETE
77,0.931776907798218,2022-09-23 14:50:57.906782,2022-09-23 14:52:13.573930,0 days 00:01:15.667148,25.0,213.0,65.0,26.0,240.0,499.0,COMPLETE
