iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
58,0.9367468778438117,2022-09-22 01:27:55.582705,2022-09-22 01:29:00.153703,0 days 00:01:04.570998,29,300,63,3,496,418,COMPLETE
81,0.9361646506165372,2022-09-22 01:53:46.155556,2022-09-22 01:54:40.503084,0 days 00:00:54.347528,29,300,72,8,479,352,COMPLETE
99,0.9361257264144054,2022-09-22 02:10:26.691580,2022-09-22 02:11:28.620883,0 days 00:01:01.929303,17,300,67,3,512,401,COMPLETE
67,0.9361212233139111,2022-09-22 01:38:31.815687,2022-09-22 01:39:35.419908,0 days 00:01:03.604221,28,294,54,3,496,414,COMPLETE
91,0.9359894902727437,2022-09-22 02:03:29.206094,2022-09-22 02:04:21.300704,0 days 00:00:52.094610,20,300,56,4,446,337,COMPLETE
51,0.9359707152777027,2022-09-22 01:21:14.701749,2022-09-22 01:22:05.867499,0 days 00:00:51.165750,29,294,64,6,481,330,COMPLETE
59,0.9359552470663672,2022-09-22 01:29:00.153900,2022-09-22 01:30:11.714956,0 days 00:01:11.561056,29,300,64,2,491,464,COMPLETE
88,0.9358515415660283,2022-09-22 02:01:10.066881,2022-09-22 02:01:57.877724,0 days 00:00:47.810843,22,288,60,5,471,309,COMPLETE
55,0.9358491231305637,2022-09-22 01:24:52.732265,2022-09-22 01:25:54.051547,0 days 00:01:01.319282,29,291,63,2,508,399,COMPLETE
62,0.9358230566275998,2022-09-22 01:32:29.509476,2022-09-22 01:33:40.709741,0 days 00:01:11.200265,29,294,56,3,447,464,COMPLETE
48,0.9357145081371008,2022-09-22 01:18:58.473073,2022-09-22 01:19:41.825625,0 days 00:00:43.352552,30,290,76,5,512,278,COMPLETE
63,0.9357076725187092,2022-09-22 01:33:40.709973,2022-09-22 01:34:53.640605,0 days 00:01:12.930632,28,300,56,3,448,476,COMPLETE
50,0.9356983738100018,2022-09-22 01:20:24.686499,2022-09-22 01:21:14.701530,0 days 00:00:50.015031,29,300,71,7,480,322,COMPLETE
53,0.9356187233510767,2022-09-22 01:22:56.216179,2022-09-22 01:23:53.208760,0 days 00:00:56.992581,29,289,68,2,510,370,COMPLETE
45,0.9355986733742436,2022-09-22 01:17:03.438672,2022-09-22 01:17:43.087467,0 days 00:00:39.648795,30,276,75,4,508,255,COMPLETE
96,0.9355794137666448,2022-09-22 02:07:55.911959,2022-09-22 02:08:45.397559,0 days 00:00:49.485600,21,296,60,6,484,318,COMPLETE
74,0.9355443527750389,2022-09-22 01:46:19.387339,2022-09-22 01:47:26.153920,0 days 00:01:06.766581,26,300,59,6,475,435,COMPLETE
54,0.9354781408621626,2022-09-22 01:23:53.208938,2022-09-22 01:24:52.732054,0 days 00:00:59.523116,29,292,64,2,510,386,COMPLETE
90,0.9354662759911742,2022-09-22 02:02:42.035076,2022-09-22 02:03:29.205894,0 days 00:00:47.170818,23,288,59,7,501,304,COMPLETE
60,0.9354640806632089,2022-09-22 01:30:11.715168,2022-09-22 01:31:24.168613,0 days 00:01:12.453445,28,299,51,7,491,471,COMPLETE
86,0.9354585378056979,2022-09-22 01:58:52.002552,2022-09-22 02:00:06.756816,0 days 00:01:14.754264,28,297,69,6,456,488,COMPLETE
0,0.9354544258819555,2022-09-22 00:45:20.192417,2022-09-22 00:46:20.661072,0 days 00:01:00.468655,26,288,90,27,509,273,COMPLETE
57,0.9354223334936143,2022-09-22 01:26:59.337559,2022-09-22 01:27:55.582449,0 days 00:00:56.244890,27,291,70,7,479,365,COMPLETE
92,0.9354035418611641,2022-09-22 02:04:21.300902,2022-09-22 02:05:19.004837,0 days 00:00:57.703935,20,294,63,4,468,375,COMPLETE
69,0.9353948385704773,2022-09-22 01:40:38.571448,2022-09-22 01:41:46.159894,0 days 00:01:07.588446,30,282,53,9,496,442,COMPLETE
5,0.9353930841848316,2022-09-22 00:50:19.815198,2022-09-22 00:50:56.828807,0 days 00:00:37.013609,29,279,85,5,496,238,COMPLETE
72,0.935367174030377,2022-09-22 01:44:00.224586,2022-09-22 01:45:09.964456,0 days 00:01:09.739870,28,295,55,3,500,454,COMPLETE
71,0.9353493054368452,2022-09-22 01:42:47.027508,2022-09-22 01:44:00.224367,0 days 00:01:13.196859,28,294,60,3,458,478,COMPLETE
83,0.9353440548524344,2022-09-22 01:55:34.626076,2022-09-22 01:56:43.039360,0 days 00:01:08.413284,28,289,62,4,502,446,COMPLETE
82,0.9353311554482493,2022-09-22 01:54:40.503329,2022-09-22 01:55:34.625849,0 days 00:00:54.122520,30,295,73,8,488,350,COMPLETE
68,0.9353308457498295,2022-09-22 01:39:35.420099,2022-09-22 01:40:38.571268,0 days 00:01:03.151169,18,292,43,6,471,413,COMPLETE
61,0.935321410501092,2022-09-22 01:31:24.168825,2022-09-22 01:32:29.509292,0 days 00:01:05.340467,29,286,63,2,469,427,COMPLETE
93,0.9353124078613503,2022-09-22 02:05:19.005096,2022-09-22 02:06:10.839211,0 days 00:00:51.834115,22,282,55,5,476,336,COMPLETE
95,0.9353019557621318,2022-09-22 02:07:04.984378,2022-09-22 02:07:55.911689,0 days 00:00:50.927311,24,289,72,12,461,330,COMPLETE
85,0.9352490301100831,2022-09-22 01:57:41.060656,2022-09-22 01:58:52.002356,0 days 00:01:10.941700,30,281,65,2,475,464,COMPLETE
97,0.9352220140443456,2022-09-22 02:08:45.397802,2022-09-22 02:09:40.684992,0 days 00:00:55.287190,21,284,58,9,504,359,COMPLETE
52,0.9350800250945072,2022-09-22 01:22:05.867717,2022-09-22 01:22:56.215964,0 days 00:00:50.348247,29,300,57,6,483,324,COMPLETE
65,0.935062635883289,2022-09-22 01:36:06.222158,2022-09-22 01:37:16.064920,0 days 00:01:09.842762,27,284,56,3,461,456,COMPLETE
98,0.9350139724294667,2022-09-22 02:09:40.685194,2022-09-22 02:10:26.691368,0 days 00:00:46.006174,23,292,69,4,419,298,COMPLETE
64,0.9349507732095076,2022-09-22 01:34:53.640961,2022-09-22 01:36:06.221964,0 days 00:01:12.581003,28,294,45,4,450,474,COMPLETE
56,0.9349472462798675,2022-09-22 01:25:54.051716,2022-09-22 01:26:59.337240,0 days 00:01:05.285524,30,283,58,4,428,426,COMPLETE
80,0.9349471994041155,2022-09-22 01:52:48.188721,2022-09-22 01:53:46.155360,0 days 00:00:57.966639,25,286,50,5,433,380,COMPLETE
77,0.9349306658962984,2022-09-22 01:49:39.612468,2022-09-22 01:50:50.963483,0 days 00:01:11.351015,28,278,54,2,499,466,COMPLETE
73,0.9349231569660633,2022-09-22 01:45:09.964662,2022-09-22 01:46:19.387070,0 days 00:01:09.422408,29,285,49,2,423,456,COMPLETE
24,0.934870507435569,2022-09-22 01:02:49.923389,2022-09-22 01:03:35.197056,0 days 00:00:45.273667,30,279,77,18,312,296,COMPLETE
75,0.9347741795280533,2022-09-22 01:47:26.154116,2022-09-22 01:48:40.270681,0 days 00:01:14.116565,29,270,66,4,486,485,COMPLETE
78,0.9347490077947144,2022-09-22 01:50:50.963714,2022-09-22 01:51:43.642808,0 days 00:00:52.679094,29,294,52,11,466,341,COMPLETE
49,0.9347254721316255,2022-09-22 01:19:41.825821,2022-09-22 01:20:24.686325,0 days 00:00:42.860504,30,289,30,5,455,277,COMPLETE
47,0.9346881983948763,2022-09-22 01:18:22.093608,2022-09-22 01:18:58.472903,0 days 00:00:36.379295,30,263,76,5,507,233,COMPLETE
66,0.9345193522497978,2022-09-22 01:37:16.065140,2022-09-22 01:38:31.815476,0 days 00:01:15.750336,29,268,61,5,441,496,COMPLETE
32,0.9345125043854058,2022-09-22 01:08:50.628501,2022-09-22 01:09:27.177161,0 days 00:00:36.548660,28,277,84,23,318,238,COMPLETE
42,0.934503240217171,2022-09-22 01:15:37.994534,2022-09-22 01:16:09.712092,0 days 00:00:31.717558,28,274,88,30,343,205,COMPLETE
11,0.9344733653066587,2022-09-22 00:54:51.567189,2022-09-22 00:55:23.819163,0 days 00:00:32.251974,27,290,81,30,317,208,COMPLETE
34,0.9344160473761456,2022-09-22 01:10:05.150517,2022-09-22 01:10:46.404986,0 days 00:00:41.254469,30,261,85,22,332,270,COMPLETE
15,0.9343672935616661,2022-09-22 00:56:52.501361,2022-09-22 00:57:19.663922,0 days 00:00:27.162561,16,298,72,30,365,173,COMPLETE
70,0.9343461961369572,2022-09-22 01:41:46.160074,2022-09-22 01:42:47.027292,0 days 00:01:00.867218,27,257,65,4,490,400,COMPLETE
27,0.9343127975867325,2022-09-22 01:05:11.417530,2022-09-22 01:05:51.186323,0 days 00:00:39.768793,29,279,92,20,190,263,COMPLETE
33,0.9342450029033428,2022-09-22 01:09:27.177491,2022-09-22 01:10:05.150319,0 days 00:00:37.972828,28,273,95,23,491,244,COMPLETE
21,0.9342009875726256,2022-09-22 01:01:14.917776,2022-09-22 01:01:47.944536,0 days 00:00:33.026760,27,285,82,29,275,216,COMPLETE
87,0.9341067481487615,2022-09-22 02:00:06.757096,2022-09-22 02:01:10.066646,0 days 00:01:03.309550,29,274,67,8,494,414,COMPLETE
94,0.9341064786899834,2022-09-22 02:06:10.839416,2022-09-22 02:07:04.984067,0 days 00:00:54.144651,20,277,65,2,442,353,COMPLETE
17,0.9340752580707865,2022-09-22 00:58:00.105746,2022-09-22 00:58:57.652913,0 days 00:00:57.547167,25,269,71,20,255,384,COMPLETE
41,0.9340632375461747,2022-09-22 01:15:06.381643,2022-09-22 01:15:37.994332,0 days 00:00:31.612689,27,290,79,27,316,203,COMPLETE
23,0.934006205105455,2022-09-22 01:02:15.430217,2022-09-22 01:02:49.923213,0 days 00:00:34.492996,26,252,87,23,359,224,COMPLETE
25,0.9338704002593655,2022-09-22 01:03:35.197283,2022-09-22 01:04:27.016605,0 days 00:00:51.819322,30,261,75,18,466,338,COMPLETE
46,0.9337913371139781,2022-09-22 01:17:43.087646,2022-09-22 01:18:22.093424,0 days 00:00:39.005778,30,247,74,3,479,253,COMPLETE
22,0.9337141656187934,2022-09-22 01:01:47.944724,2022-09-22 01:02:15.430055,0 days 00:00:27.485331,28,298,80,28,233,178,COMPLETE
16,0.933713204658521,2022-09-22 00:57:19.664111,2022-09-22 00:58:00.105557,0 days 00:00:40.441446,29,249,90,14,288,268,COMPLETE
39,0.9336590271725321,2022-09-22 01:13:44.669657,2022-09-22 01:14:31.038098,0 days 00:00:46.368441,24,256,69,19,296,307,COMPLETE
12,0.9336096718559657,2022-09-22 00:55:23.819370,2022-09-22 00:55:56.096303,0 days 00:00:32.276933,23,270,89,17,340,208,COMPLETE
40,0.9335375046830445,2022-09-22 01:14:31.038272,2022-09-22 01:15:06.381461,0 days 00:00:35.343189,19,280,82,16,410,227,COMPLETE
8,0.9335156001380033,2022-09-22 00:52:31.153613,2022-09-22 00:53:19.682263,0 days 00:00:48.528650,18,250,59,6,411,318,COMPLETE
9,0.9333924781242634,2022-09-22 00:53:19.682420,2022-09-22 00:54:34.335107,0 days 00:01:14.652687,30,233,37,2,482,496,COMPLETE
79,0.9333814328796721,2022-09-22 01:51:43.643053,2022-09-22 01:52:48.188492,0 days 00:01:04.545439,27,266,46,5,408,424,COMPLETE
43,0.9333545266876969,2022-09-22 01:16:09.712259,2022-09-22 01:16:40.033844,0 days 00:00:30.321585,29,272,88,27,497,193,COMPLETE
