iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
189,0.9686471377223586,2022-09-28 17:01:25.750438,2022-09-28 17:02:54.677268,0 days 00:01:28.926830,32.0,400.0,150.0,28.0,501.0,457.0,COMPLETE
197,0.9685487873998008,2022-09-28 17:13:22.758232,2022-09-28 17:14:50.770570,0 days 00:01:28.012338,33.0,400.0,150.0,31.0,501.0,452.0,COMPLETE
193,0.9682921072008625,2022-09-28 17:07:20.784866,2022-09-28 17:08:50.239316,0 days 00:01:29.454450,31.0,400.0,150.0,29.0,524.0,460.0,COMPLETE
195,0.9682821958425625,2022-09-28 17:10:23.598351,2022-09-28 17:11:53.222919,0 days 00:01:29.624568,32.0,398.0,148.0,32.0,531.0,460.0,COMPLETE
188,0.9682275896063658,2022-09-28 16:59:57.007836,2022-09-28 17:01:25.750144,0 days 00:01:28.742308,32.0,400.0,148.0,28.0,505.0,457.0,COMPLETE
240,0.968161567951877,2022-09-28 18:36:48.540202,2022-09-28 18:37:59.277450,0 days 00:01:10.737248,34.0,400.0,148.0,34.0,473.0,452.0,COMPLETE
211,0.9681615281902769,2022-09-28 17:34:35.126239,2022-09-28 17:36:03.782542,0 days 00:01:28.656303,32.0,394.0,144.0,31.0,505.0,456.0,COMPLETE
199,0.9681196060549508,2022-09-28 17:16:18.884352,2022-09-28 17:17:49.195494,0 days 00:01:30.311142,34.0,400.0,148.0,35.0,505.0,464.0,COMPLETE
133,0.968093283687343,2022-09-28 15:41:55.612178,2022-09-28 15:43:20.127512,0 days 00:01:24.515334,32.0,393.0,141.0,24.0,486.0,435.0,COMPLETE
277,0.9680834132073269,2022-09-28 19:19:28.952547,2022-09-28 19:20:01.145868,0 days 00:00:32.193321,33.0,400.0,148.0,33.0,491.0,202.0,COMPLETE
26,0.9680554968362012,2022-09-28 13:14:56.415608,2022-09-28 13:16:16.516496,0 days 00:01:20.100888,50.0,400.0,149.0,14.0,142.0,422.0,COMPLETE
166,0.9680267483114953,2022-09-28 16:28:50.825753,2022-09-28 16:30:18.955658,0 days 00:01:28.129905,31.0,392.0,143.0,8.0,523.0,452.0,COMPLETE
