iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
58,0.9102131803487201,2022-09-28 21:14:20.889869,2022-09-28 21:16:00.706081,0 days 00:01:39.816212,31.0,396.0,92.0,30.0,340.0,519.0,COMPLETE
206,0.9101705136616367,2022-09-29 02:05:58.738602,2022-09-29 02:07:13.304294,0 days 00:01:14.565692,29.0,384.0,82.0,22.0,298.0,482.0,COMPLETE
121,0.9101138110127722,2022-09-28 22:56:28.542083,2022-09-28 22:58:02.188529,0 days 00:01:33.646446,27.0,393.0,112.0,18.0,542.0,481.0,COMPLETE
119,0.9101138110127722,2022-09-28 22:53:27.033819,2022-09-28 22:55:00.201125,0 days 00:01:33.167306,27.0,394.0,108.0,18.0,533.0,480.0,COMPLETE
151,0.9101038740791775,2022-09-28 23:42:12.243438,2022-09-28 23:43:45.078298,0 days 00:01:32.834860,27.0,385.0,90.0,22.0,285.0,490.0,COMPLETE
154,0.9100740632783931,2022-09-28 23:46:50.030350,2022-09-28 23:48:22.516136,0 days 00:01:32.485786,30.0,388.0,102.0,19.0,305.0,481.0,COMPLETE
212,0.9100180918109704,2022-09-29 02:13:31.110572,2022-09-29 02:14:45.451012,0 days 00:01:14.340440,27.0,380.0,95.0,20.0,304.0,478.0,COMPLETE
161,0.909984956626043,2022-09-29 01:08:46.096282,2022-09-29 01:10:10.955401,0 days 00:01:24.859119,29.0,381.0,106.0,22.0,298.0,502.0,COMPLETE
157,0.9099846308760401,2022-09-28 23:51:26.955898,2022-09-28 23:52:59.277906,0 days 00:01:32.322008,28.0,380.0,102.0,20.0,305.0,481.0,COMPLETE
156,0.9099846308760401,2022-09-28 23:49:54.438363,2022-09-28 23:51:26.955597,0 days 00:01:32.517234,28.0,380.0,102.0,20.0,305.0,481.0,COMPLETE
222,0.9099650755150864,2022-09-29 02:25:57.069326,2022-09-29 02:27:11.537456,0 days 00:01:14.468130,29.0,381.0,100.0,22.0,304.0,480.0,COMPLETE
213,0.9099518214411154,2022-09-29 02:14:45.451253,2022-09-29 02:15:59.636209,0 days 00:01:14.184956,26.0,382.0,95.0,22.0,304.0,477.0,COMPLETE
178,0.9099418808856372,2022-09-29 01:30:55.664386,2022-09-29 01:32:10.985801,0 days 00:01:15.321415,27.0,389.0,91.0,21.0,324.0,481.0,COMPLETE
259,0.909931940330159,2022-09-29 03:12:57.503365,2022-09-29 03:14:10.282060,0 days 00:01:12.778695,30.0,394.0,101.0,21.0,285.0,471.0,COMPLETE
155,0.9099283215856696,2022-09-28 23:48:22.516422,2022-09-28 23:49:54.438105,0 days 00:01:31.921683,28.0,385.0,95.0,20.0,307.0,480.0,COMPLETE
114,0.9099250092744714,2022-09-28 22:45:51.107652,2022-09-28 22:47:22.366553,0 days 00:01:31.258901,27.0,396.0,83.0,21.0,303.0,480.0,COMPLETE
