iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
93,0.730434783,50:05.7,52:18.6,0 days 00:02:12.908536,22,300,43,2,321,481,COMPLETE
21,0.730361556,28:09.1,30:22.1,0 days 00:02:12.976293,23,299,82,2,299,481,COMPLETE
32,0.729135011,48:07.9,50:07.2,0 days 00:01:59.311877,27,300,83,5,288,432,COMPLETE
11,0.728402746,08:47.8,11:05.3,0 days 00:02:17.533176,27,299,81,4,353,496,COMPLETE
96,0.72816476,56:40.4,58:58.8,0 days 00:02:18.380317,21,300,35,2,338,500,COMPLETE
95,0.728146453,54:24.6,56:40.4,0 days 00:02:15.787628,21,300,39,2,280,499,COMPLETE
64,0.727853547,51:27.0,53:33.0,0 days 00:02:06.052365,27,299,43,5,366,456,COMPLETE
51,0.727798627,24:11.1,26:25.3,0 days 00:02:14.229865,27,293,44,6,385,486,COMPLETE
12,0.727762014,11:05.3,13:21.5,0 days 00:02:16.212330,24,299,79,3,324,494,COMPLETE
91,0.727652174,45:40.7,47:52.7,0 days 00:02:11.993836,22,290,48,3,310,480,COMPLETE
62,0.727359268,46:54.3,49:10.2,0 days 00:02:15.883898,27,293,50,5,385,490,COMPLETE
23,0.727322654,32:31.2,34:19.8,0 days 00:01:48.583789,26,296,74,9,273,399,COMPLETE
92,0.727286041,47:52.7,50:05.7,0 days 00:02:12.944699,22,297,48,2,324,482,COMPLETE
82,0.726901602,28:12.4,30:22.6,0 days 00:02:10.153564,27,296,57,5,376,470,COMPLETE
85,0.726810069,34:36.0,36:47.2,0 days 00:02:11.229145,22,289,47,3,314,477,COMPLETE
48,0.726791762,18:17.8,20:32.5,0 days 00:02:14.651983,27,294,53,6,389,486,COMPLETE
59,0.726736842,40:54.3,43:06.1,0 days 00:02:11.745887,30,272,75,4,331,481,COMPLETE
65,0.726572082,53:33.0,55:39.2,0 days 00:02:06.217957,27,293,40,4,384,457,COMPLETE
13,0.726224256,13:21.5,15:35.9,0 days 00:02:14.333998,23,296,81,3,309,487,COMPLETE
66,0.72615103,55:39.2,57:50.4,0 days 00:02:11.126814,29,300,46,2,369,474,COMPLETE
30,0.72609611,44:14.8,46:18.6,0 days 00:02:03.834194,29,287,71,2,351,450,COMPLETE
26,0.72598627,38:38.4,40:33.0,0 days 00:01:54.654617,27,286,95,11,403,414,COMPLETE
73,0.72593135,10:27.2,12:39.0,0 days 00:02:11.807415,26,300,83,6,307,477,COMPLETE
75,0.725839817,14:42.2,16:57.5,0 days 00:02:15.290682,27,285,48,7,328,492,COMPLETE
61,0.725803204,44:39.6,46:54.3,0 days 00:02:14.646990,27,294,50,6,393,487,COMPLETE
78,0.725784897,21:07.2,22:13.6,0 days 00:01:06.332887,26,289,69,2,237,243,COMPLETE
83,0.725656751,30:22.6,32:32.8,0 days 00:02:10.244568,16,300,56,5,383,469,COMPLETE
81,0.725638444,25:58.0,28:12.4,0 days 00:02:14.423541,27,295,51,6,392,485,COMPLETE
94,0.725345538,52:18.6,54:24.6,0 days 00:02:06.066475,23,290,44,3,300,459,COMPLETE
43,0.725327231,09:08.0,11:02.9,0 days 00:01:54.843594,27,299,78,7,273,422,COMPLETE
54,0.725308924,30:56.9,33:05.7,0 days 00:02:08.897648,27,280,48,3,421,466,COMPLETE
45,0.725144165,13:11.4,14:59.3,0 days 00:01:47.856888,29,289,57,4,216,400,COMPLETE
68,0.725144165,59:55.9,01:58.0,0 days 00:02:02.114108,28,286,53,8,415,442,COMPLETE
40,0.725125858,03:11.0,05:22.0,0 days 00:02:11.048508,25,289,82,28,362,475,COMPLETE
35,0.724979405,54:23.3,56:32.2,0 days 00:02:08.898348,24,300,78,4,297,468,COMPLETE
31,0.724668192,46:18.6,48:07.9,0 days 00:01:49.223575,26,297,74,9,266,402,COMPLETE
97,0.724631579,58:58.8,01:16.7,0 days 00:02:17.873507,20,300,35,2,342,499,COMPLETE
15,0.724503432,17:39.8,19:35.8,0 days 00:01:55.959554,30,299,88,12,364,419,COMPLETE
70,0.724466819,04:08.0,06:23.3,0 days 00:02:15.293864,30,280,53,5,428,491,COMPLETE
22,0.724356979,30:22.1,32:31.2,0 days 00:02:09.133639,22,282,97,2,373,469,COMPLETE
84,0.724302059,32:32.8,34:36.0,0 days 00:02:03.177664,28,280,61,5,272,455,COMPLETE
33,0.72402746,50:07.2,52:24.4,0 days 00:02:17.209452,27,280,83,5,400,500,COMPLETE
79,0.724009153,22:13.6,24:12.9,0 days 00:01:59.317113,27,266,81,4,359,435,COMPLETE
76,0.723624714,16:57.5,18:50.8,0 days 00:01:53.337011,28,294,73,17,458,408,COMPLETE
90,0.723606407,43:45.2,45:40.7,0 days 00:01:55.485123,27,289,77,7,365,418,COMPLETE
98,0.723423341,01:16.7,03:28.3,0 days 00:02:11.646622,21,286,33,2,319,479,COMPLETE
72,0.723405034,08:19.6,10:27.2,0 days 00:02:07.660348,27,286,80,4,400,462,COMPLETE
63,0.723405034,49:10.2,51:27.0,0 days 00:02:16.820111,28,283,36,3,302,499,COMPLETE
74,0.723313501,12:39.0,14:42.2,0 days 00:02:03.149478,25,295,86,10,368,446,COMPLETE
57,0.723276888,36:56.8,39:03.2,0 days 00:02:06.375491,29,259,85,2,311,464,COMPLETE
52,0.723075515,26:25.3,28:39.4,0 days 00:02:14.079569,28,291,36,5,347,486,COMPLETE
88,0.723057208,40:49.1,41:32.8,0 days 00:00:43.692336,28,283,42,6,410,157,COMPLETE
56,0.722965675,35:04.0,36:56.8,0 days 00:01:52.764330,24,291,79,5,328,409,COMPLETE
46,0.722782609,14:59.3,16:18.2,0 days 00:01:18.855978,25,264,82,9,459,285,COMPLETE
67,0.722782609,57:50.4,59:55.9,0 days 00:02:05.506764,24,278,45,5,355,457,COMPLETE
50,0.722343249,22:11.7,24:11.1,0 days 00:01:59.361065,22,249,77,11,415,436,COMPLETE
69,0.722306636,01:58.0,04:08.0,0 days 00:02:09.981977,23,270,39,3,340,474,COMPLETE
24,0.721995423,34:19.8,36:25.1,0 days 00:02:05.297628,24,269,85,5,319,458,COMPLETE
25,0.721665904,36:25.1,38:38.4,0 days 00:02:13.278765,20,228,64,8,342,493,COMPLETE
71,0.721647597,06:23.3,08:19.6,0 days 00:01:56.284791,26,293,44,7,286,424,COMPLETE
41,0.721592677,05:22.0,07:06.8,0 days 00:01:44.736100,28,290,75,10,294,382,COMPLETE
53,0.721281465,28:39.4,30:56.9,0 days 00:02:17.454530,26,300,42,7,283,499,COMPLETE
5,0.721244851,01:09.2,02:46.3,0 days 00:01:37.141897,25,244,42,19,407,356,COMPLETE
77,0.721153318,18:50.8,21:07.2,0 days 00:02:16.429354,25,274,40,3,292,499,COMPLETE
34,0.721006865,52:24.4,54:23.3,0 days 00:01:58.881670,29,267,92,7,318,435,COMPLETE
42,0.720988558,07:06.8,09:08.0,0 days 00:02:01.260541,26,273,70,4,275,449,COMPLETE
38,0.720970252,00:36.5,01:39.7,0 days 00:01:03.173298,25,258,64,21,329,230,COMPLETE
89,0.720897025,41:32.8,43:45.2,0 days 00:02:12.429288,25,276,60,27,256,490,COMPLETE
1,0.720897025,56:04.6,58:08.0,0 days 00:02:03.335353,28,267,80,6,378,449,COMPLETE
60,0.720732265,43:06.1,44:39.6,0 days 00:01:33.531445,26,284,30,9,263,345,COMPLETE
17,0.720457666,21:47.6,22:51.6,0 days 00:01:04.054903,26,277,73,14,233,237,COMPLETE
37,0.720311213,58:36.7,00:36.5,0 days 00:01:59.754330,23,275,93,6,379,435,COMPLETE
86,0.720237986,36:47.2,38:50.3,0 days 00:02:03.056169,20,296,83,4,377,443,COMPLETE
27,0.720201373,40:33.0,42:17.1,0 days 00:01:44.067552,24,265,78,4,302,382,COMPLETE
2,0.719981693,58:08.0,59:03.2,0 days 00:00:55.232842,19,232,93,23,484,202,COMPLETE
0,0.71994508,55:25.0,56:04.6,0 days 00:00:39.633698,25,283,68,9,430,143,COMPLETE
36,0.719560641,56:32.2,58:36.7,0 days 00:02:04.558453,18,232,85,23,238,468,COMPLETE
28,0.719432494,42:17.1,43:42.2,0 days 00:01:25.123229,22,254,88,13,197,318,COMPLETE
4,0.719395881,59:49.8,01:09.2,0 days 00:01:19.316889,22,217,99,10,183,300,COMPLETE
9,0.719286041,05:51.8,07:35.2,0 days 00:01:43.407009,16,246,57,30,134,390,COMPLETE
47,0.718901602,16:18.2,18:17.8,0 days 00:01:59.662094,23,214,72,3,248,454,COMPLETE
