iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
217,0.8751390689375317,2022-06-11 12:40:58.361808,2022-06-11 12:42:17.683103,0 days 00:01:19.321295,41.0,492.0,144.0,9.0,223.0,280.0,COMPLETE
153,0.8745701302672919,2022-06-11 11:14:35.774597,2022-06-11 11:15:55.282463,0 days 00:01:19.507866,47.0,500.0,142.0,6.0,215.0,281.0,COMPLETE
232,0.8741987044104329,2022-06-11 13:00:57.925309,2022-06-11 13:02:18.047276,0 days 00:01:20.121967,40.0,494.0,142.0,8.0,181.0,285.0,COMPLETE
251,0.8740628302969964,2022-06-11 13:26:03.237072,2022-06-11 13:27:21.419403,0 days 00:01:18.182331,41.0,500.0,141.0,9.0,203.0,277.0,COMPLETE
155,0.8739400939353187,2022-06-11 11:17:08.764039,2022-06-11 11:18:27.956109,0 days 00:01:19.192070,48.0,489.0,147.0,7.0,211.0,280.0,COMPLETE
279,0.8738933403511162,2022-06-11 14:06:10.991881,2022-06-11 14:07:31.739818,0 days 00:01:20.747937,38.0,500.0,139.0,6.0,178.0,289.0,COMPLETE
256,0.873792646560575,2022-06-11 13:32:41.488478,2022-06-11 13:33:58.045591,0 days 00:01:16.557113,42.0,488.0,150.0,9.0,191.0,272.0,COMPLETE
272,0.8737056315600036,2022-06-11 13:55:06.001138,2022-06-11 13:56:28.590943,0 days 00:01:22.589805,40.0,500.0,143.0,6.0,203.0,293.0,COMPLETE
220,0.8736495053257647,2022-06-11 12:45:00.484357,2022-06-11 12:46:21.352718,0 days 00:01:20.868361,40.0,492.0,144.0,10.0,193.0,286.0,COMPLETE
221,0.8736392480562086,2022-06-11 12:46:21.352989,2022-06-11 12:47:40.085101,0 days 00:01:18.732112,39.0,492.0,144.0,10.0,208.0,286.0,COMPLETE
281,0.8734720610958933,2022-06-11 14:08:58.032772,2022-06-11 14:10:14.745186,0 days 00:01:16.712414,38.0,490.0,142.0,6.0,181.0,273.0,COMPLETE
156,0.8733460128797811,2022-06-11 11:18:27.956457,2022-06-11 11:19:45.300774,0 days 00:01:17.344317,46.0,489.0,146.0,8.0,231.0,274.0,COMPLETE
211,0.8732384833400977,2022-06-11 12:33:20.645821,2022-06-11 12:34:37.306992,0 days 00:01:16.661171,45.0,482.0,136.0,8.0,175.0,274.0,COMPLETE
141,0.8731574267608343,2022-06-11 10:59:22.451503,2022-06-11 11:00:43.320702,0 days 00:01:20.869199,48.0,500.0,133.0,7.0,198.0,292.0,COMPLETE
231,0.8731534569105242,2022-06-11 12:59:38.266852,2022-06-11 13:00:57.925048,0 days 00:01:19.658196,40.0,494.0,142.0,8.0,180.0,288.0,COMPLETE
267,0.873144193926467,2022-06-11 13:47:54.471684,2022-06-11 13:49:17.973982,0 days 00:01:23.502298,42.0,495.0,146.0,7.0,180.0,303.0,COMPLETE
234,0.8731094595591742,2022-06-11 13:03:37.770632,2022-06-11 13:05:01.801068,0 days 00:01:24.030436,39.0,483.0,147.0,9.0,193.0,298.0,COMPLETE
169,0.873022554224582,2022-06-11 11:35:48.033875,2022-06-11 11:37:08.191711,0 days 00:01:20.157836,44.0,496.0,139.0,10.0,186.0,290.0,COMPLETE
111,0.8730161571393571,2022-06-11 10:17:02.425594,2022-06-11 10:18:21.989526,0 days 00:01:19.563932,15.0,485.0,71.0,19.0,319.0,278.0,COMPLETE
218,0.8728603314000758,2022-06-11 12:42:17.683375,2022-06-11 12:43:38.748622,0 days 00:01:21.065247,42.0,492.0,145.0,9.0,213.0,287.0,COMPLETE
173,0.8727683595553807,2022-06-11 11:41:15.535800,2022-06-11 11:42:35.711869,0 days 00:01:20.176069,46.0,483.0,145.0,10.0,167.0,286.0,COMPLETE
216,0.8727581022858247,2022-06-11 12:39:39.407165,2022-06-11 12:40:58.361574,0 days 00:01:18.954409,42.0,491.0,142.0,9.0,211.0,279.0,COMPLETE
146,0.8727504915831422,2022-06-11 11:05:43.026402,2022-06-11 11:07:00.186679,0 days 00:01:17.160277,50.0,494.0,137.0,7.0,206.0,277.0,COMPLETE
237,0.8727213793475341,2022-06-11 13:07:47.832829,2022-06-11 13:09:04.465023,0 days 00:01:16.632194,39.0,500.0,146.0,10.0,211.0,271.0,COMPLETE
164,0.8727213793475341,2022-06-11 11:28:47.517448,2022-06-11 11:30:10.997064,0 days 00:01:23.479616,47.0,500.0,138.0,10.0,210.0,299.0,COMPLETE
