iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
220,0.9656321334749924,2022-06-11 03:13:42.577104,2022-06-11 03:15:02.911807,0 days 00:01:20.334703,47,477,141,15,149,288,COMPLETE
216,0.9656278969116872,2022-06-11 03:08:25.307569,2022-06-11 03:09:41.741840,0 days 00:01:16.434271,31,484,145,15,384,274,COMPLETE
194,0.9654610760886883,2022-06-11 02:37:59.957638,2022-06-11 02:39:11.540237,0 days 00:01:11.582599,28,494,139,16,143,258,COMPLETE
276,0.9654161512014378,2022-06-11 04:29:25.955581,2022-06-11 04:30:45.602225,0 days 00:01:19.646644,27,493,134,10,151,284,COMPLETE
210,0.9654057859265229,2022-06-11 02:58:42.478828,2022-06-11 03:00:02.084500,0 days 00:01:19.605672,32,496,142,12,157,283,COMPLETE
227,0.9653813947263995,2022-06-11 03:23:12.377210,2022-06-11 03:24:33.185507,0 days 00:01:20.808297,33,494,148,15,427,279,COMPLETE
288,0.9653747579838223,2022-06-11 04:46:07.325075,2022-06-11 04:47:29.580418,0 days 00:01:22.255343,28,467,133,11,149,294,COMPLETE
43,0.9653260394121669,2022-06-10 23:11:14.794195,2022-06-10 23:12:31.403785,0 days 00:01:16.609590,32,459,126,10,149,276,COMPLETE
277,0.9653040363664429,2022-06-11 04:30:45.602566,2022-06-11 04:32:03.152002,0 days 00:01:17.549436,27,491,136,10,154,282,COMPLETE
273,0.9652950939221883,2022-06-11 04:25:33.788640,2022-06-11 04:26:50.251558,0 days 00:01:16.462918,25,491,138,11,159,274,COMPLETE
135,0.9652899476092003,2022-06-11 01:22:30.279175,2022-06-11 01:23:49.908115,0 days 00:01:19.628940,26,489,68,11,181,284,COMPLETE
137,0.9652776539541286,2022-06-11 01:24:56.750851,2022-06-11 01:26:13.882989,0 days 00:01:17.132138,25,495,68,10,154,282,COMPLETE
191,0.9652648603366898,2022-06-11 02:34:15.778286,2022-06-11 02:35:31.666111,0 days 00:01:15.887825,30,492,129,15,143,274,COMPLETE
209,0.9652405081508553,2022-06-11 02:57:24.420567,2022-06-11 02:58:42.478609,0 days 00:01:18.058042,32,500,142,14,156,283,COMPLETE
232,0.9652242295571754,2022-06-11 03:30:47.720107,2022-06-11 03:32:07.346574,0 days 00:01:19.626467,46,491,148,15,147,286,COMPLETE
208,0.9652102267576579,2022-06-11 02:56:06.581338,2022-06-11 02:57:24.420316,0 days 00:01:17.838978,32,495,141,14,139,280,COMPLETE
246,0.9651712690700645,2022-06-11 03:49:29.893424,2022-06-11 03:50:46.985437,0 days 00:01:17.092013,45,487,148,11,146,278,COMPLETE
285,0.9651491865577073,2022-06-11 04:42:05.746717,2022-06-11 04:43:23.899173,0 days 00:01:18.152456,27,475,134,11,144,285,COMPLETE
266,0.9651458776431089,2022-06-11 04:15:09.289386,2022-06-11 04:16:26.097799,0 days 00:01:16.808413,25,488,139,30,157,273,COMPLETE
141,0.9651247009139203,2022-06-11 01:30:44.261742,2022-06-11 01:32:07.174533,0 days 00:01:22.912791,30,496,70,10,180,301,COMPLETE
255,0.9651069117776423,2022-06-11 04:01:10.570724,2022-06-11 04:02:27.243439,0 days 00:01:16.672715,27,486,146,13,146,277,COMPLETE
271,0.9650725736092568,2022-06-11 04:21:28.715267,2022-06-11 04:22:43.882583,0 days 00:01:15.167316,26,491,143,11,156,272,COMPLETE
240,0.9650699273473184,2022-06-11 03:41:24.608135,2022-06-11 03:42:44.919336,0 days 00:01:20.311201,45,488,147,10,364,283,COMPLETE
180,0.9650653891609948,2022-06-11 02:20:55.687784,2022-06-11 02:22:13.477028,0 days 00:01:17.789244,31,500,128,13,155,278,COMPLETE
262,0.9650550347439061,2022-06-11 04:09:56.162546,2022-06-11 04:11:12.332707,0 days 00:01:16.170161,26,486,148,13,159,273,COMPLETE
153,0.9650322266178111,2022-06-11 01:46:02.553898,2022-06-11 01:47:22.086601,0 days 00:01:19.532703,38,495,68,12,180,288,COMPLETE
256,0.965003975324316,2022-06-11 04:02:27.243768,2022-06-11 04:03:42.989039,0 days 00:01:15.745271,26,500,147,7,147,271,COMPLETE
110,0.9649971534491806,2022-06-11 00:48:18.696485,2022-06-11 00:49:38.992149,0 days 00:01:20.295664,38,494,88,27,177,285,COMPLETE
152,0.9649631416247298,2022-06-11 01:44:43.190481,2022-06-11 01:46:02.553608,0 days 00:01:19.363127,20,495,68,12,178,285,COMPLETE
260,0.9649609665991119,2022-06-11 04:07:21.124006,2022-06-11 04:08:38.428986,0 days 00:01:17.304980,26,487,146,13,161,277,COMPLETE
130,0.964956786802522,2022-06-11 01:16:40.772189,2022-06-11 01:17:51.894143,0 days 00:01:11.121954,30,500,77,23,175,254,COMPLETE
63,0.9649444813896546,2022-06-10 23:40:26.912249,2022-06-10 23:41:45.815227,0 days 00:01:18.902978,33,496,90,3,142,286,COMPLETE
250,0.9649357112266692,2022-06-11 03:54:36.492866,2022-06-11 03:55:53.727485,0 days 00:01:17.234619,45,488,147,15,147,276,COMPLETE
74,0.9649322243765057,2022-06-10 23:55:38.311198,2022-06-10 23:56:50.951798,0 days 00:01:12.640600,31,490,103,6,139,262,COMPLETE
221,0.9649287492186868,2022-06-11 03:15:02.912100,2022-06-11 03:16:24.219635,0 days 00:01:21.307535,33,479,142,15,145,291,COMPLETE
162,0.964919561307686,2022-06-11 01:57:29.900244,2022-06-11 01:58:46.264788,0 days 00:01:16.364544,18,480,70,12,134,279,COMPLETE
235,0.9648842971978576,2022-06-11 03:34:42.434995,2022-06-11 03:36:03.128645,0 days 00:01:20.693650,46,491,150,15,365,281,COMPLETE
