iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
90,0.8208492169579352,2022-06-14 19:59:06.894844,2022-06-14 20:01:06.415937,0 days 00:01:59.521093,40.0,500.0,99.0,20.0,605.0,397.0,COMPLETE
211,0.8201995218072389,2022-06-14 23:34:30.068995,2022-06-14 23:36:01.966615,0 days 00:01:31.897620,37.0,495.0,124.0,20.0,549.0,304.0,COMPLETE
290,0.8201374808367539,2022-06-15 02:07:46.623245,2022-06-15 02:10:05.312197,0 days 00:02:18.688952,35.0,488.0,120.0,15.0,561.0,458.0,COMPLETE
218,0.8197663882436284,2022-06-14 23:45:02.904318,2022-06-14 23:46:32.496474,0 days 00:01:29.592156,35.0,491.0,122.0,20.0,560.0,297.0,COMPLETE
0,0.8189670774445121,2022-06-14 17:20:47.136692,2022-06-14 17:22:13.602431,0 days 00:01:26.465739,41.0,494.0,105.0,14.0,619.0,285.0,COMPLETE
209,0.8187502056665241,2022-06-14 23:31:30.347314,2022-06-14 23:33:00.951676,0 days 00:01:30.604362,36.0,497.0,124.0,20.0,560.0,300.0,COMPLETE
204,0.8184614372419692,2022-06-14 23:23:39.762398,2022-06-14 23:25:13.267734,0 days 00:01:33.505336,37.0,490.0,125.0,19.0,560.0,310.0,COMPLETE
213,0.8183387306231815,2022-06-14 23:37:33.413260,2022-06-14 23:39:01.974749,0 days 00:01:28.561489,37.0,500.0,124.0,15.0,544.0,293.0,COMPLETE
256,0.8176589486138728,2022-06-15 00:43:58.782962,2022-06-15 00:45:28.624357,0 days 00:01:29.841395,38.0,496.0,118.0,19.0,567.0,297.0,COMPLETE
289,0.8173531730390224,2022-06-15 02:05:32.753554,2022-06-15 02:07:46.622871,0 days 00:02:13.869317,36.0,492.0,119.0,15.0,558.0,449.0,COMPLETE
154,0.8170110713229738,2022-06-14 21:47:59.748702,2022-06-14 21:49:29.476073,0 days 00:01:29.727371,40.0,496.0,128.0,20.0,434.0,299.0,COMPLETE
205,0.8168954039385443,2022-06-14 23:25:13.267976,2022-06-14 23:26:46.652747,0 days 00:01:33.384771,37.0,490.0,125.0,20.0,559.0,309.0,COMPLETE
252,0.8167747230201067,2022-06-15 00:37:36.871194,2022-06-15 00:39:11.262126,0 days 00:01:34.390932,37.0,482.0,126.0,19.0,551.0,313.0,COMPLETE
91,0.816734506302521,2022-06-14 20:01:06.416131,2022-06-14 20:03:06.101106,0 days 00:01:59.684975,40.0,495.0,117.0,20.0,603.0,397.0,COMPLETE
141,0.816659285140167,2022-06-14 21:26:24.906684,2022-06-14 21:27:58.820550,0 days 00:01:33.913866,41.0,493.0,136.0,11.0,586.0,310.0,COMPLETE
216,0.8165729000934931,2022-06-14 23:41:58.892875,2022-06-14 23:43:31.015014,0 days 00:01:32.122139,36.0,489.0,125.0,20.0,548.0,305.0,COMPLETE
181,0.8165312320446524,2022-06-14 22:39:53.953595,2022-06-14 22:41:53.519383,0 days 00:01:59.565788,39.0,494.0,119.0,19.0,511.0,399.0,COMPLETE
173,0.816441459930714,2022-06-14 22:24:00.258579,2022-06-14 22:25:59.236613,0 days 00:01:58.978034,41.0,487.0,126.0,20.0,547.0,396.0,COMPLETE
277,0.8163660534046708,2022-06-15 01:16:05.636042,2022-06-15 01:17:38.109937,0 days 00:01:32.473895,37.0,483.0,101.0,20.0,543.0,306.0,COMPLETE
168,0.8163606831717282,2022-06-14 22:14:08.207671,2022-06-14 22:16:06.256681,0 days 00:01:58.049010,41.0,491.0,128.0,19.0,550.0,392.0,COMPLETE
61,0.8163576702214931,2022-06-14 19:10:19.603859,2022-06-14 19:11:55.742374,0 days 00:01:36.138515,40.0,500.0,131.0,19.0,577.0,317.0,COMPLETE
74,0.8163181631816319,2022-06-14 19:31:22.548530,2022-06-14 19:33:17.725120,0 days 00:01:55.176590,37.0,487.0,135.0,20.0,656.0,382.0,COMPLETE
266,0.8163054356921361,2022-06-15 00:58:58.042575,2022-06-15 01:00:32.443289,0 days 00:01:34.400714,38.0,481.0,119.0,19.0,558.0,313.0,COMPLETE
183,0.8162342026324848,2022-06-14 22:43:49.731891,2022-06-14 22:45:49.351564,0 days 00:01:59.619673,39.0,494.0,119.0,19.0,528.0,399.0,COMPLETE
269,0.8161372404169744,2022-06-15 01:04:00.368227,2022-06-15 01:05:32.586928,0 days 00:01:32.218701,39.0,485.0,117.0,18.0,545.0,306.0,COMPLETE
240,0.8161281332480861,2022-06-15 00:18:00.886821,2022-06-15 00:19:30.784015,0 days 00:01:29.897194,38.0,497.0,122.0,13.0,569.0,297.0,COMPLETE
232,0.8160633224627587,2022-06-15 00:05:49.198260,2022-06-15 00:07:19.048070,0 days 00:01:29.849810,37.0,496.0,127.0,20.0,546.0,297.0,COMPLETE
244,0.8159698311198557,2022-06-15 00:23:59.149961,2022-06-15 00:25:31.471270,0 days 00:01:32.321309,40.0,491.0,125.0,20.0,565.0,305.0,COMPLETE
201,0.8159362288413594,2022-06-14 23:17:43.893803,2022-06-14 23:19:41.777655,0 days 00:01:57.883852,41.0,497.0,133.0,20.0,560.0,392.0,COMPLETE
142,0.8158657863263267,2022-06-14 21:27:58.820744,2022-06-14 21:29:33.802629,0 days 00:01:34.981885,42.0,489.0,131.0,12.0,586.0,314.0,COMPLETE
59,0.8158330736044356,2022-06-14 19:07:15.193072,2022-06-14 19:08:51.152840,0 days 00:01:35.959768,37.0,500.0,126.0,19.0,561.0,317.0,COMPLETE
174,0.8157760897740882,2022-06-14 22:25:59.236835,2022-06-14 22:27:57.938400,0 days 00:01:58.701565,43.0,486.0,126.0,20.0,547.0,395.0,COMPLETE
229,0.815733801269331,2022-06-15 00:01:12.874563,2022-06-15 00:02:44.330372,0 days 00:01:31.455809,34.0,491.0,123.0,20.0,554.0,303.0,COMPLETE
222,0.8156868527985319,2022-06-14 23:51:00.807251,2022-06-14 23:52:27.861348,0 days 00:01:27.054097,35.0,500.0,124.0,20.0,545.0,287.0,COMPLETE
223,0.8156838328062788,2022-06-14 23:52:27.861570,2022-06-14 23:53:52.449915,0 days 00:01:24.588345,36.0,500.0,125.0,20.0,544.0,280.0,COMPLETE
182,0.8156734158537585,2022-06-14 22:41:53.519595,2022-06-14 22:43:49.731676,0 days 00:01:56.212081,39.0,495.0,120.0,19.0,531.0,387.0,COMPLETE
5,0.8156221318998296,2022-06-14 17:29:41.554453,2022-06-14 17:31:16.103561,0 days 00:01:34.549108,37.0,500.0,133.0,19.0,575.0,312.0,COMPLETE
273,0.8156109709342334,2022-06-15 01:10:08.738597,2022-06-15 01:11:43.058553,0 days 00:01:34.319956,37.0,479.0,116.0,19.0,549.0,313.0,COMPLETE
212,0.8155927201180522,2022-06-14 23:36:01.966856,2022-06-14 23:37:33.412994,0 days 00:01:31.446138,37.0,500.0,123.0,14.0,547.0,302.0,COMPLETE
145,0.8155804163731962,2022-06-14 21:32:48.630412,2022-06-14 21:34:29.969387,0 days 00:01:41.338975,43.0,491.0,131.0,11.0,586.0,335.0,COMPLETE
115,0.8154388265180693,2022-06-14 20:45:28.884785,2022-06-14 20:47:04.199295,0 days 00:01:35.314510,29.0,496.0,128.0,11.0,675.0,313.0,COMPLETE
45,0.8154267712401142,2022-06-14 18:42:21.930107,2022-06-14 18:44:12.084559,0 days 00:01:50.154452,30.0,464.0,119.0,19.0,663.0,366.0,COMPLETE
185,0.8153253564989346,2022-06-14 22:47:48.534520,2022-06-14 22:49:48.180333,0 days 00:01:59.645813,39.0,483.0,121.0,19.0,511.0,400.0,COMPLETE
157,0.8153114754098361,2022-06-14 21:52:54.400705,2022-06-14 21:54:49.301808,0 days 00:01:54.901103,41.0,500.0,135.0,20.0,574.0,381.0,COMPLETE
196,0.8152792119453869,2022-06-14 23:08:54.997481,2022-06-14 23:10:53.239949,0 days 00:01:58.242468,40.0,495.0,121.0,20.0,532.0,394.0,COMPLETE
254,0.8152471514058529,2022-06-15 00:40:46.766782,2022-06-15 00:42:21.268828,0 days 00:01:34.502046,36.0,497.0,127.0,19.0,561.0,312.0,COMPLETE
191,0.8151710802307289,2022-06-14 22:59:51.935092,2022-06-14 23:01:51.984984,0 days 00:02:00.049892,39.0,485.0,121.0,19.0,511.0,401.0,COMPLETE
221,0.8151689808750328,2022-06-14 23:49:30.412392,2022-06-14 23:51:00.807023,0 days 00:01:30.394631,36.0,492.0,126.0,20.0,563.0,299.0,COMPLETE
160,0.8151239872329978,2022-06-14 21:58:41.446360,2022-06-14 22:00:36.821948,0 days 00:01:55.375588,40.0,500.0,142.0,20.0,483.0,384.0,COMPLETE
41,0.8149263995546313,2022-06-14 18:35:04.691337,2022-06-14 18:36:54.563219,0 days 00:01:49.871882,34.0,500.0,115.0,18.0,598.0,364.0,COMPLETE
233,0.8149106148909698,2022-06-15 00:07:19.048340,2022-06-15 00:08:49.338250,0 days 00:01:30.289910,37.0,486.0,127.0,20.0,551.0,299.0,COMPLETE
194,0.8149040036694843,2022-06-14 23:05:20.110818,2022-06-14 23:07:19.689316,0 days 00:01:59.578498,40.0,493.0,119.0,19.0,524.0,399.0,COMPLETE
270,0.8148863710786561,2022-06-15 01:05:32.587204,2022-06-15 01:07:05.164207,0 days 00:01:32.577003,39.0,482.0,117.0,19.0,541.0,307.0,COMPLETE
