iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
289,0.9643599272243382,2022-06-10 16:47:27.653812,2022-06-10 16:50:35.475033,0 days 00:03:07.821221,42.0,500.0,148.0,24.0,450.0,645.0,COMPLETE
253,0.9642917071385697,2022-06-10 14:50:15.343012,2022-06-10 14:53:29.440234,0 days 00:03:14.097222,41.0,499.0,150.0,27.0,471.0,655.0,COMPLETE
250,0.9641768910933933,2022-06-10 14:40:33.854289,2022-06-10 14:43:48.341958,0 days 00:03:14.487669,41.0,500.0,148.0,27.0,457.0,657.0,COMPLETE
204,0.9641637088348183,2022-06-10 05:44:12.427653,2022-06-10 05:47:08.203597,0 days 00:02:55.775944,43.0,500.0,137.0,28.0,488.0,606.0,COMPLETE
296,0.964158059649152,2022-06-10 17:08:19.597719,2022-06-10 17:11:29.510970,0 days 00:03:09.913251,42.0,500.0,147.0,20.0,442.0,653.0,COMPLETE
256,0.964137359721701,2022-06-10 15:00:07.543524,2022-06-10 15:03:28.416308,0 days 00:03:20.872784,40.0,500.0,148.0,24.0,474.0,687.0,COMPLETE
11,0.9641359385190557,2022-06-09 22:00:01.963426,2022-06-09 22:01:52.064022,0 days 00:01:50.100596,18.0,500.0,85.0,30.0,361.0,378.0,COMPLETE
245,0.9640957428335112,2022-06-10 14:24:38.963197,2022-06-10 14:27:52.407053,0 days 00:03:13.443856,41.0,495.0,140.0,26.0,451.0,655.0,COMPLETE
273,0.964074532847896,2022-06-10 15:56:25.737261,2022-06-10 15:59:39.375099,0 days 00:03:13.637838,42.0,495.0,148.0,26.0,457.0,654.0,COMPLETE
275,0.964069000889459,2022-06-10 16:03:01.174796,2022-06-10 16:06:15.164659,0 days 00:03:13.989863,44.0,494.0,147.0,25.0,451.0,656.0,COMPLETE
293,0.9639992114579017,2022-06-10 17:00:12.805436,2022-06-10 17:03:23.723638,0 days 00:03:10.918202,42.0,500.0,146.0,19.0,451.0,646.0,COMPLETE
280,0.9639914026290077,2022-06-10 16:18:52.898368,2022-06-10 16:22:02.629051,0 days 00:03:09.730683,44.0,486.0,147.0,25.0,451.0,643.0,COMPLETE
271,0.9639850000255509,2022-06-10 15:49:56.631984,2022-06-10 15:53:10.805066,0 days 00:03:14.173082,44.0,500.0,144.0,26.0,456.0,672.0,COMPLETE
56,0.9639701337244829,2022-06-09 23:29:00.578198,2022-06-09 23:30:57.846837,0 days 00:01:57.268639,20.0,472.0,150.0,29.0,340.0,409.0,COMPLETE
242,0.9639695191400969,2022-06-10 14:15:04.720902,2022-06-10 14:18:16.735287,0 days 00:03:12.014385,42.0,489.0,139.0,28.0,455.0,651.0,COMPLETE
142,0.9639542085253012,2022-06-10 02:36:57.616440,2022-06-10 02:39:33.169979,0 days 00:02:35.553539,46.0,487.0,141.0,29.0,457.0,526.0,COMPLETE
248,0.9639540671786643,2022-06-10 14:34:17.291767,2022-06-10 14:37:23.303599,0 days 00:03:06.011832,43.0,500.0,146.0,26.0,464.0,644.0,COMPLETE
251,0.9639452475954022,2022-06-10 14:43:48.342199,2022-06-10 14:47:02.832830,0 days 00:03:14.490631,41.0,500.0,148.0,25.0,453.0,658.0,COMPLETE
111,0.9639437106922029,2022-06-10 01:19:56.908770,2022-06-10 01:21:51.962849,0 days 00:01:55.054079,41.0,499.0,148.0,28.0,411.0,391.0,COMPLETE
292,0.9639362067848694,2022-06-10 16:56:51.320293,2022-06-10 17:00:12.805172,0 days 00:03:21.484879,41.0,500.0,148.0,25.0,463.0,680.0,COMPLETE
218,0.9639328075447581,2022-06-10 06:25:19.692264,2022-06-10 06:28:24.373541,0 days 00:03:04.681277,41.0,500.0,135.0,29.0,499.0,620.0,COMPLETE
185,0.9638797623188107,2022-06-10 04:44:06.869006,2022-06-10 04:47:27.449189,0 days 00:03:20.580183,42.0,500.0,139.0,29.0,459.0,678.0,COMPLETE
191,0.9638698161508328,2022-06-10 05:03:35.877385,2022-06-10 05:06:47.950409,0 days 00:03:12.073024,44.0,485.0,136.0,30.0,457.0,651.0,COMPLETE
207,0.963850192926234,2022-06-10 05:53:01.184286,2022-06-10 05:55:54.625693,0 days 00:02:53.441407,42.0,500.0,141.0,28.0,488.0,598.0,COMPLETE
284,0.9638158776258112,2022-06-10 16:31:34.609502,2022-06-10 16:34:44.106788,0 days 00:03:09.497286,44.0,500.0,146.0,26.0,428.0,653.0,COMPLETE
169,0.9638130383135374,2022-06-10 03:53:42.215153,2022-06-10 03:56:49.221989,0 days 00:03:07.006836,44.0,494.0,139.0,28.0,455.0,633.0,COMPLETE
177,0.9637849531698877,2022-06-10 04:19:03.697566,2022-06-10 04:22:08.050062,0 days 00:03:04.352496,43.0,495.0,139.0,27.0,466.0,632.0,COMPLETE
254,0.9637835766007975,2022-06-10 14:53:29.440468,2022-06-10 14:56:50.339121,0 days 00:03:20.898653,39.0,500.0,149.0,26.0,473.0,677.0,COMPLETE
282,0.9637824128900996,2022-06-10 16:25:16.336758,2022-06-10 16:28:21.188826,0 days 00:03:04.852068,44.0,490.0,147.0,26.0,446.0,636.0,COMPLETE
182,0.9637815478448213,2022-06-10 04:34:37.582097,2022-06-10 04:37:47.946656,0 days 00:03:10.364559,45.0,500.0,140.0,27.0,482.0,651.0,COMPLETE
170,0.9637778933120864,2022-06-10 03:56:49.222224,2022-06-10 03:59:57.803270,0 days 00:03:08.581046,43.0,495.0,139.0,27.0,457.0,638.0,COMPLETE
277,0.963762507170589,2022-06-10 16:09:32.312789,2022-06-10 16:12:37.654360,0 days 00:03:05.341571,44.0,486.0,146.0,25.0,448.0,644.0,COMPLETE
259,0.9637612388113685,2022-06-10 15:10:12.857107,2022-06-10 15:13:40.309031,0 days 00:03:27.451924,39.0,493.0,148.0,25.0,473.0,699.0,COMPLETE
